"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00947867298578153,1,6,1,0.166666666666667,1,"GO:1990676","GO:CC","Golgi trans cisterna membrane",22155,3989,"GO:0000138;GO:0032580","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00947867298578153,1,6,1,0.166666666666667,1,"GO:1990675","GO:CC","Golgi medial cisterna membrane",22155,3988,"GO:0005797;GO:0032580","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0111354687770386,2142,6,4,0.666666666666667,0.00186741363211951,"GO:0043230","GO:CC","extracellular organelle",22155,1844,"GO:0005576;GO:0043226","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0111354687770386,4032,6,5,0.833333333333333,0.00124007936507937,"GO:0031982","GO:CC","vesicle",22155,1199,"GO:0043227","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0111354687770386,2142,6,4,0.666666666666667,0.00186741363211951,"GO:0065010","GO:CC","extracellular membrane-bounded organelle",22155,2332,"GO:0043227;GO:0043230","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0111354687770386,2111,6,4,0.666666666666667,0.00189483657034581,"GO:0070062","GO:CC","extracellular exosome",22155,2352,"GO:0005615;GO:1903561","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0111354687770386,2141,6,4,0.666666666666667,0.0018682858477347,"GO:1903561","GO:CC","extracellular vesicle",22155,3698,"GO:0031982;GO:0065010","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0210423353545433,9,6,1,0.166666666666667,0.111111111111111,"GO:0000138","GO:CC","Golgi trans cisterna",22155,17,"GO:0031985","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0210423353545433,10,6,1,0.166666666666667,0.1,"GO:0005797","GO:CC","Golgi medial cisterna",22155,348,"GO:0031985","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0379454931401445,3252,6,4,0.666666666666667,0.001230012300123,"GO:0005615","GO:CC","extracellular space",22155,227,"GO:0005576;GO:0110165","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
