"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00281790963438677,1409,13,6,0.461538461538462,0.0042583392476934,"GO:0000785","GO:CC","chromatin",22155,89,"GO:0005694;GO:0110165","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00281790963438677,2010,13,7,0.538461538461538,0.00348258706467662,"GO:0005694","GO:CC","chromosome",22155,279,"GO:0043232","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00440462044633318,518,13,4,0.307692307692308,0.00772200772200772,"GO:0005667","GO:CC","transcription regulator complex",22155,257,"GO:0032991","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0144698632384341,79,13,2,0.153846153846154,0.0253164556962025,"GO:0017053","GO:CC","transcription repressor complex",22155,758,"GO:0005667","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0144698632384341,2,13,1,0.0769230769230769,0.5,"GO:1990622","GO:CC","CHOP-ATF3 complex",22155,3971,"GO:0005667;GO:0140513","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0144698632384341,2,13,1,0.0769230769230769,0.5,"GO:0070557","GO:CC","PCNA-p21 complex",22155,2448,"GO:0140513","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0309816667612798,5,13,1,0.0769230769230769,0.2,"GO:0005638","GO:CC","lamin filament",22155,241,"GO:0005652;GO:0005882","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0325219418716727,6,13,1,0.0769230769230769,0.166666666666667,"GO:0035976","GO:CC","transcription factor AP-1 complex",22155,1621,"GO:0090575","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0404422676294845,10153,13,11,0.846153846153846,0.00108342361863489,"GO:0005634","GO:CC","nucleus",22155,238,"GO:0043231","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0455002873575525,4334,13,7,0.538461538461538,0.00161513613290263,"GO:0005654","GO:CC","nucleoplasm",22155,247,"GO:0031981;GO:0110165","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
