"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,8.39397308936119e-07,92,56,7,0.125,0.0760869565217391,"GO:0031091","GO:CC","platelet alpha granule",22155,1018,"GO:0030141","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.21897045964906e-06,67,56,6,0.107142857142857,0.0895522388059701,"GO:0031093","GO:CC","platelet alpha granule lumen",22155,1020,"GO:0031091;GO:0034774","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.30723840363608e-05,12601,56,49,0.875,0.00388858027140703,"GO:0005737","GO:CC","cytoplasm",22155,304,"GO:0005622;GO:0110165","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.15854188560166e-05,324,56,8,0.142857142857143,0.0246913580246914,"GO:0034774","GO:CC","secretory granule lumen",22155,1536,"GO:0030141;GO:0060205","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.15854188560166e-05,329,56,8,0.142857142857143,0.0243161094224924,"GO:0060205","GO:CC","cytoplasmic vesicle lumen",22155,2222,"GO:0031410;GO:0031983;GO:0070013","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.15854188560166e-05,330,56,8,0.142857142857143,0.0242424242424242,"GO:0031983","GO:CC","vesicle lumen",22155,1200,"GO:0031982;GO:0043233","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00050125512890782,906,56,11,0.196428571428571,0.0121412803532009,"GO:0030141","GO:CC","secretory granule",22155,891,"GO:0012505;GO:0099503","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000594391061848363,3,56,2,0.0357142857142857,0.666666666666667,"GO:0035868","GO:CC","alphav-beta3 integrin-HMGB1 complex",22155,1618,"GO:0098797","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00201485763087711,1084,56,11,0.196428571428571,0.0101476014760148,"GO:0099503","GO:CC","secretory vesicle",22155,3291,"GO:0031410","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00303234019018256,100,56,4,0.0714285714285714,0.04,"GO:0032587","GO:CC","ruffle membrane",22155,1288,"GO:0001726;GO:0031253;GO:0031256","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00376605280063711,42,56,3,0.0535714285714286,0.0714285714285714,"GO:0002102","GO:CC","podosome",22155,168,"GO:0015629;GO:0043232","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00377590557121646,5607,56,27,0.482142857142857,0.00481540930979133,"GO:0005829","GO:CC","cytosol",22155,367,"GO:0005737;GO:0110165","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00688483427129749,4249,56,22,0.392857142857143,0.00517768886796893,"GO:0005576","GO:CC","extracellular region",22155,194,"GO:0110165","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00688483427129749,241,56,5,0.0892857142857143,0.020746887966805,"GO:0030016","GO:CC","myofibril",22155,840,"GO:0043292","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00708344865843696,250,56,5,0.0892857142857143,0.02,"GO:0043292","GO:CC","contractile muscle fiber",22155,1862,"GO:0005737;GO:0043232;GO:0099512","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0109825904760242,425,56,6,0.107142857142857,0.0141176470588235,"GO:0005925","GO:CC","focal adhesion",22155,438,"GO:0030055","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0116665156400098,435,56,6,0.107142857142857,0.0137931034482759,"GO:0030055","GO:CC","cell-substrate junction",22155,845,"GO:0070161","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0151847005961389,6263,56,27,0.482142857142857,0.00431103305125339,"GO:0071944","GO:CC","cell periphery",22155,2724,"GO:0110165","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0151847005961389,183,56,4,0.0714285714285714,0.0218579234972678,"GO:0001726","GO:CC","ruffle",22155,152,"GO:0031252;GO:0120025","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0151847005961389,181,56,4,0.0714285714285714,0.0220994475138122,"GO:0031256","GO:CC","leading edge membrane",22155,1050,"GO:0005886;GO:0031252;GO:0110165","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0152251255728849,2556,56,15,0.267857142857143,0.00586854460093897,"GO:0097708","GO:CC","intracellular vesicle",22155,3067,"GO:0031982;GO:0043231","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0152251255728849,2548,56,15,0.267857142857143,0.00588697017268446,"GO:0031410","GO:CC","cytoplasmic vesicle",22155,1078,"GO:0005737;GO:0097708","Monocytes_Healthy_vs_SNMG_Pre","Up"
