"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.07931740356675e-10,6,15,4,0.266666666666667,0.666666666666667,"GO:0035976","GO:CC","transcription factor AP-1 complex",22155,1621,"GO:0090575","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,5.75422952245954e-05,1409,15,8,0.533333333333333,0.0056777856635912,"GO:0000785","GO:CC","chromatin",22155,89,"GO:0005694;GO:0110165","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000432252687985829,518,15,5,0.333333333333333,0.00965250965250965,"GO:0005667","GO:CC","transcription regulator complex",22155,257,"GO:0032991","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000432252687985829,2010,15,8,0.533333333333333,0.00398009950248756,"GO:0005694","GO:CC","chromosome",22155,279,"GO:0043232","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000438658499161099,256,15,4,0.266666666666667,0.015625,"GO:0090575","GO:CC","RNA polymerase II transcription regulator complex",22155,2789,"GO:0005667;GO:0140513","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0111961565459587,4334,15,9,0.6,0.00207660359944624,"GO:0005654","GO:CC","nucleoplasm",22155,247,"GO:0031981;GO:0110165","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.039424838375859,4,15,1,0.0666666666666667,0.25,"GO:0033256","GO:CC","I-kappaB/NF-kappaB complex",22155,1375,"GO:0140535","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0396140333873382,5622,15,9,0.6,0.0016008537886873,"GO:0031981","GO:CC","nuclear lumen",22155,1198,"GO:0005634;GO:0070013","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0396140333873382,6791,15,10,0.666666666666667,0.00147253718156383,"GO:0031974","GO:CC","membrane-enclosed lumen",22155,1193,"GO:0110165","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0396140333873382,7979,15,11,0.733333333333333,0.00137861887454568,"GO:0032991","GO:CC","protein-containing complex",22155,1311,"GO:0005575","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0396140333873382,6791,15,10,0.666666666666667,0.00147253718156383,"GO:0043233","GO:CC","organelle lumen",22155,1847,"GO:0031974;GO:0043226","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0396140333873382,6791,15,10,0.666666666666667,0.00147253718156383,"GO:0070013","GO:CC","intracellular organelle lumen",22155,2333,"GO:0043229;GO:0043233","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0466754523346524,7128,15,10,0.666666666666667,0.00140291806958474,"GO:0043232","GO:CC","intracellular membraneless organelle",22155,1846,"GO:0043228;GO:0043229","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0466754523346524,7128,15,10,0.666666666666667,0.00140291806958474,"GO:0043228","GO:CC","membraneless organelle",22155,1842,"GO:0043226","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0481674278228297,10153,15,12,0.8,0.00118191667487442,"GO:0005634","GO:CC","nucleus",22155,238,"GO:0043231","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0481674278228297,11,15,1,0.0666666666666667,0.0909090909090909,"GO:0097136","GO:CC","Bcl-2 family protein complex",22155,2854,"GO:0032991","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0485783619841589,12,15,1,0.0666666666666667,0.0833333333333333,"GO:0044666","GO:CC","MLL3/4 complex",22155,2057,"GO:0035097","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
