"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00228402205936685,60,49,4,0.0816326530612245,0.0666666666666667,"GO:0101003","GO:CC","ficolin-1-rich granule membrane",22155,3311,"GO:0030667;GO:0070820;GO:0101002","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00361566118578487,163,49,5,0.102040816326531,0.0306748466257669,"GO:0070820","GO:CC","tertiary granule",22155,2497,"GO:0030141","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00429792974937232,184,49,5,0.102040816326531,0.0271739130434783,"GO:0101002","GO:CC","ficolin-1-rich granule",22155,3310,"GO:0030141","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00995185110877279,9975,49,35,0.714285714285714,0.00350877192982456,"GO:0016020","GO:CC","membrane",22155,699,"GO:0110165","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0110528004861609,12601,49,40,0.816326530612245,0.00317435124196492,"GO:0005737","GO:CC","cytoplasm",22155,304,"GO:0005622;GO:0110165","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0121201631274835,5607,49,24,0.489795918367347,0.00428036383092563,"GO:0005829","GO:CC","cytosol",22155,367,"GO:0005737;GO:0110165","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0175368007022985,72,49,3,0.0612244897959184,0.0416666666666667,"GO:0070821","GO:CC","tertiary granule membrane",22155,2498,"GO:0030667;GO:0070820","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0175368007022985,4032,49,19,0.387755102040816,0.00471230158730159,"GO:0031982","GO:CC","vesicle",22155,1199,"GO:0043227","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0189011451242208,321,49,5,0.102040816326531,0.0155763239875389,"GO:0030667","GO:CC","secretory granule membrane",22155,930,"GO:0030141;GO:0030659;GO:0098588","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0203151512369152,2548,49,14,0.285714285714286,0.00549450549450549,"GO:0031410","GO:CC","cytoplasmic vesicle",22155,1078,"GO:0005737;GO:0097708","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0203151512369152,2556,49,14,0.285714285714286,0.0054773082942097,"GO:0097708","GO:CC","intracellular vesicle",22155,3067,"GO:0031982;GO:0043231","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0203151512369152,2268,49,13,0.26530612244898,0.00573192239858906,"GO:0098588","GO:CC","bounding membrane of organelle",22155,3146,"GO:0031090","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0290600804673615,1257,49,9,0.183673469387755,0.00715990453460621,"GO:0030659","GO:CC","cytoplasmic vesicle membrane",22155,923,"GO:0012506;GO:0031410","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0299336037740719,1276,49,9,0.183673469387755,0.00705329153605016,"GO:0012506","GO:CC","vesicle membrane",22155,667,"GO:0031090;GO:0031982","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367014956755629,423,49,5,0.102040816326531,0.0118203309692671,"GO:0031252","GO:CC","cell leading edge",22155,1046,"GO:0110165","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367014956755629,1084,49,8,0.163265306122449,0.00738007380073801,"GO:0099503","GO:CC","secretory vesicle",22155,3291,"GO:0031410","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0402814489895986,3868,49,17,0.346938775510204,0.00439503619441572,"GO:0031090","GO:CC","organelle membrane",22155,1017,"GO:0016020;GO:0043227","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0478162016416529,904,49,7,0.142857142857143,0.00774336283185841,"GO:0009986","GO:CC","cell surface",22155,641,"GO:0110165","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0488053213499032,2,49,1,0.0204081632653061,0.5,"GO:0045092","GO:CC","interleukin-18 receptor complex",22155,2087,"GO:0098802","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0488053213499032,2,49,1,0.0204081632653061,0.5,"GO:0035355","GO:CC","Toll-like receptor 2-Toll-like receptor 6 protein complex",22155,1572,"GO:0098802","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0488053213499032,2,49,1,0.0204081632653061,0.5,"GO:0035354","GO:CC","Toll-like receptor 1-Toll-like receptor 2 protein complex",22155,1571,"GO:0098802","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0488053213499032,2,49,1,0.0204081632653061,0.5,"GO:0034689","GO:CC","integrin alphaX-beta2 complex",22155,1500,"GO:0008305","Neutrophils_SNMG_Pre_vs_SNMG_Post","Down"
