"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00679316699605384,437,6,3,0.5,0.0068649885583524,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00679316699605384,431,6,3,0.5,0.00696055684454756,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0280972490987757,4,6,1,0.166666666666667,0.25,"GO:0071074","GO:MF","eukaryotic initiation factor eIF2 binding",20208,8021,"GO:0031369","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,13,6,1,0.166666666666667,0.0769230769230769,"GO:0004861","GO:MF","cyclin-dependent protein serine/threonine kinase inhibitor activity",20208,1096,"GO:0016538;GO:0030291","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,21,6,1,0.166666666666667,0.0476190476190476,"GO:0120283","GO:MF","protein serine/threonine kinase binding",20208,9072,"GO:0019901","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,12,6,1,0.166666666666667,0.0833333333333333,"GO:0035259","GO:MF","nuclear glucocorticoid receptor binding",20208,4746,"GO:0016922","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,1605,6,3,0.5,0.00186915887850467,"GO:0043565","GO:MF","sequence-specific DNA binding",20208,5209,"GO:0003677","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,24,6,1,0.166666666666667,0.0416666666666667,"GO:0042974","GO:MF","nuclear retinoic acid receptor binding",20208,5130,"GO:0016922","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,16,6,1,0.166666666666667,0.0625,"GO:0046965","GO:MF","nuclear retinoid X receptor binding",20208,5656,"GO:0042974","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,29,6,1,0.166666666666667,0.0344827586206897,"GO:0019211","GO:MF","phosphatase activator activity",20208,3384,"GO:0008047;GO:0019208","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,25,6,1,0.166666666666667,0.04,"GO:0008157","GO:MF","protein phosphatase 1 binding",20208,1545,"GO:0019903","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,24,6,1,0.166666666666667,0.0416666666666667,"GO:0072542","GO:MF","protein phosphatase activator activity",20208,8097,"GO:0019211;GO:0019888","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,1309,6,3,0.5,0.00229182582123759,"GO:0000981","GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific",20208,117,"GO:0003700","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0435162881505114,1395,6,3,0.5,0.0021505376344086,"GO:0003700","GO:MF","DNA-binding transcription factor activity",20208,326,"GO:0140110","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0444487364543729,35,6,1,0.166666666666667,0.0285714285714286,"GO:0031369","GO:MF","translation initiation factor binding",20208,3824,"GO:0005515","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0444487364543729,34,6,1,0.166666666666667,0.0294117647058824,"GO:0030332","GO:MF","cyclin binding",20208,3610,"GO:0005515","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0444487364543729,36,6,1,0.166666666666667,0.0277777777777778,"GO:0140311","GO:MF","protein sequestering activity",20208,9265,"GO:0140313","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0498889695557342,50,6,1,0.166666666666667,0.02,"GO:0030291","GO:MF","protein serine/threonine kinase inhibitor activity",20208,3600,"GO:0004860","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0498889695557342,48,6,1,0.166666666666667,0.0208333333333333,"GO:0019914","GO:MF","cyclin-dependent protein kinase regulator activity",20208,3462,"GO:0019887","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0498889695557342,48,6,1,0.166666666666667,0.0208333333333333,"GO:0016538","GO:MF","cyclin-dependent protein serine/threonine kinase regulator activity",20208,2754,"GO:0019914","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0498889695557342,1907,6,3,0.5,0.00157315154693235,"GO:0140110","GO:MF","transcription regulator activity",20208,9201,"GO:0003674","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
