"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0203102945380324,6,4,1,0.25,0.166666666666667,"GO:0141038","GO:MF","phosphatidylinositol 3-kinase activator activity",20208,9590,"GO:0035014","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0203102945380324,295,4,2,0.5,0.00677966101694915,"GO:0019207","GO:MF","kinase regulator activity",20208,3380,"GO:0030234","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0203102945380324,1372,4,3,0.75,0.0021865889212828,"GO:0030234","GO:MF","enzyme regulator activity",20208,3578,"GO:0098772","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0203102945380324,5,4,1,0.25,0.2,"GO:0003997","GO:MF","acyl-CoA oxidase activity",20208,487,"GO:0016634","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.023145394927312,9,4,1,0.25,0.111111111111111,"GO:0016634","GO:MF","oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor",20208,2779,"GO:0016627","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0257113784017097,12,4,1,0.25,0.0833333333333333,"GO:0035014","GO:MF","phosphatidylinositol 3-kinase regulator activity",20208,4721,"GO:0019207","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0289124186145755,17,4,1,0.25,0.0588235294117647,"GO:0005068","GO:MF","transmembrane receptor protein tyrosine kinase adaptor activity",20208,1232,"GO:0030159;GO:0030971","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0289124186145755,18,4,1,0.25,0.0555555555555556,"GO:0030297","GO:MF","transmembrane receptor protein tyrosine kinase activator activity",20208,3606,"GO:0030296;GO:0030546","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,32,4,1,0.25,0.03125,"GO:0071889","GO:MF","14-3-3 protein binding",20208,8070,"GO:0005515","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,34,4,1,0.25,0.0294117647058824,"GO:0030296","GO:MF","protein tyrosine kinase activator activity",20208,3605,"GO:0030295","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,21,4,1,0.25,0.0476190476190476,"GO:0005158","GO:MF","insulin receptor binding",20208,1288,"GO:0005102","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,627,4,2,0.5,0.00318979266347687,"GO:0019904","GO:MF","protein domain specific binding",20208,3459,"GO:0005515","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,34,4,1,0.25,0.0294117647058824,"GO:0005154","GO:MF","epidermal growth factor receptor binding",20208,1286,"GO:0070851","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,2266,4,3,0.75,0.00132391879964696,"GO:0098772","GO:MF","molecular function regulator activity",20208,8415,"GO:0003674","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0290920031083316,25,4,1,0.25,0.04,"GO:0043548","GO:MF","phosphatidylinositol 3-kinase binding",20208,5206,"GO:0005515","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0328718462730683,41,4,1,0.25,0.024390243902439,"GO:0071949","GO:MF","FAD binding",20208,8077,"GO:0050660","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0346982746068617,46,4,1,0.25,0.0217391304347826,"GO:0005504","GO:MF","fatty acid binding",20208,1451,"GO:0008289;GO:0033293","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0363191252649527,51,4,1,0.25,0.0196078431372549,"GO:0030159","GO:MF","signaling receptor complex adaptor activity",20208,3563,"GO:0035591","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0431364870806313,64,4,1,0.25,0.015625,"GO:0016627","GO:MF","oxidoreductase activity, acting on the CH-CH group of donors",20208,2772,"GO:0016491","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0459344943461278,79,4,1,0.25,0.0126582278481013,"GO:0030971","GO:MF","receptor tyrosine kinase binding",20208,3789,"GO:0005102;GO:1990782","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0459344943461278,79,4,1,0.25,0.0126582278481013,"GO:0030165","GO:MF","PDZ domain binding",20208,3565,"GO:0019904","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0459344943461278,78,4,1,0.25,0.0128205128205128,"GO:0033293","GO:MF","monocarboxylic acid binding",20208,4232,"GO:0031406","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0483579472171614,87,4,1,0.25,0.0114942528735632,"GO:0050660","GO:MF","flavin adenine dinucleotide binding",20208,7239,"GO:0000166;GO:0043168","Basophils_Healthy_vs_AChR_MG","Up"
