"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00878693918372474,9,25,2,0.08,0.222222222222222,"GO:0004298","GO:MF","threonine-type endopeptidase activity",20208,640,"GO:0004175;GO:0070003","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0185451880135202,18,25,2,0.08,0.111111111111111,"GO:0070003","GO:MF","threonine-type peptidase activity",20208,7852,"GO:0008233","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0287008271337803,128,25,3,0.12,0.0234375,"GO:0031072","GO:MF","heat shock protein binding",20208,3803,"GO:0005515","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0381863159039442,48,25,2,0.08,0.0416666666666667,"GO:0030544","GO:MF","Hsp70 protein binding",20208,3655,"GO:0031072;GO:0051087","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0381863159039442,410,25,4,0.16,0.00975609756097561,"GO:0019001","GO:MF","guanyl nucleotide binding",20208,3313,"GO:0017076","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0381863159039442,410,25,4,0.16,0.00975609756097561,"GO:0032561","GO:MF","guanyl ribonucleotide binding",20208,4172,"GO:0019001;GO:0032555","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0381863159039442,388,25,4,0.16,0.0103092783505155,"GO:0005525","GO:MF","GTP binding",20208,1464,"GO:0032561;GO:0035639","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,2,25,1,0.04,0.5,"GO:0141106","GO:MF","tRNA methyltransferase activator activity",20208,9617,"GO:0008047;GO:0141107","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,3,25,1,0.04,0.333333333333333,"GO:0003886","GO:MF","DNA (cytosine-5-)-methyltransferase activity",20208,412,"GO:0008757;GO:0009008","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,3,25,1,0.04,0.333333333333333,"GO:0051720","GO:MF","DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates",20208,7368,"GO:0003886","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,3,25,1,0.04,0.333333333333333,"GO:0141107","GO:MF","methyltransferase regulator activity",20208,9618,"GO:0030234","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,3,25,1,0.04,0.333333333333333,"GO:0051719","GO:MF","DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates",20208,7367,"GO:0003886","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,2,25,1,0.04,0.5,"GO:0060698","GO:MF","endoribonuclease inhibitor activity",20208,7669,"GO:0008428","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0442191551128439,3,25,1,0.04,0.333333333333333,"GO:0008428","GO:MF","ribonuclease inhibitor activity",20208,1667,"GO:0140721","CD4__T_cells_Healthy_vs_AChR_MG","Down"
