"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00152940114054084,17,9,2,0.222222222222222,0.117647058823529,"GO:0045236","GO:MF","CXCR chemokine receptor binding",20208,5482,"GO:0042379","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00341780595434251,50,9,2,0.222222222222222,0.04,"GO:0008009","GO:MF","chemokine activity",20208,1481,"GO:0005125;GO:0042379","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00341780595434251,279,9,3,0.333333333333333,0.010752688172043,"GO:0005126","GO:MF","cytokine receptor binding",20208,1259,"GO:0005102","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00341780595434251,239,9,3,0.333333333333333,0.0125523012552301,"GO:0005125","GO:MF","cytokine activity",20208,1258,"GO:0048018","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00632319706449922,76,9,2,0.222222222222222,0.0263157894736842,"GO:0042379","GO:MF","chemokine receptor binding",20208,5043,"GO:0001664;GO:0005126","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0140564087697385,548,9,3,0.333333333333333,0.00547445255474453,"GO:0048018","GO:MF","receptor ligand activity",20208,6616,"GO:0030546","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0140564087697385,556,9,3,0.333333333333333,0.00539568345323741,"GO:0030546","GO:MF","signaling receptor activator activity",20208,3657,"GO:0030545;GO:0140677","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.014874421925595,594,9,3,0.333333333333333,0.00505050505050505,"GO:0030545","GO:MF","signaling receptor regulator activity",20208,3656,"GO:0098772","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0158227786135501,5,9,1,0.111111111111111,0.2,"GO:0048248","GO:MF","CXCR3 chemokine receptor binding",20208,6632,"GO:0045236","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0369667234452635,13,9,1,0.111111111111111,0.0769230769230769,"GO:0004861","GO:MF","cyclin-dependent protein serine/threonine kinase inhibitor activity",20208,1096,"GO:0016538;GO:0030291","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0391520512212707,286,9,2,0.222222222222222,0.00699300699300699,"GO:0001664","GO:MF","G protein-coupled receptor binding",20208,222,"GO:0005102","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,2266,9,4,0.444444444444444,0.00176522506619594,"GO:0098772","GO:MF","molecular function regulator activity",20208,8415,"GO:0003674","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,31,9,1,0.111111111111111,0.032258064516129,"GO:0005164","GO:MF","tumor necrosis factor receptor binding",20208,1293,"GO:0032813","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,23,9,1,0.111111111111111,0.0434782608695652,"GO:0015149","GO:MF","hexose transmembrane transporter activity",20208,2295,"GO:0015145","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,25,9,1,0.111111111111111,0.04,"GO:0015145","GO:MF","monosaccharide transmembrane transporter activity",20208,2291,"GO:0051119","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,24,9,1,0.111111111111111,0.0416666666666667,"GO:0031681","GO:MF","G-protein beta-subunit binding",20208,3863,"GO:0005515","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,27,9,1,0.111111111111111,0.037037037037037,"GO:0051119","GO:MF","sugar transmembrane transporter activity",20208,7308,"GO:0015144","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,23,9,1,0.111111111111111,0.0434782608695652,"GO:0055056","GO:MF","D-glucose transmembrane transporter activity",20208,7645,"GO:0015149","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.046230559724458,1209,9,3,0.333333333333333,0.00248138957816377,"GO:0140677","GO:MF","molecular function activator activity",20208,9398,"GO:0098772","CD4__T_cells_Healthy_vs_SNMG_Pre","Up"
