"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00315469121140008,1,5,1,0.2,1,"GO:0038117","GO:MF","C-C motif chemokine 19 receptor activity",20208,4962,"GO:0016493","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00315469121140008,1,5,1,0.2,1,"GO:0038121","GO:MF","C-C motif chemokine 21 receptor activity",20208,4963,"GO:0016493","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00315469121140008,1,5,1,0.2,1,"GO:0035757","GO:MF","chemokine (C-C motif) ligand 19 binding",20208,4821,"GO:0019957","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00315469121140008,1,5,1,0.2,1,"GO:0035758","GO:MF","chemokine (C-C motif) ligand 21 binding",20208,4822,"GO:0019957","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00401017858379364,128,5,2,0.4,0.015625,"GO:0031072","GO:MF","heat shock protein binding",20208,3803,"GO:0005515","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0210125479108864,10,5,1,0.2,0.1,"GO:0005528","GO:MF","FK506 binding",20208,1466,"GO:0005527","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0216086283341047,12,5,1,0.2,0.0833333333333333,"GO:0005527","GO:MF","macrolide binding",20208,1465,"GO:0005488","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0272730860234451,26,5,1,0.2,0.0384615384615385,"GO:0004950","GO:MF","chemokine receptor activity",20208,1155,"GO:0001637;GO:0004896","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0272730860234451,23,5,1,0.2,0.0434782608695652,"GO:0016493","GO:MF","C-C chemokine receptor activity",20208,2731,"GO:0004950","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0272730860234451,26,5,1,0.2,0.0384615384615385,"GO:0001637","GO:MF","G protein-coupled chemoattractant receptor activity",20208,213,"GO:0004930","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0272730860234451,24,5,1,0.2,0.0416666666666667,"GO:0019957","GO:MF","C-C chemokine binding",20208,3466,"GO:0019956","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0272730860234451,24,5,1,0.2,0.0416666666666667,"GO:0070840","GO:MF","dynein complex binding",20208,7993,"GO:0044877","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0314253683028464,40,5,1,0.2,0.025,"GO:0140838","GO:MF","RNA polymerase II CTD heptapeptide repeat peptidyl-prolyl isomerase activity",20208,9500,"GO:0003755;GO:0140994","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0314253683028464,40,5,1,0.2,0.025,"GO:0140840","GO:MF","RNA polymerase II CTD heptapeptide repeat P6 isomerase activity",20208,9502,"GO:0140838","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0314253683028464,33,5,1,0.2,0.0303030303030303,"GO:0019956","GO:MF","chemokine binding",20208,3465,"GO:0019955","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0314253683028464,40,5,1,0.2,0.025,"GO:0140839","GO:MF","RNA polymerase II CTD heptapeptide repeat P3 isomerase activity",20208,9501,"GO:0140838","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0332574561441035,45,5,1,0.2,0.0222222222222222,"GO:0003755","GO:MF","peptidyl-prolyl cis-trans isomerase activity",20208,344,"GO:0016859;GO:0140096","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0334938605034043,48,5,1,0.2,0.0208333333333333,"GO:0016859","GO:MF","cis-trans isomerase activity",20208,2949,"GO:0016853","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Down"
