"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00272276636983813,431,5,3,0.6,0.00696055684454756,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00272276636983813,437,5,3,0.6,0.0068649885583524,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1395,5,3,0.6,0.0021505376344086,"GO:0003700","GO:MF","DNA-binding transcription factor activity",20208,326,"GO:0140110","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,12,5,1,0.2,0.0833333333333333,"GO:0035259","GO:MF","nuclear glucocorticoid receptor binding",20208,4746,"GO:0016922","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,4,5,1,0.2,0.25,"GO:0071074","GO:MF","eukaryotic initiation factor eIF2 binding",20208,8021,"GO:0031369","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1131,5,3,0.6,0.0026525198938992,"GO:0000987","GO:MF","cis-regulatory region sequence-specific DNA binding",20208,118,"GO:0000976","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1413,5,3,0.6,0.00212314225053079,"GO:0000976","GO:MF","transcription cis-regulatory region binding",20208,113,"GO:0001067;GO:1990837","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1309,5,3,0.6,0.00229182582123759,"GO:0000981","GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific",20208,117,"GO:0003700","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1105,5,3,0.6,0.00271493212669683,"GO:0000978","GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",20208,115,"GO:0000977;GO:0000987","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1414,5,3,0.6,0.00212164073550212,"GO:0001067","GO:MF","transcription regulatory region nucleic acid binding",20208,141,"GO:0003676","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0156342126563679,1310,5,3,0.6,0.00229007633587786,"GO:0000977","GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",20208,114,"GO:0000976","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.016522216412018,1605,5,3,0.6,0.00186915887850467,"GO:0043565","GO:MF","sequence-specific DNA binding",20208,5209,"GO:0003677","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.016522216412018,1584,5,3,0.6,0.00189393939393939,"GO:0003690","GO:MF","double-stranded DNA binding",20208,320,"GO:0003677","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.016522216412018,1487,5,3,0.6,0.00201748486886348,"GO:1990837","GO:MF","sequence-specific double-stranded DNA binding",20208,10064,"GO:0003690;GO:0043565","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.016522216412018,16,5,1,0.2,0.0625,"GO:0046965","GO:MF","nuclear retinoid X receptor binding",20208,5656,"GO:0042974","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0191986424947552,24,5,1,0.2,0.0416666666666667,"GO:0072542","GO:MF","protein phosphatase activator activity",20208,8097,"GO:0019211;GO:0019888","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0191986424947552,24,5,1,0.2,0.0416666666666667,"GO:0042974","GO:MF","nuclear retinoic acid receptor binding",20208,5130,"GO:0016922","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0191986424947552,25,5,1,0.2,0.04,"GO:0008157","GO:MF","protein phosphatase 1 binding",20208,1545,"GO:0019903","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.02030121022745,29,5,1,0.2,0.0344827586206897,"GO:0019211","GO:MF","phosphatase activator activity",20208,3384,"GO:0008047;GO:0019208","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.02030121022745,1907,5,3,0.6,0.00157315154693235,"GO:0140110","GO:MF","transcription regulator activity",20208,9201,"GO:0003674","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0218976299344595,597,5,2,0.4,0.0033500837520938,"GO:0008134","GO:MF","transcription factor binding",20208,1534,"GO:0005515","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.021969416132793,35,5,1,0.2,0.0285714285714286,"GO:0031369","GO:MF","translation initiation factor binding",20208,3824,"GO:0005515","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0344380455526602,59,5,1,0.2,0.0169491525423729,"GO:0004879","GO:MF","nuclear receptor activity",20208,1108,"GO:0000981;GO:0038023;GO:0098531","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0344380455526602,60,5,1,0.2,0.0166666666666667,"GO:0098531","GO:MF","ligand-modulated transcription factor activity",20208,8374,"GO:0003700","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0364865567107064,2540,5,3,0.6,0.00118110236220472,"GO:0003677","GO:MF","DNA binding",20208,312,"GO:0003676","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
