"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0415594675865028,2,9,1,0.111111111111111,0.5,"GO:0031703","GO:MF","type 2 angiotensin receptor binding",20208,3884,"GO:0031701","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0415594675865028,2,9,1,0.111111111111111,0.5,"GO:0047757","GO:MF","chondroitin-glucuronate 5-epimerase activity",20208,6387,"GO:0016857","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0415594675865028,2,9,1,0.111111111111111,0.5,"GO:0050613","GO:MF","Delta14-sterol reductase activity",20208,7200,"GO:0016628","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,8,9,1,0.111111111111111,0.125,"GO:0031701","GO:MF","angiotensin receptor binding",20208,3882,"GO:0001664","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,9,9,1,0.111111111111111,0.111111111111111,"GO:0030023","GO:MF","extracellular matrix constituent conferring elasticity",20208,3549,"GO:0005201;GO:0097493","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,10,9,1,0.111111111111111,0.1,"GO:0005528","GO:MF","FK506 binding",20208,1466,"GO:0005527","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,5,9,1,0.111111111111111,0.2,"GO:0031721","GO:MF","hemoglobin alpha binding",20208,3902,"GO:0030492","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,10,9,1,0.111111111111111,0.1,"GO:0031720","GO:MF","haptoglobin binding",20208,3901,"GO:0005515","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,9,9,1,0.111111111111111,0.111111111111111,"GO:0030492","GO:MF","hemoglobin binding",20208,3648,"GO:0005515","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,717,9,3,0.333333333333333,0.00418410041841004,"GO:0042803","GO:MF","protein homodimerization activity",20208,5081,"GO:0042802;GO:0046983","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,6,9,1,0.111111111111111,0.166666666666667,"GO:0070087","GO:MF","chromo shadow domain binding",20208,7879,"GO:0019904","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,10,9,1,0.111111111111111,0.1,"GO:0050786","GO:MF","RAGE receptor binding",20208,7264,"GO:0005102","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,11,9,1,0.111111111111111,0.0909090909090909,"GO:0097493","GO:MF","structural molecule activity conferring elasticity",20208,8341,"GO:0005198","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0488936222577963,11,9,1,0.111111111111111,0.0909090909090909,"GO:0016857","GO:MF","racemase and epimerase activity, acting on carbohydrates and derivatives",20208,2948,"GO:0016854","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.049772745939054,12,9,1,0.111111111111111,0.0833333333333333,"GO:0005527","GO:MF","macrolide binding",20208,1465,"GO:0005488","CD8__T_cells_Healthy_vs_SNMG_Pre","Down"
