"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0167287229158157,148,35,4,0.114285714285714,0.027027027027027,"GO:0019955","GO:MF","cytokine binding",20208,3464,"GO:0005515","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0167287229158157,128,35,4,0.114285714285714,0.03125,"GO:0031072","GO:MF","heat shock protein binding",20208,3803,"GO:0005515","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0070119","GO:MF","ciliary neurotrophic factor binding",20208,7883,"GO:0019955","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,25,35,2,0.0571428571428571,0.08,"GO:0061133","GO:MF","endopeptidase activator activity",20208,7672,"GO:0016504;GO:0061135","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0045127","GO:MF","N-acetylglucosamine kinase activity",20208,5467,"GO:0019200","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,33,35,2,0.0571428571428571,0.0606060606060606,"GO:0019956","GO:MF","chemokine binding",20208,3465,"GO:0019955","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,103,35,3,0.0857142857142857,0.029126213592233,"GO:0004896","GO:MF","cytokine receptor activity",20208,1113,"GO:0004888;GO:0140375","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,26,35,2,0.0571428571428571,0.0769230769230769,"GO:0001637","GO:MF","G protein-coupled chemoattractant receptor activity",20208,213,"GO:0004930","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,26,35,2,0.0571428571428571,0.0769230769230769,"GO:0004950","GO:MF","chemokine receptor activity",20208,1155,"GO:0001637;GO:0004896","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,23,35,2,0.0571428571428571,0.0869565217391304,"GO:0016493","GO:MF","C-C chemokine receptor activity",20208,2731,"GO:0004950","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0035715","GO:MF","chemokine (C-C motif) ligand 2 binding",20208,4813,"GO:0019957","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0016495","GO:MF","C-X3-C chemokine receptor activity",20208,2733,"GO:0004950","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0035716","GO:MF","chemokine (C-C motif) ligand 12 binding",20208,4814,"GO:0019957","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,24,35,2,0.0571428571428571,0.0833333333333333,"GO:0019957","GO:MF","C-C chemokine binding",20208,3466,"GO:0019956","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0110050","GO:MF","deaminated glutathione amidase activity",20208,9032,"GO:0016811","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0160154","GO:MF","tRNA pseudouridine(38/39) synthase activity",20208,9707,"GO:0106029","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0281193237389974,1,35,1,0.0285714285714286,1,"GO:0160047","GO:MF","muramyl dipeptide kinase activity",20208,9663,"GO:0016301","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0357573699196763,153,35,3,0.0857142857142857,0.0196078431372549,"GO:0140375","GO:MF","immune receptor activity",20208,9300,"GO:0038023","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0382101073368093,2,35,1,0.0285714285714286,0.5,"GO:0035717","GO:MF","chemokine (C-C motif) ligand 7 binding",20208,4815,"GO:0019957","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0382101073368093,2,35,1,0.0285714285714286,0.5,"GO:0004915","GO:MF","interleukin-6 receptor activity",20208,1129,"GO:0004896","Dendritic_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0382101073368093,2,35,1,0.0285714285714286,0.5,"GO:0042284","GO:MF","sphingolipid delta-4 desaturase activity",20208,5023,"GO:0016717","Dendritic_cells_Healthy_vs_AChR_MG","Down"
