"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,4.80460722759737e-05,295,74,10,0.135135135135135,0.0338983050847458,"GO:0019207","GO:MF","kinase regulator activity",20208,3380,"GO:0030234","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,9.66042770607682e-05,262,74,9,0.121621621621622,0.0343511450381679,"GO:0019887","GO:MF","protein kinase regulator activity",20208,3451,"GO:0019207","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000714415541070031,15082,74,70,0.945945945945946,0.00464129425805596,"GO:0005515","GO:MF","protein binding",20208,1455,"GO:0005488","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.000714415541070031,1372,74,17,0.22972972972973,0.0123906705539359,"GO:0030234","GO:MF","enzyme regulator activity",20208,3578,"GO:0098772","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00100106770928638,2266,74,22,0.297297297297297,0.00970873786407767,"GO:0098772","GO:MF","molecular function regulator activity",20208,8415,"GO:0003674","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00107814990828669,632,74,11,0.148648648648649,0.0174050632911392,"GO:0008047","GO:MF","enzyme activator activity",20208,1495,"GO:0030234;GO:0140677","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00107814990828669,759,74,12,0.162162162162162,0.0158102766798419,"GO:0019900","GO:MF","kinase binding",20208,3455,"GO:0019899","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00268322076335345,1131,74,14,0.189189189189189,0.0123784261715296,"GO:0000987","GO:MF","cis-regulatory region sequence-specific DNA binding",20208,118,"GO:0000976","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00668592290837923,431,74,8,0.108108108108108,0.0185614849187935,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00668592290837923,680,74,10,0.135135135135135,0.0147058823529412,"GO:0019901","GO:MF","protein kinase binding",20208,3456,"GO:0019900","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00668592290837923,559,74,9,0.121621621621622,0.0161001788908766,"GO:0140678","GO:MF","molecular function inhibitor activity",20208,9399,"GO:0098772","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00668592290837923,437,74,8,0.108108108108108,0.0183066361556064,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00789301014475217,35,74,3,0.0405405405405405,0.0857142857142857,"GO:0140416","GO:MF","transcription regulator inhibitor activity",20208,9317,"GO:0140678","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00789301014475217,34,74,3,0.0405405405405405,0.0882352941176471,"GO:0005154","GO:MF","epidermal growth factor receptor binding",20208,1286,"GO:0070851","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00789301014475217,87,74,4,0.0540540540540541,0.0459770114942529,"GO:0004860","GO:MF","protein kinase inhibitor activity",20208,1095,"GO:0019210;GO:0019887","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00954704078353276,93,74,4,0.0540540540540541,0.043010752688172,"GO:0019210","GO:MF","kinase inhibitor activity",20208,3383,"GO:0004857;GO:0019207","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0122088524862905,1414,74,14,0.189189189189189,0.0099009900990099,"GO:0001067","GO:MF","transcription regulatory region nucleic acid binding",20208,141,"GO:0003676","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0122088524862905,1413,74,14,0.189189189189189,0.00990799716914367,"GO:0000976","GO:MF","transcription cis-regulatory region binding",20208,113,"GO:0001067;GO:1990837","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.01355391703981,1105,74,12,0.162162162162162,0.0108597285067873,"GO:0000978","GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",20208,115,"GO:0000977;GO:0000987","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0157880337494334,298,74,6,0.0810810810810811,0.0201342281879195,"GO:0031625","GO:MF","ubiquitin protein ligase binding",20208,3859,"GO:0044389","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0171901788032563,1487,74,14,0.189189189189189,0.00941492938802959,"GO:1990837","GO:MF","sequence-specific double-stranded DNA binding",20208,10064,"GO:0003690;GO:0043565","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0197537465826933,317,74,6,0.0810810810810811,0.0189274447949527,"GO:0044389","GO:MF","ubiquitin-like protein ligase binding",20208,5411,"GO:0019899","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0203646378735624,18447,74,74,1,0.00401149238358541,"GO:0005488","GO:MF","binding",20208,1443,"GO:0003674","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0234380372304667,1209,74,12,0.162162162162162,0.00992555831265509,"GO:0140677","GO:MF","molecular function activator activity",20208,9398,"GO:0098772","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0264895571900119,1584,74,14,0.189189189189189,0.00883838383838384,"GO:0003690","GO:MF","double-stranded DNA binding",20208,320,"GO:0003677","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0277674592064869,141,74,4,0.0540540540540541,0.0283687943262411,"GO:0030295","GO:MF","protein kinase activator activity",20208,3604,"GO:0019209;GO:0019887","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0277674592064869,1605,74,14,0.189189189189189,0.00872274143302181,"GO:0043565","GO:MF","sequence-specific DNA binding",20208,5209,"GO:0003677","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0281157771259719,18,74,2,0.027027027027027,0.111111111111111,"GO:0030297","GO:MF","transmembrane receptor protein tyrosine kinase activator activity",20208,3606,"GO:0030296;GO:0030546","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0320108144020271,151,74,4,0.0540540540540541,0.0264900662251656,"GO:0019209","GO:MF","kinase activator activity",20208,3382,"GO:0008047;GO:0019207","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0364988679172044,2060,74,16,0.216216216216216,0.00776699029126214,"GO:0019899","GO:MF","enzyme binding",20208,3454,"GO:0005515","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0364988679172044,1310,74,12,0.162162162162162,0.00916030534351145,"GO:0000977","GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",20208,114,"GO:0000976","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1,74,1,0.0135135135135135,1,"GO:0001010","GO:MF","RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity",20208,128,"GO:0030674","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1907,74,15,0.202702702702703,0.00786575773466177,"GO:0140110","GO:MF","transcription regulator activity",20208,9201,"GO:0003674","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1,74,1,0.0135135135135135,1,"GO:0160011","GO:MF","NAD-dependent protein decrotonylase activity",20208,9654,"GO:0016747","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1,74,1,0.0135135135135135,1,"GO:0038147","GO:MF","C-X-C motif chemokine 12 receptor activity",20208,4967,"GO:0016494","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1,74,1,0.0135135135135135,1,"GO:0008955","GO:MF","peptidoglycan glycosyltransferase activity",20208,2008,"GO:0016758","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,275,74,5,0.0675675675675676,0.0181818181818182,"GO:0005096","GO:MF","GTPase activator activity",20208,1241,"GO:0008047;GO:0030695","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389319498270647,1,74,1,0.0135135135135135,1,"GO:0160012","GO:MF","histone decrotonylase activity, NAD-dependent",20208,9655,"GO:0160009;GO:0160011","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0420740685391418,26,74,2,0.027027027027027,0.0769230769230769,"GO:0070412","GO:MF","R-SMAD binding",20208,7927,"GO:0046332","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0441994123381539,27,74,2,0.027027027027027,0.0740740740740741,"GO:0051019","GO:MF","mitogen-activated protein kinase binding",20208,7286,"GO:0019901","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
