"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0143966745843489,3,6,1,0.166666666666667,0.333333333333333,"GO:0047710","GO:MF","bis(5'-adenosyl)-triphosphatase activity",20208,6343,"GO:0016462","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0143966745843489,2,6,1,0.166666666666667,0.5,"GO:0004356","GO:MF","glutamine synthetase activity",20208,689,"GO:0016211","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0143966745843489,2,6,1,0.166666666666667,0.5,"GO:0016211","GO:MF","ammonia ligase activity",20208,2653,"GO:0016880","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0143966745843489,3,6,1,0.166666666666667,0.333333333333333,"GO:0016880","GO:MF","acid-ammonia (or amide) ligase activity",20208,2966,"GO:0016879","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0143966745843489,2,6,1,0.166666666666667,0.5,"GO:0031703","GO:MF","type 2 angiotensin receptor binding",20208,3884,"GO:0031701","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0143966745843489,3,6,1,0.166666666666667,0.333333333333333,"GO:0047288","GO:MF","beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminide alpha-2,3- sialyltransferase activity",20208,5949,"GO:0008373","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0287755426694851,8,6,1,0.166666666666667,0.125,"GO:0031701","GO:MF","angiotensin receptor binding",20208,3882,"GO:0001664","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0287755426694851,7,6,1,0.166666666666667,0.142857142857143,"GO:0003836","GO:MF","beta-galactoside (CMP) alpha-2,3-sialyltransferase activity",20208,367,"GO:0008373","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0319649148441115,10,6,1,0.166666666666667,0.1,"GO:0005528","GO:MF","FK506 binding",20208,1466,"GO:0005527","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0345135671150737,12,6,1,0.166666666666667,0.0833333333333333,"GO:0005527","GO:MF","macrolide binding",20208,1465,"GO:0005488","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0418139297520678,16,6,1,0.166666666666667,0.0625,"GO:0005159","GO:MF","insulin-like growth factor receptor binding",20208,1289,"GO:0005102","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Down"
