"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000109724120213782,1309,13,7,0.538461538461538,0.0053475935828877,"GO:0000981","GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific",20208,117,"GO:0003700","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000109724120213782,431,13,5,0.384615384615385,0.0116009280742459,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000109724120213782,437,13,5,0.384615384615385,0.011441647597254,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000109724120213782,1605,13,8,0.615384615384615,0.00498442367601246,"GO:0043565","GO:MF","sequence-specific DNA binding",20208,5209,"GO:0003677","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000109724120213782,1907,13,8,0.615384615384615,0.00419507079181961,"GO:0140110","GO:MF","transcription regulator activity",20208,9201,"GO:0003674","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000114484272033084,1395,13,7,0.538461538461538,0.00501792114695341,"GO:0003700","GO:MF","DNA-binding transcription factor activity",20208,326,"GO:0140110","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000114484272033084,1413,13,7,0.538461538461538,0.00495399858457183,"GO:0000976","GO:MF","transcription cis-regulatory region binding",20208,113,"GO:0001067;GO:1990837","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000114484272033084,1414,13,7,0.538461538461538,0.00495049504950495,"GO:0001067","GO:MF","transcription regulatory region nucleic acid binding",20208,141,"GO:0003676","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000141971987768398,1487,13,7,0.538461538461538,0.0047074646940148,"GO:1990837","GO:MF","sequence-specific double-stranded DNA binding",20208,10064,"GO:0003690;GO:0043565","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000193766124544443,1584,13,7,0.538461538461538,0.00441919191919192,"GO:0003690","GO:MF","double-stranded DNA binding",20208,320,"GO:0003677","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000323119823023342,1131,13,6,0.461538461538462,0.00530503978779841,"GO:0000987","GO:MF","cis-regulatory region sequence-specific DNA binding",20208,118,"GO:0000976","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000352608249516319,2540,13,8,0.615384615384615,0.0031496062992126,"GO:0003677","GO:MF","DNA binding",20208,312,"GO:0003676","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000625586054356296,1310,13,6,0.461538461538462,0.00458015267175573,"GO:0000977","GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",20208,114,"GO:0000976","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00295557441663234,1105,13,5,0.384615384615385,0.00452488687782805,"GO:0000978","GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",20208,115,"GO:0000977;GO:0000987","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00823191762565472,2,13,1,0.0769230769230769,0.5,"GO:0160123","GO:MF","structural constituent of nuclear lamina",20208,9684,"GO:0005198","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0115726971234478,3,13,1,0.0769230769230769,0.333333333333333,"GO:0140912","GO:MF","membrane destabilizing activity",20208,9538,"GO:0003674","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0217645053986727,6,13,1,0.0769230769230769,0.166666666666667,"GO:0140803","GO:MF","NAD+-protein-cysteine ADP-ribosyltransferase activity",20208,9467,"GO:1990404","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.027390887435575,8,13,1,0.0769230769230769,0.125,"GO:0017151","GO:MF","DEAD/H-box RNA helicase binding",20208,3070,"GO:0019899","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
