"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.016858349459267,5,4,1,0.25,0.2,"GO:0055131","GO:MF","C3HC4-type RING finger domain binding",20208,7653,"GO:0019904","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.016858349459267,6,4,1,0.25,0.166666666666667,"GO:0140545","GO:MF","ATP-dependent protein disaggregase activity",20208,9349,"GO:0140657;GO:0140776","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.016858349459267,2,4,1,0.25,0.5,"GO:0031249","GO:MF","denatured protein binding",20208,3819,"GO:0005515","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.016858349459267,5,4,1,0.25,0.2,"GO:0045569","GO:MF","TRAIL binding",20208,5545,"GO:0005515","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.016858349459267,3,4,1,0.25,0.333333333333333,"GO:0038177","GO:MF","death receptor agonist activity",20208,4971,"GO:0048018","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,16,4,1,0.25,0.0625,"GO:0140776","GO:MF","protein-containing complex destabilizing activity",20208,9447,"GO:0003674","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,548,4,2,0.5,0.00364963503649635,"GO:0048018","GO:MF","receptor ligand activity",20208,6616,"GO:0030546","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,31,4,1,0.25,0.032258064516129,"GO:0140662","GO:MF","ATP-dependent protein folding chaperone",20208,9391,"GO:0044183;GO:0140657","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,17,4,1,0.25,0.0588235294117647,"GO:0051787","GO:MF","misfolded protein binding",20208,7396,"GO:0005515","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,594,4,2,0.5,0.00336700336700337,"GO:0030545","GO:MF","signaling receptor regulator activity",20208,3656,"GO:0098772","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,29,4,1,0.25,0.0344827586206897,"GO:0097718","GO:MF","disordered domain specific binding",20208,8369,"GO:0019904","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,31,4,1,0.25,0.032258064516129,"GO:0005164","GO:MF","tumor necrosis factor receptor binding",20208,1293,"GO:0032813","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0334384427938635,556,4,2,0.5,0.00359712230215827,"GO:0030546","GO:MF","signaling receptor activator activity",20208,3657,"GO:0030545;GO:0140677","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0350460212290548,35,4,1,0.25,0.0285714285714286,"GO:0140416","GO:MF","transcription regulator inhibitor activity",20208,9317,"GO:0140678","Monocytes_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0457458842869199,49,4,1,0.25,0.0204081632653061,"GO:0032813","GO:MF","tumor necrosis factor receptor superfamily binding",20208,4188,"GO:0005126","Monocytes_Healthy_vs_AChR_MG","Down"
