"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000872332990917515,594,53,10,0.188679245283019,0.0168350168350168,"GO:0030545","GO:MF","signaling receptor regulator activity",20208,3656,"GO:0098772","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00128094385225728,49,53,4,0.0754716981132075,0.0816326530612245,"GO:0005080","GO:MF","protein kinase C binding",20208,1234,"GO:0019901","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00133116926513906,556,53,9,0.169811320754717,0.0161870503597122,"GO:0030546","GO:MF","signaling receptor activator activity",20208,3657,"GO:0030545;GO:0140677","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00158171506231915,3,53,2,0.0377358490566038,0.666666666666667,"GO:0001730","GO:MF","2'-5'-oligoadenylate synthetase activity",20208,230,"GO:0070566","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00193387744922733,15082,53,51,0.962264150943396,0.0033815143880122,"GO:0005515","GO:MF","protein binding",20208,1455,"GO:0005488","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00193387744922733,239,53,6,0.113207547169811,0.0251046025104603,"GO:0005125","GO:MF","cytokine activity",20208,1258,"GO:0048018","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00259945622962863,158,53,5,0.0943396226415094,0.0316455696202532,"GO:0005178","GO:MF","integrin binding",20208,1306,"GO:0005102;GO:0044877;GO:0050839","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00275162199874118,33,53,3,0.0566037735849057,0.0909090909090909,"GO:0019956","GO:MF","chemokine binding",20208,3465,"GO:0019955","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00275162199874118,548,53,8,0.150943396226415,0.0145985401459854,"GO:0048018","GO:MF","receptor ligand activity",20208,6616,"GO:0030546","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00275162199874118,1252,53,12,0.226415094339623,0.00958466453674121,"GO:0044877","GO:MF","protein-containing complex binding",20208,5458,"GO:0005488","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00528007556096666,2060,53,15,0.283018867924528,0.00728155339805825,"GO:0019899","GO:MF","enzyme binding",20208,3454,"GO:0005515","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00537056046272226,207,53,5,0.0943396226415094,0.0241545893719807,"GO:0051015","GO:MF","actin filament binding",20208,7284,"GO:0003779;GO:0044877","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00537056046272226,336,53,6,0.113207547169811,0.0178571428571429,"GO:0003924","GO:MF","GTPase activity",20208,433,"GO:0017111","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00537056046272226,996,53,10,0.188679245283019,0.0100401606425703,"GO:0008092","GO:MF","cytoskeletal protein binding",20208,1507,"GO:0005515","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00638570050057734,50,53,3,0.0566037735849057,0.06,"GO:0008009","GO:MF","chemokine activity",20208,1481,"GO:0005125;GO:0042379","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00830320893991141,57,53,3,0.0566037735849057,0.0526315789473684,"GO:0001786","GO:MF","phosphatidylserine binding",20208,239,"GO:0005543;GO:0043168;GO:0072341","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00830320893991141,12,53,2,0.0377358490566038,0.166666666666667,"GO:0032036","GO:MF","myosin heavy chain binding",20208,4094,"GO:0017022","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00912205454431678,2266,53,15,0.283018867924528,0.00661959399823478,"GO:0098772","GO:MF","molecular function regulator activity",20208,8415,"GO:0003674","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00976773814077735,14,53,2,0.0377358490566038,0.142857142857143,"GO:0005161","GO:MF","platelet-derived growth factor receptor binding",20208,1291,"GO:0070851","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00976773814077735,1346,53,11,0.207547169811321,0.00817236255572065,"GO:0005102","GO:MF","signaling receptor binding",20208,1242,"GO:0005515","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0120461406810382,279,53,5,0.0943396226415094,0.017921146953405,"GO:0005126","GO:MF","cytokine receptor binding",20208,1259,"GO:0005102","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0127337741916784,17,53,2,0.0377358490566038,0.117647058823529,"GO:0045236","GO:MF","CXCR chemokine receptor binding",20208,5482,"GO:0042379","Monocytes_Healthy_vs_SNMG_Pre","Up"
