"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.07431460898847e-06,153,22,6,0.272727272727273,0.0392156862745098,"GO:0140375","GO:MF","immune receptor activity",20208,9300,"GO:0038023","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000101826146885672,2,22,2,0.0909090909090909,1,"GO:0004906","GO:MF","type II interferon receptor activity",20208,1121,"GO:0004904","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000260308381343847,103,22,4,0.181818181818182,0.0388349514563107,"GO:0004896","GO:MF","cytokine receptor activity",20208,1113,"GO:0004888;GO:0140375","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000508123564786452,5,22,2,0.0909090909090909,0.4,"GO:0004904","GO:MF","interferon receptor activity",20208,1119,"GO:0004896","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000633733074036183,47,22,3,0.136363636363636,0.0638297872340425,"GO:0001784","GO:MF","phosphotyrosine residue binding",20208,237,"GO:0045309","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000710434622332876,7,22,2,0.0909090909090909,0.285714285714286,"GO:0004908","GO:MF","interleukin-1 receptor activity",20208,1122,"GO:0004896","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.000899890306512795,59,22,3,0.136363636363636,0.0508474576271186,"GO:0045309","GO:MF","protein phosphorylated amino acid binding",20208,5494,"GO:0051219","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0013918179255669,11,22,2,0.0909090909090909,0.181818181818182,"GO:0004875","GO:MF","complement receptor activity",20208,1104,"GO:0004888;GO:0140375","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00272766298023355,93,22,3,0.136363636363636,0.032258064516129,"GO:0051219","GO:MF","phosphoprotein binding",20208,7313,"GO:0005515","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.011186265981817,34,22,2,0.0909090909090909,0.0588235294117647,"GO:0005154","GO:MF","epidermal growth factor receptor binding",20208,1286,"GO:0070851","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0120488363831124,37,22,2,0.0909090909090909,0.0540540540540541,"GO:0035198","GO:MF","miRNA binding",20208,4730,"GO:0061980","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.013997285374957,1,22,1,0.0454545454545455,1,"GO:0070551","GO:MF","endoribonuclease activity, cleaving siRNA-paired mRNA",20208,7944,"GO:0016891","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.013997285374957,1,22,1,0.0454545454545455,1,"GO:0004876","GO:MF","complement component C3a receptor activity",20208,1105,"GO:0004875","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.013997285374957,1,22,1,0.0454545454545455,1,"GO:0047256","GO:MF","lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase activity",20208,5920,"GO:0008375","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0174190326480788,52,22,2,0.0909090909090909,0.0384615384615385,"GO:0061980","GO:MF","regulatory RNA binding",20208,7781,"GO:0003723","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
