"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,4.97356518637401e-06,1131,16,9,0.5625,0.00795755968169761,"GO:0000987","GO:MF","cis-regulatory region sequence-specific DNA binding",20208,118,"GO:0000976","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1413,16,9,0.5625,0.00636942675159236,"GO:0000976","GO:MF","transcription cis-regulatory region binding",20208,113,"GO:0001067;GO:1990837","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1414,16,9,0.5625,0.00636492220650637,"GO:0001067","GO:MF","transcription regulatory region nucleic acid binding",20208,141,"GO:0003676","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1105,16,8,0.5,0.00723981900452489,"GO:0000978","GO:MF","RNA polymerase II cis-regulatory region sequence-specific DNA binding",20208,115,"GO:0000977;GO:0000987","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,437,16,6,0.375,0.0137299771167048,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,431,16,6,0.375,0.0139211136890951,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1584,16,9,0.5625,0.00568181818181818,"GO:0003690","GO:MF","double-stranded DNA binding",20208,320,"GO:0003677","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1605,16,9,0.5625,0.00560747663551402,"GO:0043565","GO:MF","sequence-specific DNA binding",20208,5209,"GO:0003677","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.11319794151745e-05,1487,16,9,0.5625,0.00605245460659045,"GO:1990837","GO:MF","sequence-specific double-stranded DNA binding",20208,10064,"GO:0003690;GO:0043565","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,2.65808592689987e-05,1310,16,8,0.5,0.00610687022900763,"GO:0000977","GO:MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding",20208,114,"GO:0000976","Monocytes_SNMG_Pre_vs_SNMG_Post","Up"
