"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00107321392196721,2060,37,14,0.378378378378378,0.00679611650485437,"GO:0019899","GO:MF","enzyme binding",20208,3454,"GO:0005515","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00107321392196721,437,37,7,0.189189189189189,0.0160183066361556,"GO:0001216","GO:MF","DNA-binding transcription activator activity",20208,169,"GO:0003700","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00107321392196721,431,37,7,0.189189189189189,0.0162412993039443,"GO:0001228","GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific",20208,175,"GO:0000981;GO:0001216","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0110665117251141,12,37,2,0.0540540540540541,0.166666666666667,"GO:0035014","GO:MF","phosphatidylinositol 3-kinase regulator activity",20208,4721,"GO:0019207","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0110665117251141,295,37,5,0.135135135135135,0.0169491525423729,"GO:0019207","GO:MF","kinase regulator activity",20208,3380,"GO:0030234","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0115952902542767,15082,37,36,0.972972972972973,0.00238695133271449,"GO:0005515","GO:MF","protein binding",20208,1455,"GO:0005488","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.014649414068052,759,37,7,0.189189189189189,0.00922266139657444,"GO:0019900","GO:MF","kinase binding",20208,3455,"GO:0019899","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0212693607985359,1372,37,9,0.243243243243243,0.0065597667638484,"GO:0030234","GO:MF","enzyme regulator activity",20208,3578,"GO:0098772","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0243733255610249,24,37,2,0.0540540540540541,0.0833333333333333,"GO:0019957","GO:MF","C-C chemokine binding",20208,3466,"GO:0019956","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0243733255610249,25,37,2,0.0540540540540541,0.08,"GO:0008157","GO:MF","protein phosphatase 1 binding",20208,1545,"GO:0019903","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0243733255610249,26,37,2,0.0540540540540541,0.0769230769230769,"GO:0070412","GO:MF","R-SMAD binding",20208,7927,"GO:0046332","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0271033237383711,680,37,6,0.162162162162162,0.00882352941176471,"GO:0019901","GO:MF","protein kinase binding",20208,3456,"GO:0019900","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0271033237383711,29,37,2,0.0540540540540541,0.0689655172413793,"GO:0035925","GO:MF","mRNA 3'-UTR AU-rich region binding",20208,4833,"GO:0003730","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0281083138108278,2266,37,11,0.297297297297297,0.00485436893203883,"GO:0098772","GO:MF","molecular function regulator activity",20208,8415,"GO:0003674","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0281083138108278,1,37,1,0.027027027027027,1,"GO:0038147","GO:MF","C-X-C motif chemokine 12 receptor activity",20208,4967,"GO:0016494","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0281083138108278,33,37,2,0.0540540540540541,0.0606060606060606,"GO:0019956","GO:MF","chemokine binding",20208,3465,"GO:0019955","NK_cells_Healthy_vs_SNMG_Pre","Down"
