"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00884408951799012,388,15,4,0.266666666666667,0.0103092783505155,"GO:0005525","GO:MF","GTP binding",20208,1464,"GO:0032561;GO:0035639","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884408951799012,410,15,4,0.266666666666667,0.00975609756097561,"GO:0019001","GO:MF","guanyl nucleotide binding",20208,3313,"GO:0017076","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.00884408951799012,410,15,4,0.266666666666667,0.00975609756097561,"GO:0032561","GO:MF","guanyl ribonucleotide binding",20208,4172,"GO:0019001;GO:0032555","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.020635391923991,1,15,1,0.0666666666666667,1,"GO:0008829","GO:MF","dCTP deaminase activity",20208,1908,"GO:0016814;GO:0019239","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.020635391923991,1,15,1,0.0666666666666667,1,"GO:0017024","GO:MF","myosin I binding",20208,3021,"GO:0017022","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0309316472814084,3,15,1,0.0666666666666667,0.333333333333333,"GO:0042610","GO:MF","CD8 receptor binding",20208,5064,"GO:0005102","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0309316472814084,3,15,1,0.0666666666666667,0.333333333333333,"GO:0060703","GO:MF","deoxyribonuclease inhibitor activity",20208,7670,"GO:0140721","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0309316472814084,717,15,4,0.266666666666667,0.00557880055788006,"GO:0042803","GO:MF","protein homodimerization activity",20208,5081,"GO:0042802;GO:0046983","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0309316472814084,2,15,1,0.0666666666666667,0.5,"GO:0032090","GO:MF","Pyrin domain binding",20208,4103,"GO:0019904","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0309316472814084,3,15,1,0.0666666666666667,0.333333333333333,"GO:0030395","GO:MF","lactose binding",20208,3638,"GO:0048030","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0416986819790957,2179,15,6,0.4,0.00275355667737494,"GO:0042802","GO:MF","identical protein binding",20208,5080,"GO:0005515","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0429308681458399,5,15,1,0.0666666666666667,0.2,"GO:0048030","GO:MF","disaccharide binding",20208,6622,"GO:0070492","T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0475377243803791,6,15,1,0.0666666666666667,0.166666666666667,"GO:0140721","GO:MF","nuclease inhibitor activity",20208,9419,"GO:0004857","T_cells_Healthy_vs_AChR_MG","Down"
