"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0289685153809125,2,14,1,0.0714285714285714,0.5,"GO:0001785","GO:MF","prostaglandin J receptor activity",20208,238,"GO:0004955","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,2,14,1,0.0714285714285714,0.5,"GO:0004917","GO:MF","interleukin-7 receptor activity",20208,1130,"GO:0004896","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,87,14,2,0.142857142857143,0.0229885057471264,"GO:0004860","GO:MF","protein kinase inhibitor activity",20208,1095,"GO:0019210;GO:0019887","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,262,14,3,0.214285714285714,0.0114503816793893,"GO:0019887","GO:MF","protein kinase regulator activity",20208,3451,"GO:0019207","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,1,14,1,0.0714285714285714,1,"GO:0008829","GO:MF","dCTP deaminase activity",20208,1908,"GO:0016814;GO:0019239","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,93,14,2,0.142857142857143,0.021505376344086,"GO:0019210","GO:MF","kinase inhibitor activity",20208,3383,"GO:0004857;GO:0019207","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,2,14,1,0.0714285714285714,0.5,"GO:0004956","GO:MF","prostaglandin D receptor activity",20208,1161,"GO:0004955","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0289685153809125,295,14,3,0.214285714285714,0.0101694915254237,"GO:0019207","GO:MF","kinase regulator activity",20208,3380,"GO:0030234","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0404052848459418,428,14,3,0.214285714285714,0.00700934579439252,"GO:0004857","GO:MF","enzyme inhibitor activity",20208,1092,"GO:0030234;GO:0140678","T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0435899554398616,5,14,1,0.0714285714285714,0.2,"GO:0031721","GO:MF","hemoglobin alpha binding",20208,3902,"GO:0030492","T_cells_Healthy_vs_SNMG_Pre","Down"
