"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000218882555071782,28,13,3,0.230769230769231,0.107142857142857,"KEGG:05310","KEGG","Asthma",8716,497,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000218882555071782,201,13,5,0.384615384615385,0.0248756218905473,"KEGG:05169","KEGG","Epstein-Barr virus infection",8716,466,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000218882555071782,93,13,4,0.307692307692308,0.043010752688172,"KEGG:04640","KEGG","Hematopoietic cell lineage",8716,346,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000326000083475263,35,13,3,0.230769230769231,0.0857142857142857,"KEGG:05330","KEGG","Allograft rejection",8716,502,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000335282877267054,38,13,3,0.230769230769231,0.0789473684210526,"KEGG:05332","KEGG","Graft-versus-host disease",8716,503,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000352149766921172,41,13,3,0.230769230769231,0.0731707317073171,"KEGG:04940","KEGG","Type I diabetes mellitus",8716,408,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000400412679001644,45,13,3,0.230769230769231,0.0666666666666667,"KEGG:04672","KEGG","Intestinal immune network for IgA production",8716,357,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000481855461299103,50,13,3,0.230769230769231,0.06,"KEGG:05320","KEGG","Autoimmune thyroid disease",8716,498,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000532893868210435,155,13,4,0.307692307692308,0.0258064516129032,"KEGG:04514","KEGG","Cell adhesion molecule (CAM) interaction",8716,325,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000772308609848843,63,13,3,0.230769230769231,0.0476190476190476,"KEGG:05321","KEGG","Inflammatory bowel disease",8716,499,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000806954577072064,66,13,3,0.230769230769231,0.0454545454545455,"KEGG:05416","KEGG","Viral myocarditis",8716,509,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000919929763499958,71,13,3,0.230769230769231,0.0422535211267606,"KEGG:04612","KEGG","Antigen processing and presentation",8716,335,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00092246750121391,73,13,3,0.230769230769231,0.0410958904109589,"KEGG:05140","KEGG","Leishmaniasis",8716,449,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00139508723224113,87,13,3,0.230769230769231,0.0344827586206897,"KEGG:05150","KEGG","Staphylococcus aureus infection",8716,455,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00139508723224113,89,13,3,0.230769230769231,0.0337078651685393,"KEGG:05323","KEGG","Rheumatoid arthritis",8716,501,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00139508723224113,90,13,3,0.230769230769231,0.0333333333333333,"KEGG:04658","KEGG","Th1 and Th2 cell differentiation",8716,349,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00212658590288139,106,13,3,0.230769230769231,0.0283018867924528,"KEGG:04659","KEGG","Th17 cell differentiation",8716,350,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00217991220253525,109,13,3,0.230769230769231,0.0275229357798165,"KEGG:05145","KEGG","Toxoplasmosis",8716,453,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00394061177286278,136,13,3,0.230769230769231,0.0220588235294118,"KEGG:05322","KEGG","Systemic lupus erythematosus",8716,500,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0048774283589526,149,13,3,0.230769230769231,0.0201342281879195,"KEGG:04145","KEGG","Phagosome",8716,290,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00667775872864182,169,13,3,0.230769230769231,0.0177514792899408,"KEGG:05164","KEGG","Influenza A",8716,461,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00696185869145995,176,13,3,0.230769230769231,0.0170454545454545,"KEGG:05152","KEGG","Tuberculosis",8716,456,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00696185869145995,177,13,3,0.230769230769231,0.0169491525423729,"KEGG:05168","KEGG","Herpes simplex virus 1 infection",8716,465,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00829277609898165,191,13,3,0.230769230769231,0.0157068062827225,"KEGG:04062","KEGG","Chemokine signaling pathway",8716,262,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0118885569987925,220,13,3,0.230769230769231,0.0136363636363636,"KEGG:05166","KEGG","Human T-cell leukemia virus 1 infection",8716,463,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0273586594921755,98,13,2,0.153846153846154,0.0204081632653061,"KEGG:04061","KEGG","Viral protein interaction with cytokine and cytokine receptor",8716,261,"KEGG:00000","B_cells_Healthy_vs_SNMG_Pre","Up"
