"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00314482211695589,92,18,4,0.222222222222222,0.0434782608695652,"KEGG:04657","KEGG","IL-17 signaling pathway",8716,348,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0160364083415846,69,18,3,0.166666666666667,0.0434782608695652,"KEGG:05031","KEGG","Amphetamine addiction",8716,435,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0160364083415846,530,18,6,0.333333333333333,0.0113207547169811,"KEGG:05200","KEGG","Pathways in cancer",8716,469,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0174083651090494,87,18,3,0.166666666666667,0.0344827586206897,"KEGG:05210","KEGG","Colorectal cancer",8716,477,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0247329176836305,106,18,3,0.166666666666667,0.0283018867924528,"KEGG:04659","KEGG","Th17 cell differentiation",8716,350,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,300,18,4,0.222222222222222,0.0133333333333333,"KEGG:04010","KEGG","MAPK signaling pathway",8716,250,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,118,18,3,0.166666666666667,0.0254237288135593,"KEGG:04668","KEGG","TNF signaling pathway",8716,355,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,138,18,3,0.166666666666667,0.0217391304347826,"KEGG:04915","KEGG","Estrogen signaling pathway",8716,386,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,133,18,3,0.166666666666667,0.0225563909774436,"KEGG:04380","KEGG","Osteoclast differentiation",8716,318,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,136,18,3,0.166666666666667,0.0220588235294118,"KEGG:05162","KEGG","Measles",8716,459,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0258477175457227,141,18,3,0.166666666666667,0.0212765957446809,"KEGG:05418","KEGG","Fluid shear stress and atherosclerosis",8716,511,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0369008491652375,49,18,2,0.111111111111111,0.0408163265306122,"KEGG:05030","KEGG","Cocaine addiction",8716,434,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0441711403066764,182,18,3,0.166666666666667,0.0164835164835165,"KEGG:04621","KEGG","NOD-like receptor signaling pathway",8716,339,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0496625662188951,195,18,3,0.166666666666667,0.0153846153846154,"KEGG:05167","KEGG","Kaposi sarcoma-associated herpesvirus infection",8716,464,"KEGG:00000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
