"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000767980023186607,191,33,7,0.212121212121212,0.0366492146596859,"KEGG:04062","KEGG","Chemokine signaling pathway",8716,262,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00645341539061167,125,33,5,0.151515151515152,0.04,"KEGG:04611","KEGG","Platelet activation",8716,334,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00709235096173442,233,33,6,0.181818181818182,0.0257510729613734,"KEGG:04820","KEGG","Cytoskeleton in muscle cells",8716,380,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00709235096173442,234,33,6,0.181818181818182,0.0256410256410256,"KEGG:05171","KEGG","Coronavirus disease - COVID-19",8716,468,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0105826459112383,169,33,5,0.151515151515152,0.029585798816568,"KEGG:05164","KEGG","Influenza A",8716,461,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0106942147526322,98,33,4,0.121212121212121,0.0408163265306122,"KEGG:04061","KEGG","Viral protein interaction with cytokine and cytokine receptor",8716,261,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0145024973844987,297,33,6,0.181818181818182,0.0202020202020202,"KEGG:04517","KEGG","IgSF CAM signaling",8716,326,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0149113134039269,202,33,5,0.151515151515152,0.0247524752475248,"KEGG:04510","KEGG","Focal adhesion",8716,323,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0243217051410155,136,33,4,0.121212121212121,0.0294117647058824,"KEGG:05162","KEGG","Measles",8716,459,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0344875346866192,154,33,4,0.121212121212121,0.025974025974026,"KEGG:04518","KEGG","Integrin signaling",8716,327,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0492926629640015,291,33,5,0.151515151515152,0.0171821305841924,"KEGG:04060","KEGG","Cytokine-cytokine receptor interaction",8716,260,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0492926629640015,177,33,4,0.121212121212121,0.0225988700564972,"KEGG:05168","KEGG","Herpes simplex virus 1 infection",8716,465,"KEGG:00000","Monocytes_Healthy_vs_SNMG_Pre","Up"
