"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0100071554476509,291,11,4,0.363636363636364,0.013745704467354,"KEGG:04060","KEGG","Cytokine-cytokine receptor interaction",8716,260,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0100071554476509,106,11,3,0.272727272727273,0.0283018867924528,"KEGG:04659","KEGG","Th17 cell differentiation",8716,350,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,90,11,2,0.181818181818182,0.0222222222222222,"KEGG:05235","KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer",8716,496,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,90,11,2,0.181818181818182,0.0222222222222222,"KEGG:04658","KEGG","Th1 and Th2 cell differentiation",8716,349,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,73,11,2,0.181818181818182,0.0273972602739726,"KEGG:05140","KEGG","Leishmaniasis",8716,449,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,85,11,2,0.181818181818182,0.0235294117647059,"KEGG:04012","KEGG","ErbB signaling pathway",8716,252,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,87,11,2,0.181818181818182,0.0229885057471264,"KEGG:05150","KEGG","Staphylococcus aureus infection",8716,455,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,63,11,2,0.181818181818182,0.0317460317460317,"KEGG:05321","KEGG","Inflammatory bowel disease",8716,499,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0363912164979898,300,11,3,0.272727272727273,0.01,"KEGG:04010","KEGG","MAPK signaling pathway",8716,250,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0402960756530035,110,11,2,0.181818181818182,0.0181818181818182,"KEGG:04066","KEGG","HIF-1 signaling pathway",8716,264,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0402960756530035,102,11,2,0.181818181818182,0.0196078431372549,"KEGG:05142","KEGG","Chagas disease",8716,450,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0402960756530035,109,11,2,0.181818181818182,0.018348623853211,"KEGG:05145","KEGG","Toxoplasmosis",8716,453,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475912512675633,125,11,2,0.181818181818182,0.016,"KEGG:04650","KEGG","Natural killer cell mediated cytotoxicity",8716,347,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0497787365481418,133,11,2,0.181818181818182,0.0150375939849624,"KEGG:04380","KEGG","Osteoclast differentiation",8716,318,"KEGG:00000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
