"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00335808412135191,133,24,5,0.208333333333333,0.037593984962406,"KEGG:04380","KEGG","Osteoclast differentiation",8716,318,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00455382811049129,87,24,4,0.166666666666667,0.0459770114942529,"KEGG:05210","KEGG","Colorectal cancer",8716,477,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00455382811049129,92,24,4,0.166666666666667,0.0434782608695652,"KEGG:04657","KEGG","IL-17 signaling pathway",8716,348,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0061361297650154,107,24,4,0.166666666666667,0.0373831775700935,"KEGG:04620","KEGG","Toll-like receptor signaling pathway",8716,338,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00730924923757933,220,24,5,0.208333333333333,0.0227272727272727,"KEGG:05166","KEGG","Human T-cell leukemia virus 1 infection",8716,463,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00768398126801661,530,24,7,0.291666666666667,0.0132075471698113,"KEGG:05200","KEGG","Pathways in cancer",8716,469,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00768398126801661,136,24,4,0.166666666666667,0.0294117647058824,"KEGG:04210","KEGG","Apoptosis",8716,296,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00768398126801661,136,24,4,0.166666666666667,0.0294117647058824,"KEGG:05162","KEGG","Measles",8716,459,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0123234927693041,69,24,3,0.125,0.0434782608695652,"KEGG:05031","KEGG","Amphetamine addiction",8716,435,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0130713652782876,73,24,3,0.125,0.0410958904109589,"KEGG:05140","KEGG","Leishmaniasis",8716,449,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0166474771288427,82,24,3,0.125,0.0365853658536585,"KEGG:04662","KEGG","B cell receptor signaling pathway",8716,352,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0171029182297441,195,24,4,0.166666666666667,0.0205128205128205,"KEGG:05167","KEGG","Kaposi sarcoma-associated herpesvirus infection",8716,464,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0171029182297441,90,24,3,0.125,0.0333333333333333,"KEGG:04658","KEGG","Th1 and Th2 cell differentiation",8716,349,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0171029182297441,90,24,3,0.125,0.0333333333333333,"KEGG:05235","KEGG","PD-L1 expression and PD-1 checkpoint pathway in cancer",8716,496,"KEGG:00000","NK_cells_Healthy_vs_SNMG_Pre","Down"
