"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0243724539880166,2086,26,14,0.538461538461538,0.00671140939597315,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,206,26,4,0.153846153846154,0.0194174757281553,"REAC:R-HSA-9711123","REAC","Cellular response to chemical stress",11056,350,"REAC:R-HSA-2262752","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,208,26,4,0.153846153846154,0.0192307692307692,"REAC:R-HSA-5357801","REAC","Programmed Cell Death",11056,1876,"REAC:0000000","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,95,26,3,0.115384615384615,0.0315789473684211,"REAC:R-HSA-9759194","REAC","Nuclear events mediated by NFE2L2",11056,1682,"REAC:R-HSA-9755511","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,198,26,4,0.153846153846154,0.0202020202020202,"REAC:R-HSA-453274","REAC","Mitotic G2-G2/M phases",11056,1546,"REAC:R-HSA-69278","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,92,26,3,0.115384615384615,0.0326086956521739,"REAC:R-HSA-4086400","REAC","PCP/CE pathway",11056,1726,"REAC:R-HSA-3858494","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,196,26,4,0.153846153846154,0.0204081632653061,"REAC:R-HSA-69275","REAC","G2/M Transition",11056,1054,"REAC:R-HSA-453274","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,1102,26,9,0.346153846153846,0.00816696914700544,"REAC:R-HSA-168249","REAC","Innate Immune System",11056,1254,"REAC:R-HSA-168256","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,449,26,6,0.230769230769231,0.0133630289532294,"REAC:R-HSA-5663202","REAC","Diseases of signal transduction by growth factor receptors and second messengers",11056,811,"REAC:R-HSA-1643685","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,54,26,3,0.115384615384615,0.0555555555555556,"REAC:R-HSA-450408","REAC","AUF1 (hnRNP D0) binds and destabilizes mRNA",11056,44,"REAC:R-HSA-450531","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0451881056514283,86,26,3,0.115384615384615,0.0348837209302326,"REAC:R-HSA-450531","REAC","Regulation of mRNA stability by proteins that bind AU-rich elements",11056,2127,"REAC:R-HSA-8953854","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,60,26,2,0.0769230769230769,0.0333333333333333,"REAC:R-HSA-5607761","REAC","Dectin-1 mediated noncanonical NF-kB signaling",11056,477,"REAC:R-HSA-5607764","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,55,26,2,0.0769230769230769,0.0363636363636364,"REAC:R-HSA-4641257","REAC","Degradation of AXIN",11056,739,"REAC:R-HSA-201681","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,792,26,6,0.230769230769231,0.00757575757575758,"REAC:R-HSA-2262752","REAC","Cellular responses to stress",11056,357,"REAC:R-HSA-8953897","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,806,26,6,0.230769230769231,0.00744416873449132,"REAC:R-HSA-8953897","REAC","Cellular responses to stimuli",11056,356,"REAC:0000000","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,780,26,7,0.269230769230769,0.00897435897435897,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,57,26,2,0.0769230769230769,0.0350877192982456,"REAC:R-HSA-4641258","REAC","Degradation of DVL",11056,742,"REAC:R-HSA-201681","B_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0465182331412701,176,26,3,0.115384615384615,0.0170454545454545,"REAC:R-HSA-109581","REAC","Apoptosis",11056,166,"REAC:R-HSA-5357801","B_cells_Healthy_vs_AChR_MG","Down"
