"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0381381033947424,17,4,1,0.25,0.0588235294117647,"REAC:R-HSA-9617828","REAC","FOXO-mediated transcription of cell cycle genes",11056,965,"REAC:R-HSA-9614085","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,17,4,1,0.25,0.0588235294117647,"REAC:R-HSA-9659787","REAC","Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",11056,51,"REAC:R-HSA-9687139","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,14,4,1,0.25,0.0714285714285714,"REAC:R-HSA-198323","REAC","AKT phosphorylates targets in the cytosol",11056,13,"REAC:R-HSA-1257604","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,15,4,1,0.25,0.0666666666666667,"REAC:R-HSA-9648895","REAC","Response of EIF2AK1 (HRI) to heme deficiency",11056,2170,"REAC:R-HSA-2262752","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,10,4,1,0.25,0.1,"REAC:R-HSA-9702518","REAC","STAT5 activation downstream of FLT3 ITD mutants",11056,2255,"REAC:R-HSA-9703648","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,17,4,1,0.25,0.0588235294117647,"REAC:R-HSA-9661069","REAC","Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",11056,709,"REAC:R-HSA-9659787","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,15,4,1,0.25,0.0666666666666667,"REAC:R-HSA-9703648","REAC","Signaling by FLT3 ITD and TKD mutants",11056,2351,"REAC:R-HSA-9682385","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,17,4,1,0.25,0.0588235294117647,"REAC:R-HSA-9703465","REAC","Signaling by FLT3 fusion proteins",11056,2352,"REAC:R-HSA-9682385","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,5,4,1,0.25,0.2,"REAC:R-HSA-8866911","REAC","TFAP2 (AP-2) family regulates transcription of cell cycle factors",11056,2521,"REAC:R-HSA-8864260","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,14,4,1,0.25,0.0714285714285714,"REAC:R-HSA-6804116","REAC","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",11056,2556,"REAC:R-HSA-6791312","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,4,4,1,0.25,0.25,"REAC:R-HSA-69895","REAC","Transcriptional  activation of  cell cycle inhibitor p21 ",11056,2640,"REAC:R-HSA-69560","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,4,4,1,0.25,0.25,"REAC:R-HSA-69560","REAC","Transcriptional activation of p53 responsive genes  ",11056,2647,"REAC:R-HSA-69563","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,16,4,1,0.25,0.0625,"REAC:R-HSA-9825892","REAC","Regulation of MITF-M-dependent genes involved in cell cycle and proliferation",11056,2068,"REAC:R-HSA-9856651","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0381381033947424,7,4,1,0.25,0.142857142857143,"REAC:R-HSA-8941855","REAC","RUNX3 regulates CDKN1A transcription",11056,2006,"REAC:R-HSA-8878159","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0461378873723454,24,4,1,0.25,0.0416666666666667,"REAC:R-HSA-4090294","REAC","SUMOylation of intracellular receptors",11056,2270,"REAC:R-HSA-3108232","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0461378873723454,25,4,1,0.25,0.04,"REAC:R-HSA-2173788","REAC","Downregulation of TGF-beta receptor signaling",11056,827,"REAC:R-HSA-2173789","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0461378873723454,25,4,1,0.25,0.04,"REAC:R-HSA-5674400","REAC","Constitutive Signaling by AKT1 E17K in Cancer",11056,416,"REAC:R-HSA-2219528","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0470478704205338,27,4,1,0.25,0.037037037037037,"REAC:R-HSA-9682385","REAC","FLT3 signaling in disease",11056,961,"REAC:R-HSA-5663202","B_cells_SNMG_Pre_vs_SNMG_Post","Up"
