"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0116866415171922,96,4,2,0.5,0.0208333333333333,"REAC:R-HSA-2219528","REAC","PI3K/AKT Signaling in Cancer",11056,1743,"REAC:R-HSA-5663202","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0116866415171922,97,4,2,0.5,0.0206185567010309,"REAC:R-HSA-6811558","REAC","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",11056,1746,"REAC:R-HSA-199418","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0116866415171922,104,4,2,0.5,0.0192307692307692,"REAC:R-HSA-199418","REAC","Negative regulation of the PI3K/AKT network",11056,1644,"REAC:R-HSA-1257604","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0116866415171922,70,4,2,0.5,0.0285714285714286,"REAC:R-HSA-2219530","REAC","Constitutive Signaling by Aberrant PI3K in Cancer",11056,417,"REAC:R-HSA-2219528","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,266,4,2,0.5,0.0075187969924812,"REAC:R-HSA-5673001","REAC","RAF/MAP kinase cascade",11056,1914,"REAC:R-HSA-5684996","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,12,4,1,0.25,0.0833333333333333,"REAC:R-HSA-9027284","REAC","Erythropoietin activates RAS",11056,899,"REAC:R-HSA-9006335","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,12,4,1,0.25,0.0833333333333333,"REAC:R-HSA-9027276","REAC","Erythropoietin activates Phosphoinositide-3-kinase (PI3K)",11056,897,"REAC:R-HSA-9006335","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,11,4,1,0.25,0.0909090909090909,"REAC:R-HSA-179812","REAC","GRB2 events in EGFR signaling",11056,1069,"REAC:R-HSA-177929","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,9,4,1,0.25,0.111111111111111,"REAC:R-HSA-2586552","REAC","Signaling by Leptin",11056,2363,"REAC:R-HSA-162582","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,10,4,1,0.25,0.1,"REAC:R-HSA-9617629","REAC","Regulation of FOXO transcriptional activity by acetylation",11056,2052,"REAC:R-HSA-9614085","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,5,4,1,0.25,0.2,"REAC:R-HSA-112412","REAC","SOS-mediated signalling",11056,2250,"REAC:R-HSA-112399","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,257,4,2,0.5,0.00778210116731518,"REAC:R-HSA-1257604","REAC","PIP3 activates AKT signaling",11056,1748,"REAC:R-HSA-9006925","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,297,4,2,0.5,0.00673400673400673,"REAC:R-HSA-9006925","REAC","Intracellular signaling by second messengers",11056,1317,"REAC:R-HSA-162582","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,5,4,1,0.25,0.2,"REAC:R-HSA-74713","REAC","IRS activation",11056,1212,"REAC:R-HSA-74751","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,7,4,1,0.25,0.142857142857143,"REAC:R-HSA-9033500","REAC","TYSND1 cleaves peroxisomal proteins",11056,2576,"REAC:R-HSA-9033241","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.015005970049882,8,4,1,0.25,0.125,"REAC:R-HSA-5638302","REAC","Signaling by Overexpressed Wild-Type EGFR in Cancer",11056,2387,"REAC:R-HSA-1643713","Basophils_Healthy_vs_AChR_MG","Up"
