"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000893893186943473,16,4,2,0.5,0.125,"REAC:R-HSA-180292","REAC","GAB1 signalosome",11056,1055,"REAC:R-HSA-177929","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.00472876786236057,51,4,2,0.5,0.0392156862745098,"REAC:R-HSA-177929","REAC","Signaling by EGFR",11056,2326,"REAC:R-HSA-9006934","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0183284341350793,2,4,1,0.25,0.5,"REAC:R-HSA-351200","REAC","Interconversion of polyamines",11056,1277,"REAC:R-HSA-351202","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,9,4,1,0.25,0.111111111111111,"REAC:R-HSA-212718","REAC","EGFR interacts with phospholipase C-gamma",11056,854,"REAC:R-HSA-177929","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,11,4,1,0.25,0.0909090909090909,"REAC:R-HSA-9818030","REAC","NFE2L2 regulating tumorigenic genes",11056,1588,"REAC:R-HSA-9759194","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,11,4,1,0.25,0.0909090909090909,"REAC:R-HSA-179812","REAC","GRB2 events in EGFR signaling",11056,1069,"REAC:R-HSA-177929","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,8,4,1,0.25,0.125,"REAC:R-HSA-5638303","REAC","Inhibition of Signaling by Overexpressed EGFR",11056,1244,"REAC:R-HSA-5638302","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,8,4,1,0.25,0.125,"REAC:R-HSA-5638302","REAC","Signaling by Overexpressed Wild-Type EGFR in Cancer",11056,2387,"REAC:R-HSA-1643713","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.036607156566132,12,4,1,0.25,0.0833333333333333,"REAC:R-HSA-180336","REAC","SHC1 events in EGFR signaling",11056,2224,"REAC:R-HSA-177929","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0420354243873097,16,4,1,0.25,0.0625,"REAC:R-HSA-5676594","REAC","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",11056,2542,"REAC:R-HSA-5668541","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
