"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0269464242625429,75,18,3,0.166666666666667,0.04,"REAC:R-HSA-1234174","REAC","Cellular response to hypoxia",11056,352,"REAC:R-HSA-2262752","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0269464242625429,66,18,3,0.166666666666667,0.0454545454545455,"REAC:R-HSA-1234176","REAC","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",11056,1722,"REAC:R-HSA-1234174","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,176,18,3,0.166666666666667,0.0170454545454545,"REAC:R-HSA-109581","REAC","Apoptosis",11056,166,"REAC:R-HSA-5357801","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,54,18,2,0.111111111111111,0.037037037037037,"REAC:R-HSA-450408","REAC","AUF1 (hnRNP D0) binds and destabilizes mRNA",11056,44,"REAC:R-HSA-450531","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,64,18,2,0.111111111111111,0.03125,"REAC:R-HSA-174084","REAC","Autodegradation of Cdh1 by Cdh1:APC/C",11056,200,"REAC:R-HSA-174143","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,52,18,2,0.111111111111111,0.0384615384615385,"REAC:R-HSA-349425","REAC","Autodegradation of the E3 ubiquitin ligase COP1",11056,201,"REAC:R-HSA-69541","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,64,18,2,0.111111111111111,0.03125,"REAC:R-HSA-4608870","REAC","Asymmetric localization of PCP proteins",11056,193,"REAC:R-HSA-4086400","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,67,18,2,0.111111111111111,0.0298507462686567,"REAC:R-HSA-1169091","REAC","Activation of NF-kappaB in B cells",11056,93,"REAC:R-HSA-1168372","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,57,18,2,0.111111111111111,0.0350877192982456,"REAC:R-HSA-4641258","REAC","Degradation of DVL",11056,742,"REAC:R-HSA-201681","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,60,18,2,0.111111111111111,0.0333333333333333,"REAC:R-HSA-5610780","REAC","Degradation of GLI1 by the proteasome",11056,744,"REAC:R-HSA-5610787","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,60,18,2,0.111111111111111,0.0333333333333333,"REAC:R-HSA-5610783","REAC","Degradation of GLI2 by the proteasome",11056,745,"REAC:R-HSA-5610787","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,52,18,2,0.111111111111111,0.0384615384615385,"REAC:R-HSA-9762114","REAC","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2",11056,1073,"REAC:R-HSA-9759194","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,68,18,2,0.111111111111111,0.0294117647058824,"REAC:R-HSA-69615","REAC","G1/S DNA Damage Checkpoints",11056,1047,"REAC:R-HSA-69620","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,60,18,2,0.111111111111111,0.0333333333333333,"REAC:R-HSA-5610785","REAC","GLI3 is processed to GLI3R by the proteasome",11056,1063,"REAC:R-HSA-5610787","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,69,18,2,0.111111111111111,0.0289855072463768,"REAC:R-HSA-9793380","REAC","Formation of paraxial mesoderm",11056,1003,"REAC:R-HSA-9758941","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,55,18,2,0.111111111111111,0.0363636363636364,"REAC:R-HSA-4641257","REAC","Degradation of AXIN",11056,739,"REAC:R-HSA-201681","CD4__T_cells_Healthy_vs_AChR_MG","Down"
"query_1",TRUE,0.0277652500465024,136,18,3,0.166666666666667,0.0220588235294118,"REAC:R-HSA-5621481","REAC","C-type lectin receptors (CLRs)",11056,272,"REAC:R-HSA-168249","CD4__T_cells_Healthy_vs_AChR_MG","Down"
