"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0017867567829073,38,4,2,0.5,0.0526315789473684,"REAC:R-HSA-9031628","REAC","NGF-stimulated transcription",11056,1592,"REAC:R-HSA-198725","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00224335508542597,60,4,2,0.5,0.0333333333333333,"REAC:R-HSA-198725","REAC","Nuclear Events (kinase and transcription factor activation)",11056,1678,"REAC:R-HSA-187037","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00512667329235339,111,4,2,0.5,0.018018018018018,"REAC:R-HSA-187037","REAC","Signaling by NTRK1 (TRKA)",11056,2381,"REAC:R-HSA-166520","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00526881205204165,130,4,2,0.5,0.0153846153846154,"REAC:R-HSA-166520","REAC","Signaling by NTRKs",11056,2384,"REAC:R-HSA-9006934","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0053832283251285,147,4,2,0.5,0.0136054421768707,"REAC:R-HSA-9018519","REAC","Estrogen-dependent gene expression",11056,906,"REAC:R-HSA-8939211","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00953778241017215,215,4,2,0.5,0.00930232558139535,"REAC:R-HSA-8939211","REAC","ESR-mediated signaling",11056,869,"REAC:R-HSA-9006931","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0146558302040528,289,4,2,0.5,0.0069204152249135,"REAC:R-HSA-9006931","REAC","Signaling by Nuclear Receptors",11056,2386,"REAC:R-HSA-162582","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.017604004135119,15,4,1,0.25,0.0666666666666667,"REAC:R-HSA-9648895","REAC","Response of EIF2AK1 (HRI) to heme deficiency",11056,2170,"REAC:R-HSA-2262752","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0234401680673295,25,4,1,0.25,0.04,"REAC:R-HSA-2173788","REAC","Downregulation of TGF-beta receptor signaling",11056,827,"REAC:R-HSA-2173789","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0234401680673295,24,4,1,0.25,0.0416666666666667,"REAC:R-HSA-4090294","REAC","SUMOylation of intracellular receptors",11056,2270,"REAC:R-HSA-3108232","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0289557516543114,516,4,2,0.5,0.00387596899224806,"REAC:R-HSA-9006934","REAC","Signaling by Receptor Tyrosine Kinases",11056,2399,"REAC:R-HSA-162582","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0319653876998099,41,4,1,0.25,0.024390243902439,"REAC:R-HSA-383280","REAC","Nuclear Receptor transcription pathway",11056,1681,"REAC:R-HSA-212436","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0330823995754432,46,4,1,0.25,0.0217391304347826,"REAC:R-HSA-2173789","REAC","TGF-beta receptor signaling activates SMADs",11056,2525,"REAC:R-HSA-170834","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
