"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,1.39881990345733e-12,76,14,8,0.571428571428571,0.105263157894737,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",11056,1279,"REAC:R-HSA-913531","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.70890996822717e-10,263,14,9,0.642857142857143,0.0342205323193916,"REAC:R-HSA-913531","REAC","Interferon Signaling",11056,1278,"REAC:R-HSA-1280215","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.12370894039203e-09,147,14,7,0.5,0.0476190476190476,"REAC:R-HSA-1169410","REAC","Antimicrobial mechanism of IFN-stimulated genes",11056,163,"REAC:R-HSA-913531","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.12370894039203e-09,71,14,6,0.428571428571429,0.0845070422535211,"REAC:R-HSA-1169408","REAC","ISG15 antiviral mechanism",11056,1215,"REAC:R-HSA-1169410","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.69349860813215e-06,780,14,9,0.642857142857143,0.0115384615384615,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.36446138811598e-05,75,14,4,0.285714285714286,0.0533333333333333,"REAC:R-HSA-9833482","REAC","PKR-mediated signaling",11056,1761,"REAC:R-HSA-1169410","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000104950868956087,97,14,4,0.285714285714286,0.0412371134020619,"REAC:R-HSA-9833110","REAC","RSV-host interactions",11056,1987,"REAC:R-HSA-9820952","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000207119866104444,119,14,4,0.285714285714286,0.0336134453781513,"REAC:R-HSA-9820952","REAC","Respiratory Syncytial Virus Infection Pathway",11056,2164,"REAC:R-HSA-9824446","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00372431743197595,2086,14,9,0.642857142857143,0.00431447746883989,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00580469536732099,873,14,6,0.428571428571429,0.00687285223367698,"REAC:R-HSA-9824446","REAC","Viral Infection Pathways",11056,2742,"REAC:R-HSA-5663205","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0101647655212148,154,14,3,0.214285714285714,0.0194805194805195,"REAC:R-HSA-168255","REAC","Influenza Infection",11056,1235,"REAC:R-HSA-9824446","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0101647655212148,35,14,2,0.142857142857143,0.0571428571428571,"REAC:R-HSA-936440","REAC","Negative regulators of DDX58/IFIH1 signaling",11056,1645,"REAC:R-HSA-168928","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0110619349313986,38,14,2,0.142857142857143,0.0526315789473684,"REAC:R-HSA-168276","REAC","NS1 Mediated Effects on Host Pathways",11056,1614,"REAC:R-HSA-168255","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0118937493294308,1062,14,6,0.428571428571429,0.00564971751412429,"REAC:R-HSA-5663205","REAC","Infectious disease",11056,1233,"REAC:R-HSA-1643685","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.011903039073807,1,14,1,0.0714285714285714,1,"REAC:R-HSA-169131","REAC","Inhibition of PKR",11056,1243,"REAC:R-HSA-168276","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0154610840143839,197,14,3,0.214285714285714,0.0152284263959391,"REAC:R-HSA-9705683","REAC","SARS-CoV-2-host interactions",11056,2214,"REAC:R-HSA-9694516","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0387100189393098,82,14,2,0.142857142857143,0.024390243902439,"REAC:R-HSA-168928","REAC","DDX58/IFIH1-mediated induction of interferon-alpha/beta",11056,456,"REAC:R-HSA-168249","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0418836663493732,292,14,3,0.214285714285714,0.0102739726027397,"REAC:R-HSA-9694516","REAC","SARS-CoV-2 Infection",11056,2208,"REAC:R-HSA-9679506","Dendritic_cells_Healthy_vs_SNMG_Pre","Up"
