"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0194965834973105,792,7,4,0.571428571428571,0.00505050505050505,"REAC:R-HSA-2262752","REAC","Cellular responses to stress",11056,357,"REAC:R-HSA-8953897","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0194965834973105,806,7,4,0.571428571428571,0.00496277915632754,"REAC:R-HSA-8953897","REAC","Cellular responses to stimuli",11056,356,"REAC:0000000","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0194965834973105,60,7,2,0.285714285714286,0.0333333333333333,"REAC:R-HSA-198725","REAC","Nuclear Events (kinase and transcription factor activation)",11056,1678,"REAC:R-HSA-187037","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0194965834973105,38,7,2,0.285714285714286,0.0526315789473684,"REAC:R-HSA-9031628","REAC","NGF-stimulated transcription",11056,1592,"REAC:R-HSA-198725","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,111,7,2,0.285714285714286,0.018018018018018,"REAC:R-HSA-187037","REAC","Signaling by NTRK1 (TRKA)",11056,2381,"REAC:R-HSA-166520","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,4,7,1,0.142857142857143,0.25,"REAC:R-HSA-69895","REAC","Transcriptional  activation of  cell cycle inhibitor p21 ",11056,2640,"REAC:R-HSA-69560","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,92,7,2,0.285714285714286,0.0217391304347826,"REAC:R-HSA-381119","REAC","Unfolded Protein Response (UPR)",11056,2719,"REAC:R-HSA-2262752","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,4,7,1,0.142857142857143,0.25,"REAC:R-HSA-69560","REAC","Transcriptional activation of p53 responsive genes  ",11056,2647,"REAC:R-HSA-69563","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,128,7,2,0.285714285714286,0.015625,"REAC:R-HSA-9730414","REAC","MITF-M-regulated melanocyte development",11056,1428,"REAC:R-HSA-1266738","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0263342959147116,130,7,2,0.285714285714286,0.0153846153846154,"REAC:R-HSA-166520","REAC","Signaling by NTRKs",11056,2384,"REAC:R-HSA-9006934","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0273104887979663,5,7,1,0.142857142857143,0.2,"REAC:R-HSA-8866911","REAC","TFAP2 (AP-2) family regulates transcription of cell cycle factors",11056,2521,"REAC:R-HSA-8864260","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.035029443559952,7,7,1,0.142857142857143,0.142857142857143,"REAC:R-HSA-8941855","REAC","RUNX3 regulates CDKN1A transcription",11056,2006,"REAC:R-HSA-8878159","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0428582932243735,10,7,1,0.142857142857143,0.1,"REAC:R-HSA-9702518","REAC","STAT5 activation downstream of FLT3 ITD mutants",11056,2255,"REAC:R-HSA-9703648","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0428582932243735,194,7,2,0.285714285714286,0.0103092783505155,"REAC:R-HSA-2559583","REAC","Cellular Senescence",11056,348,"REAC:R-HSA-2262752","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0442648705040947,15,7,1,0.142857142857143,0.0666666666666667,"REAC:R-HSA-9703648","REAC","Signaling by FLT3 ITD and TKD mutants",11056,2351,"REAC:R-HSA-9682385","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0442648705040947,17,7,1,0.142857142857143,0.0588235294117647,"REAC:R-HSA-9703465","REAC","Signaling by FLT3 fusion proteins",11056,2352,"REAC:R-HSA-9682385","Dendritic_cells_SNMG_Pre_vs_SNMG_Post","Up"
