"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0455378849790047,143,43,4,0.0930232558139535,0.027972027972028,"REAC:R-HSA-166016","REAC","Toll Like Receptor 4 (TLR4) Cascade",11056,2614,"REAC:R-HSA-168898","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,114,43,4,0.0930232558139535,0.0350877192982456,"REAC:R-HSA-181438","REAC","Toll Like Receptor 2 (TLR2) Cascade",11056,2612,"REAC:R-HSA-168898","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,113,43,4,0.0930232558139535,0.0353982300884956,"REAC:R-HSA-9020702","REAC","Interleukin-1 signaling",11056,1284,"REAC:R-HSA-446652","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9702569","REAC","KW2449-resistant FLT3 mutants",11056,1336,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,111,43,4,0.0930232558139535,0.036036036036036,"REAC:R-HSA-166058","REAC","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",11056,1566,"REAC:R-HSA-166016;REAC:R-HSA-168179;REAC:R-HSA-168188","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,257,43,5,0.116279069767442,0.0194552529182879,"REAC:R-HSA-1257604","REAC","PIP3 activates AKT signaling",11056,1748,"REAC:R-HSA-9006925","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,476,43,8,0.186046511627907,0.0168067226890756,"REAC:R-HSA-449147","REAC","Signaling by Interleukins",11056,2358,"REAC:R-HSA-1280215","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9702600","REAC","midostaurin-resistant FLT3 mutants",11056,2810,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9702614","REAC","ponatinib-resistant FLT3 mutants",11056,2825,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9702596","REAC","lestaurtinib-resistant FLT3 mutants",11056,2795,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9702636","REAC","tandutinib-resistant FLT3 mutants",11056,2845,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0455378849790047,1,43,1,0.0232558139534884,1,"REAC:R-HSA-9703009","REAC","tamatinib-resistant FLT3 mutants",11056,2844,"REAC:R-HSA-9702506","Monocytes_Healthy_vs_SNMG_Pre","Down"
