"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,3.70693259956007e-10,259,45,14,0.311111111111111,0.0540540540540541,"REAC:R-HSA-76002","REAC","Platelet activation, signaling and aggregation",11056,1834,"REAC:R-HSA-109582","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.07329199337848e-09,76,45,9,0.2,0.118421052631579,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",11056,1279,"REAC:R-HSA-913531","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,7.86035965851532e-09,126,45,10,0.222222222222222,0.0793650793650794,"REAC:R-HSA-114608","REAC","Platelet degranulation ",11056,1836,"REAC:R-HSA-76005","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,8.69827274181574e-09,131,45,10,0.222222222222222,0.0763358778625954,"REAC:R-HSA-76005","REAC","Response to elevated platelet cytosolic Ca2+",11056,2174,"REAC:R-HSA-76002","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.47559316585075e-08,780,45,18,0.4,0.0230769230769231,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.16677610639498e-06,675,45,15,0.333333333333333,0.0222222222222222,"REAC:R-HSA-109582","REAC","Hemostasis",11056,1168,"REAC:0000000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.30310762203007e-06,263,45,10,0.222222222222222,0.0380228136882129,"REAC:R-HSA-913531","REAC","Interferon Signaling",11056,1278,"REAC:R-HSA-1280215","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,5.43223925273632e-05,2086,45,23,0.511111111111111,0.011025886864813,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000510768982622934,35,45,4,0.0888888888888889,0.114285714285714,"REAC:R-HSA-6802948","REAC","Signaling by high-kinase activity BRAF mutants",11056,2418,"REAC:R-HSA-6802957","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,147,45,6,0.133333333333333,0.0408163265306122,"REAC:R-HSA-1169410","REAC","Antimicrobial mechanism of IFN-stimulated genes",11056,163,"REAC:R-HSA-913531","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,38,45,4,0.0888888888888889,0.105263157894737,"REAC:R-HSA-76009","REAC","Platelet Aggregation (Plug Formation)",11056,1833,"REAC:R-HSA-76002","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,14,45,3,0.0666666666666667,0.214285714285714,"REAC:R-HSA-354194","REAC","GRB2:SOS provides linkage to MAPK signaling for Integrins ",11056,1071,"REAC:R-HSA-354192","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,45,45,4,0.0888888888888889,0.0888888888888889,"REAC:R-HSA-6802955","REAC","Paradoxical activation of RAF signaling by kinase inactive BRAF",11056,1784,"REAC:R-HSA-6802957","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,39,45,4,0.0888888888888889,0.102564102564103,"REAC:R-HSA-5674135","REAC","MAP2K and MAPK activation",11056,1401,"REAC:R-HSA-5673001","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,40,45,4,0.0888888888888889,0.1,"REAC:R-HSA-9656223","REAC","Signaling by RAF1 mutants",11056,2393,"REAC:R-HSA-6802957","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,43,45,4,0.0888888888888889,0.0930232558139535,"REAC:R-HSA-445355","REAC","Smooth Muscle Contraction",11056,2433,"REAC:R-HSA-397014","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,15,45,3,0.0666666666666667,0.2,"REAC:R-HSA-372708","REAC","p130Cas linkage to MAPK signaling for integrins",11056,2813,"REAC:R-HSA-354192","Monocytes_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000634927660565845,45,45,4,0.0888888888888889,0.0888888888888889,"REAC:R-HSA-6802946","REAC","Signaling by moderate kinase activity BRAF mutants",11056,2422,"REAC:R-HSA-6802957","Monocytes_Healthy_vs_SNMG_Pre","Up"
