"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00442327194419785,476,28,8,0.285714285714286,0.0168067226890756,"REAC:R-HSA-449147","REAC","Signaling by Interleukins",11056,2358,"REAC:R-HSA-1280215","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,111,28,4,0.142857142857143,0.036036036036036,"REAC:R-HSA-168188","REAC","Toll Like Receptor TLR6:TLR2 Cascade",11056,2619,"REAC:R-HSA-181438","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,114,28,4,0.142857142857143,0.0350877192982456,"REAC:R-HSA-168179","REAC","Toll Like Receptor TLR1:TLR2 Cascade",11056,2618,"REAC:R-HSA-181438","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,111,28,4,0.142857142857143,0.036036036036036,"REAC:R-HSA-166058","REAC","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",11056,1566,"REAC:R-HSA-166016;REAC:R-HSA-168179;REAC:R-HSA-168188","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,780,28,9,0.321428571428571,0.0115384615384615,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,215,28,5,0.178571428571429,0.0232558139534884,"REAC:R-HSA-8939211","REAC","ESR-mediated signaling",11056,869,"REAC:R-HSA-9006931","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,37,28,3,0.107142857142857,0.0810810810810811,"REAC:R-HSA-1266695","REAC","Interleukin-7 signaling",11056,1306,"REAC:R-HSA-449147","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00621129630061901,114,28,4,0.142857142857143,0.0350877192982456,"REAC:R-HSA-181438","REAC","Toll Like Receptor 2 (TLR2) Cascade",11056,2612,"REAC:R-HSA-168898","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00836827166919097,10,28,2,0.0714285714285714,0.2,"REAC:R-HSA-450341","REAC","Activation of the AP-1 family of transcription factors",11056,109,"REAC:R-HSA-450282","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0107504769539257,12,28,2,0.0714285714285714,0.166666666666667,"REAC:R-HSA-9827857","REAC","Specification of primordial germ cells",11056,2441,"REAC:R-HSA-1474165","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0107504769539257,143,28,4,0.142857142857143,0.027972027972028,"REAC:R-HSA-166016","REAC","Toll Like Receptor 4 (TLR4) Cascade",11056,2614,"REAC:R-HSA-168898","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0110449314227796,2570,28,15,0.535714285714286,0.00583657587548638,"REAC:R-HSA-162582","REAC","Signal Transduction",11056,2309,"REAC:0000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0147632383725783,289,28,5,0.178571428571429,0.0173010380622837,"REAC:R-HSA-9006931","REAC","Signaling by Nuclear Receptors",11056,2386,"REAC:R-HSA-162582","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0147632383725783,2086,28,13,0.464285714285714,0.0062320230105465,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0147632383725783,168,28,4,0.142857142857143,0.0238095238095238,"REAC:R-HSA-168898","REAC","Toll-like Receptor Cascades",11056,2620,"REAC:R-HSA-168249","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0166116544854285,310,28,5,0.178571428571429,0.0161290322580645,"REAC:R-HSA-5683057","REAC","MAPK family signaling cascades",11056,1403,"REAC:R-HSA-162582","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,23,28,2,0.0714285714285714,0.0869565217391304,"REAC:R-HSA-9634638","REAC","Estrogen-dependent nuclear events downstream of ESR-membrane signaling",11056,907,"REAC:R-HSA-9009391","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,95,28,3,0.107142857142857,0.0315789473684211,"REAC:R-HSA-168176","REAC","Toll Like Receptor 5 (TLR5) Cascade",11056,2615,"REAC:R-HSA-168898","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,516,28,6,0.214285714285714,0.0116279069767442,"REAC:R-HSA-9006934","REAC","Signaling by Receptor Tyrosine Kinases",11056,2399,"REAC:R-HSA-162582","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,23,28,2,0.0714285714285714,0.0869565217391304,"REAC:R-HSA-982772","REAC","Growth hormone receptor signaling",11056,1134,"REAC:R-HSA-1280215","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,95,28,3,0.107142857142857,0.0315789473684211,"REAC:R-HSA-168142","REAC","Toll Like Receptor 10 (TLR10) Cascade",11056,2611,"REAC:R-HSA-168898","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0214598653389585,95,28,3,0.107142857142857,0.0315789473684211,"REAC:R-HSA-975871","REAC","MyD88 cascade initiated on plasma membrane",11056,1561,"REAC:R-HSA-168142;REAC:R-HSA-168176","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0230124170717499,30,28,2,0.0714285714285714,0.0666666666666667,"REAC:R-HSA-450282","REAC","MAPK targets/ Nuclear events mediated by MAP kinases",11056,1404,"REAC:R-HSA-450294","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0230124170717499,103,28,3,0.107142857142857,0.029126213592233,"REAC:R-HSA-168164","REAC","Toll Like Receptor 3 (TLR3) Cascade",11056,2613,"REAC:R-HSA-168898","NK_cells_Healthy_vs_SNMG_Pre","Down"
