"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0011075611861423,263,8,4,0.5,0.0152091254752852,"REAC:R-HSA-913531","REAC","Interferon Signaling",11056,1278,"REAC:R-HSA-1280215","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0011075611861423,76,8,3,0.375,0.0394736842105263,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",11056,1279,"REAC:R-HSA-913531","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00293407071151764,780,8,5,0.625,0.00641025641025641,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00384235988435342,154,8,3,0.375,0.0194805194805195,"REAC:R-HSA-168255","REAC","Influenza Infection",11056,1235,"REAC:R-HSA-9824446","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00693078265871188,38,8,2,0.25,0.0526315789473684,"REAC:R-HSA-168276","REAC","NS1 Mediated Effects on Host Pathways",11056,1614,"REAC:R-HSA-168255","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0131452001929575,1,8,1,0.125,1,"REAC:R-HSA-169131","REAC","Inhibition of PKR",11056,1243,"REAC:R-HSA-168276","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0168712473347838,71,8,2,0.25,0.028169014084507,"REAC:R-HSA-1169408","REAC","ISG15 antiviral mechanism",11056,1215,"REAC:R-HSA-1169410","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0168712473347838,75,8,2,0.25,0.0266666666666667,"REAC:R-HSA-9833482","REAC","PKR-mediated signaling",11056,1761,"REAC:R-HSA-1169410","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0249620483235363,97,8,2,0.25,0.0206185567010309,"REAC:R-HSA-9833110","REAC","RSV-host interactions",11056,1987,"REAC:R-HSA-9820952","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0336079975433728,119,8,2,0.25,0.0168067226890756,"REAC:R-HSA-9820952","REAC","Respiratory Syncytial Virus Infection Pathway",11056,2164,"REAC:R-HSA-9824446","NK_cells_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0462250515977139,147,8,2,0.25,0.0136054421768707,"REAC:R-HSA-1169410","REAC","Antimicrobial mechanism of IFN-stimulated genes",11056,163,"REAC:R-HSA-913531","NK_cells_Healthy_vs_SNMG_Pre","Up"
