"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,5.23313371201872e-06,38,11,4,0.363636363636364,0.105263157894737,"REAC:R-HSA-9031628","REAC","NGF-stimulated transcription",11056,1592,"REAC:R-HSA-198725","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,1.70933796138935e-05,60,11,4,0.363636363636364,0.0666666666666667,"REAC:R-HSA-198725","REAC","Nuclear Events (kinase and transcription factor activation)",11056,1678,"REAC:R-HSA-187037","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000136370810837858,111,11,4,0.363636363636364,0.036036036036036,"REAC:R-HSA-187037","REAC","Signaling by NTRK1 (TRKA)",11056,2381,"REAC:R-HSA-166520","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000192112244861875,130,11,4,0.363636363636364,0.0307692307692308,"REAC:R-HSA-166520","REAC","Signaling by NTRKs",11056,2384,"REAC:R-HSA-9006934","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000250455066862449,147,11,4,0.363636363636364,0.0272108843537415,"REAC:R-HSA-9018519","REAC","Estrogen-dependent gene expression",11056,906,"REAC:R-HSA-8939211","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000801046242405873,215,11,4,0.363636363636364,0.0186046511627907,"REAC:R-HSA-8939211","REAC","ESR-mediated signaling",11056,869,"REAC:R-HSA-9006931","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000801046242405873,10,11,2,0.181818181818182,0.2,"REAC:R-HSA-450341","REAC","Activation of the AP-1 family of transcription factors",11056,109,"REAC:R-HSA-450282","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,114,11,3,0.272727272727273,0.0263157894736842,"REAC:R-HSA-168179","REAC","Toll Like Receptor TLR1:TLR2 Cascade",11056,2618,"REAC:R-HSA-181438","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,289,11,4,0.363636363636364,0.013840830449827,"REAC:R-HSA-9006931","REAC","Signaling by Nuclear Receptors",11056,2386,"REAC:R-HSA-162582","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,107,11,3,0.272727272727273,0.0280373831775701,"REAC:R-HSA-166166","REAC","MyD88-independent TLR4 cascade ",11056,1565,"REAC:R-HSA-166016","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,101,11,3,0.272727272727273,0.0297029702970297,"REAC:R-HSA-975155","REAC","MyD88 dependent cascade initiated on endosome",11056,1564,"REAC:R-HSA-168138;REAC:R-HSA-168181","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,103,11,3,0.272727272727273,0.029126213592233,"REAC:R-HSA-168164","REAC","Toll Like Receptor 3 (TLR3) Cascade",11056,2613,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,95,11,3,0.272727272727273,0.0315789473684211,"REAC:R-HSA-168176","REAC","Toll Like Receptor 5 (TLR5) Cascade",11056,2615,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,105,11,3,0.272727272727273,0.0285714285714286,"REAC:R-HSA-168181","REAC","Toll Like Receptor 7/8 (TLR7/8) Cascade",11056,2616,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,100,11,3,0.272727272727273,0.03,"REAC:R-HSA-975138","REAC","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",11056,2565,"REAC:R-HSA-975155","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,114,11,3,0.272727272727273,0.0263157894736842,"REAC:R-HSA-181438","REAC","Toll Like Receptor 2 (TLR2) Cascade",11056,2612,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,95,11,3,0.272727272727273,0.0315789473684211,"REAC:R-HSA-168142","REAC","Toll Like Receptor 10 (TLR10) Cascade",11056,2611,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,107,11,3,0.272727272727273,0.0280373831775701,"REAC:R-HSA-937061","REAC","TRIF (TICAM1)-mediated TLR4 signaling ",11056,2568,"REAC:R-HSA-166166","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,111,11,3,0.272727272727273,0.027027027027027,"REAC:R-HSA-168188","REAC","Toll Like Receptor TLR6:TLR2 Cascade",11056,2619,"REAC:R-HSA-181438","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,108,11,3,0.272727272727273,0.0277777777777778,"REAC:R-HSA-168138","REAC","Toll Like Receptor 9 (TLR9) Cascade",11056,2617,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,111,11,3,0.272727272727273,0.027027027027027,"REAC:R-HSA-166058","REAC","MyD88:MAL(TIRAP) cascade initiated on plasma membrane",11056,1566,"REAC:R-HSA-166016;REAC:R-HSA-168179;REAC:R-HSA-168188","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00102541094481294,95,11,3,0.272727272727273,0.0315789473684211,"REAC:R-HSA-975871","REAC","MyD88 cascade initiated on plasma membrane",11056,1561,"REAC:R-HSA-168142;REAC:R-HSA-168176","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00119901237121094,122,11,3,0.272727272727273,0.0245901639344262,"REAC:R-HSA-2559580","REAC","Oxidative Stress Induced Senescence",11056,1721,"REAC:R-HSA-2559583","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0018360408489721,143,11,3,0.272727272727273,0.020979020979021,"REAC:R-HSA-166016","REAC","Toll Like Receptor 4 (TLR4) Cascade",11056,2614,"REAC:R-HSA-168898","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
