"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,7.65424286497823e-19,76,23,12,0.521739130434783,0.157894736842105,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",11056,1279,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,5.95572340941868e-16,263,23,14,0.608695652173913,0.0532319391634981,"REAC:R-HSA-913531","REAC","Interferon Signaling",11056,1278,"REAC:R-HSA-1280215","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,2.22936144501162e-12,780,23,16,0.695652173913043,0.0205128205128205,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,3.88647340088217e-07,147,23,7,0.304347826086957,0.0476190476190476,"REAC:R-HSA-1169410","REAC","Antimicrobial mechanism of IFN-stimulated genes",11056,163,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,3.88647340088217e-07,2086,23,17,0.739130434782609,0.00814956855225312,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,6.50333970847638e-06,71,23,5,0.217391304347826,0.0704225352112676,"REAC:R-HSA-1169408","REAC","ISG15 antiviral mechanism",11056,1215,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.000830430000071022,97,23,4,0.173913043478261,0.0412371134020619,"REAC:R-HSA-9833110","REAC","RSV-host interactions",11056,1987,"REAC:R-HSA-9820952","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00161553905962463,119,23,4,0.173913043478261,0.0336134453781513,"REAC:R-HSA-9820952","REAC","Respiratory Syncytial Virus Infection Pathway",11056,2164,"REAC:R-HSA-9824446","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00219941342804072,9,23,2,0.0869565217391304,0.222222222222222,"REAC:R-HSA-8983711","REAC","OAS antiviral response",11056,1700,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00645398652956267,75,23,3,0.130434782608696,0.04,"REAC:R-HSA-9833482","REAC","PKR-mediated signaling",11056,1761,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.010329329274503,91,23,3,0.130434782608696,0.032967032967033,"REAC:R-HSA-877300","REAC","Interferon gamma signaling",11056,1280,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0232302219006325,1,23,1,0.0434782608695652,1,"REAC:R-HSA-169131","REAC","Inhibition of PKR",11056,1243,"REAC:R-HSA-168276","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0239125666362403,36,23,2,0.0869565217391304,0.0555555555555556,"REAC:R-HSA-109704","REAC","PI3K Cascade",11056,1740,"REAC:R-HSA-112399","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0239125666362403,35,23,2,0.0869565217391304,0.0571428571428571,"REAC:R-HSA-936440","REAC","Negative regulators of DDX58/IFIH1 signaling",11056,1645,"REAC:R-HSA-168928","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0245169290426214,39,23,2,0.0869565217391304,0.0512820512820513,"REAC:R-HSA-112399","REAC","IRS-mediated signalling",11056,1213,"REAC:R-HSA-2428928;REAC:R-HSA-74751","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0245169290426214,38,23,2,0.0869565217391304,0.0526315789473684,"REAC:R-HSA-168276","REAC","NS1 Mediated Effects on Host Pathways",11056,1614,"REAC:R-HSA-168255","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,2,23,1,0.0434782608695652,0.5,"REAC:R-HSA-109703","REAC","PKB-mediated events",11056,1759,"REAC:R-HSA-109704","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,43,23,2,0.0869565217391304,0.0465116279069767,"REAC:R-HSA-2428924","REAC","IGF1R signaling cascade",11056,1191,"REAC:R-HSA-2404192","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,2,23,1,0.0434782608695652,0.5,"REAC:R-HSA-165160","REAC","PDE3B signalling",11056,1728,"REAC:R-HSA-109703","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,43,23,2,0.0869565217391304,0.0465116279069767,"REAC:R-HSA-2428928","REAC","IRS-related events triggered by IGF1R",11056,1214,"REAC:R-HSA-2428924","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,44,23,2,0.0869565217391304,0.0454545454545455,"REAC:R-HSA-2404192","REAC","Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",11056,2409,"REAC:R-HSA-9006934","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0253168442748787,45,23,2,0.0869565217391304,0.0444444444444444,"REAC:R-HSA-74751","REAC","Insulin receptor signalling cascade",11056,1262,"REAC:R-HSA-74752","Neutrophils_Healthy_vs_AChR_MG","Up"
