"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.18360088071229e-29,76,27,17,0.62962962962963,0.223684210526316,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",11056,1279,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,5.1072063055918e-28,263,27,21,0.777777777777778,0.0798479087452472,"REAC:R-HSA-913531","REAC","Interferon Signaling",11056,1278,"REAC:R-HSA-1280215","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.6593360793634e-18,780,27,21,0.777777777777778,0.0269230769230769,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.6586973356122e-13,147,27,11,0.407407407407407,0.0748299319727891,"REAC:R-HSA-1169410","REAC","Antimicrobial mechanism of IFN-stimulated genes",11056,163,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.98714416238993e-11,2086,27,22,0.814814814814815,0.0105465004793864,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,4.84678492944309e-09,71,27,7,0.259259259259259,0.0985915492957746,"REAC:R-HSA-1169408","REAC","ISG15 antiviral mechanism",11056,1215,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.05563726601931e-06,91,27,6,0.222222222222222,0.0659340659340659,"REAC:R-HSA-877300","REAC","Interferon gamma signaling",11056,1280,"REAC:R-HSA-913531","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.22872202802085e-05,75,27,5,0.185185185185185,0.0666666666666667,"REAC:R-HSA-9833482","REAC","PKR-mediated signaling",11056,1761,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,1.30863204479955e-05,9,27,3,0.111111111111111,0.333333333333333,"REAC:R-HSA-8983711","REAC","OAS antiviral response",11056,1700,"REAC:R-HSA-1169410","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.000912280985700902,97,27,4,0.148148148148148,0.0412371134020619,"REAC:R-HSA-9833110","REAC","RSV-host interactions",11056,1987,"REAC:R-HSA-9820952","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00183226382307192,119,27,4,0.148148148148148,0.0336134453781513,"REAC:R-HSA-9820952","REAC","Respiratory Syncytial Virus Infection Pathway",11056,2164,"REAC:R-HSA-9824446","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0221825253256125,1,27,1,0.037037037037037,1,"REAC:R-HSA-169131","REAC","Inhibition of PKR",11056,1243,"REAC:R-HSA-168276","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0272645141797191,35,27,2,0.0740740740740741,0.0571428571428571,"REAC:R-HSA-936440","REAC","Negative regulators of DDX58/IFIH1 signaling",11056,1645,"REAC:R-HSA-168928","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0297778779254449,38,27,2,0.0740740740740741,0.0526315789473684,"REAC:R-HSA-168276","REAC","NS1 Mediated Effects on Host Pathways",11056,1614,"REAC:R-HSA-168255","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0312796800568837,2,27,1,0.037037037037037,0.5,"REAC:R-HSA-77042","REAC","Formation of editosomes by ADAR proteins",11056,999,"REAC:R-HSA-75064","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0312796800568837,2,27,1,0.037037037037037,0.5,"REAC:R-HSA-75102","REAC","C6 deamination of adenosine",11056,273,"REAC:R-HSA-75064","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0312796800568837,2,27,1,0.037037037037037,0.5,"REAC:R-HSA-75064","REAC","mRNA Editing: A to I Conversion",11056,2801,"REAC:R-HSA-75072","Neutrophils_Healthy_vs_SNMG_Pre","Up"
