"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00274522805242179,111,7,3,0.428571428571429,0.027027027027027,"REAC:R-HSA-6785807","REAC","Interleukin-4 and Interleukin-13 signaling",11056,1303,"REAC:R-HSA-449147","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0097974687675225,38,7,2,0.285714285714286,0.0526315789473684,"REAC:R-HSA-9031628","REAC","NGF-stimulated transcription",11056,1592,"REAC:R-HSA-198725","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0148445036718645,780,7,4,0.571428571428571,0.00512820512820513,"REAC:R-HSA-1280215","REAC","Cytokine Signaling in Immune system",11056,441,"REAC:R-HSA-168256","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0148445036718645,60,7,2,0.285714285714286,0.0333333333333333,"REAC:R-HSA-198725","REAC","Nuclear Events (kinase and transcription factor activation)",11056,1678,"REAC:R-HSA-187037","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0252562838012438,130,7,2,0.285714285714286,0.0153846153846154,"REAC:R-HSA-166520","REAC","Signaling by NTRKs",11056,2384,"REAC:R-HSA-9006934","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0252562838012438,111,7,2,0.285714285714286,0.018018018018018,"REAC:R-HSA-187037","REAC","Signaling by NTRK1 (TRKA)",11056,2381,"REAC:R-HSA-166520","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0252562838012438,476,7,3,0.428571428571429,0.00630252100840336,"REAC:R-HSA-449147","REAC","Signaling by Interleukins",11056,2358,"REAC:R-HSA-1280215","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0252562838012438,4,7,1,0.142857142857143,0.25,"REAC:R-HSA-9025094","REAC","Biosynthesis of DPAn-3 SPMs",11056,244,"REAC:R-HSA-9018683","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0252562838012438,4,7,1,0.142857142857143,0.25,"REAC:R-HSA-9018683","REAC","Biosynthesis of DPA-derived SPMs",11056,243,"REAC:R-HSA-9018678","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0259235544717588,2086,7,5,0.714285714285714,0.00239693192713327,"REAC:R-HSA-168256","REAC","Immune System",11056,1219,"REAC:0000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0259235544717588,5,7,1,0.142857142857143,0.2,"REAC:R-HSA-9018679","REAC","Biosynthesis of EPA-derived SPMs",11056,251,"REAC:R-HSA-9018678","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0259235544717588,6,7,1,0.142857142857143,0.166666666666667,"REAC:R-HSA-2142770","REAC","Synthesis of 15-eicosatetraenoic acid derivatives",11056,2469,"REAC:R-HSA-2142753","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0398391260093772,10,7,1,0.142857142857143,0.1,"REAC:R-HSA-450341","REAC","Activation of the AP-1 family of transcription factors",11056,109,"REAC:R-HSA-450282","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
