"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0419304986165779,17,5,1,0.2,0.0588235294117647,"WP:WP3935","WP","Leptin insulin signaling overlap",8899,315,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,33,5,1,0.2,0.0303030303030303,"WP:WP3893","WP","Development and heterogeneity of the ILC family",8899,301,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,22,5,1,0.2,0.0454545454545455,"WP:WP3599","WP","Transcription factor regulation in adipogenesis",8899,239,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,4,5,1,0.2,0.25,"WP:WP1941","WP","Peroxisomal beta oxidation of tetracosanoyl CoA",8899,52,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,33,5,1,0.2,0.0303030303030303,"WP:WP244","WP","Alpha 6 beta 4 signaling",8899,124,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,28,5,1,0.2,0.0357142857142857,"WP:WP2643","WP","Nanoparticle mediated activation of receptor signaling",8899,153,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,13,5,1,0.2,0.0769230769230769,"WP:WP2814","WP","Mammary gland development puberty stage 2 of 4",8899,163,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,19,5,1,0.2,0.0526315789473684,"WP:WP2879","WP","Farnesoid X receptor pathway",8899,190,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,13,5,1,0.2,0.0769230769230769,"WP:WP2881","WP","Estrogen receptor pathway",8899,193,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,313,5,2,0.4,0.00638977635782748,"WP:WP2882","WP","Nuclear receptors meta pathway",8899,194,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,33,5,1,0.2,0.0303030303030303,"WP:WP5088","WP","Prostaglandin signaling",8899,646,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,23,5,1,0.2,0.0434782608695652,"WP:WP5181","WP","Roles of ceramides in development of insulin resistance",8899,707,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,26,5,1,0.2,0.0384615384615385,"WP:WP581","WP","EPO receptor signaling",8899,952,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,31,5,1,0.2,0.032258064516129,"WP:WP4719","WP","Eicosanoid metabolism via cyclooxygenases COX ",8899,513,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,29,5,1,0.2,0.0344827586206897,"WP:WP4721","WP","Eicosanoid metabolism via lipooxygenases LOX ",8899,515,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,15,5,1,0.2,0.0666666666666667,"WP:WP4723","WP","Omega 3 omega 6 fatty acid synthesis",8899,517,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,23,5,1,0.2,0.0434782608695652,"WP:WP4925","WP","Unfolded protein response",8899,591,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0419304986165779,21,5,1,0.2,0.0476190476190476,"WP:WP5066","WP","FOXA2 pathway",8899,638,"WP:000000","Basophils_Healthy_vs_AChR_MG","Up"
