"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0475280969634861,38,4,1,0.25,0.0263157894736842,"WP:WP2036","WP","TNF related weak inducer of apoptosis TWEAK signaling",8899,77,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,16,4,1,0.25,0.0625,"WP:WP2291","WP","Deregulation of Rab and Rab effector genes in bladder cancer",8899,100,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,28,4,1,0.25,0.0357142857142857,"WP:WP2643","WP","Nanoparticle mediated activation of receptor signaling",8899,153,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,13,4,1,0.25,0.0769230769230769,"WP:WP2814","WP","Mammary gland development puberty stage 2 of 4",8899,163,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,17,4,1,0.25,0.0588235294117647,"WP:WP3413","WP","NOTCH1 regulation of endothelial cell calcification",8899,225,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,35,4,1,0.25,0.0285714285714286,"WP:WP3617","WP","Photodynamic therapy induced NF kB survival signaling",8899,245,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,33,4,1,0.25,0.0303030303030303,"WP:WP3893","WP","Development and heterogeneity of the ILC family",8899,301,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,19,4,1,0.25,0.0526315789473684,"WP:WP404","WP","Nucleotide metabolism",8899,346,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,33,4,1,0.25,0.0303030303030303,"WP:WP5088","WP","Prostaglandin signaling",8899,646,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0475280969634861,15,4,1,0.25,0.0666666666666667,"WP:WP5182","WP","Pro survival signaling of neuroprotectin D1",8899,708,"WP:000000","Basophils_SNMG_Pre_vs_SNMG_Post","Down"
