"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00638692948558326,24,24,3,0.125,0.125,"WP:WP1528","WP","Physiological and pathological hypertrophy of the heart",8899,26,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00740958615103391,87,24,4,0.166666666666667,0.0459770114942529,"WP:WP2840","WP","Hair follicle development cytodifferentiation stage 3 of 3",8899,170,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0144936814078391,50,24,3,0.125,0.06,"WP:WP5373","WP","Osteoarthritic chondrocyte hypertrophy",8899,809,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0144936814078391,48,24,3,0.125,0.0625,"WP:WP286","WP","IL3 signaling",8899,179,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0144936814078391,58,24,3,0.125,0.0517241379310345,"WP:WP2849","WP","Hematopoietic stem cell differentiation",8899,173,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0144936814078391,13,24,2,0.0833333333333333,0.153846153846154,"WP:WP4919","WP","Neuroinflammation",8899,586,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0144936814078391,253,24,5,0.208333333333333,0.0197628458498024,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0159232733779169,70,24,3,0.125,0.0428571428571429,"WP:WP2880","WP","Glucocorticoid receptor pathway",8899,192,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0159232733779169,16,24,2,0.0833333333333333,0.125,"WP:WP2435","WP","Quercetin and Nf kB AP 1 induced apoptosis",8899,122,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0159232733779169,16,24,2,0.0833333333333333,0.125,"WP:WP4928","WP","MAPK pathway in congenital thyroid cancer",8899,593,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,24,24,2,0.0833333333333333,0.0833333333333333,"WP:WP5523","WP","HINT1 pathway",8899,894,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,505,24,6,0.25,0.0118811881188119,"WP:WP5434","WP","Cancer pathways",8899,842,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,23,24,2,0.0833333333333333,0.0869565217391304,"WP:WP4925","WP","Unfolded protein response",8899,591,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,23,24,2,0.0833333333333333,0.0869565217391304,"WP:WP712","WP","Estrogen signaling",8899,976,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,23,24,2,0.0833333333333333,0.0869565217391304,"WP:WP3612","WP","Photodynamic therapy induced NFE2L2 NRF2 survival signaling",8899,242,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0220345935381895,91,24,3,0.125,0.032967032967033,"WP:WP2355","WP","Corticotropin releasing hormone signaling",8899,108,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0247687021571747,98,24,3,0.125,0.0306122448979592,"WP:WP5475","WP","Hallmark of cancer sustaining proliferative signaling",8899,861,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0285757412231929,29,24,2,0.0833333333333333,0.0689655172413793,"WP:WP3972","WP","PDGFR beta pathway",8899,333,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0288930979475306,33,24,2,0.0833333333333333,0.0606060606060606,"WP:WP3893","WP","Development and heterogeneity of the ILC family",8899,301,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0288930979475306,33,24,2,0.0833333333333333,0.0606060606060606,"WP:WP5088","WP","Prostaglandin signaling",8899,646,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0288930979475306,113,24,3,0.125,0.0265486725663717,"WP:WP2263","WP","Androgen receptor network in prostate cancer",8899,93,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0288930979475306,33,24,2,0.0833333333333333,0.0606060606060606,"WP:WP4880","WP","Host pathogen interaction of human coronaviruses interferon induction",8899,574,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0288930979475306,108,24,3,0.125,0.0277777777777778,"WP:WP5353","WP","Macrophage stimulating protein MSP signaling",8899,797,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0290162542178318,117,24,3,0.125,0.0256410256410256,"WP:WP3931","WP","Embryonic stem cell pluripotency pathways",8899,311,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0298564073187471,35,24,2,0.0833333333333333,0.0571428571428571,"WP:WP313","WP","Hepatocyte growth factor receptor signaling",8899,207,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0303468914219992,36,24,2,0.0833333333333333,0.0555555555555556,"WP:WP4877","WP","Host pathogen interaction of human coronaviruses MAPK signaling",8899,572,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0342027681738218,39,24,2,0.0833333333333333,0.0512820512820513,"WP:WP4564","WP","Neural crest cell migration during development",8899,480,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0346601284308684,40,24,2,0.0833333333333333,0.05,"WP:WP2526","WP","PDGF pathway",8899,137,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0355917492866278,42,24,2,0.0833333333333333,0.0476190476190476,"WP:WP4565","WP","Neural crest cell migration in cancer",8899,481,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0355917492866278,136,24,3,0.125,0.0220588235294118,"WP:WP4630","WP","Measles virus infection",8899,493,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0409034841147889,145,24,3,0.125,0.0206896551724138,"WP:WP1449","WP","Regulation of toll like receptor signaling",8899,21,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0415507967066702,47,24,2,0.0833333333333333,0.0425531914893617,"WP:WP28","WP","Selenium metabolism and selenoproteins",8899,159,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0428385249421767,49,24,2,0.0833333333333333,0.0408163265306122,"WP:WP5477","WP","Molecular pathway for oxidative stress",8899,862,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0428385249421767,50,24,2,0.0833333333333333,0.04,"WP:WP3611","WP","Photodynamic therapy induced AP 1 survival signaling",8899,241,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0428385249421767,50,24,2,0.0833333333333333,0.04,"WP:WP2018","WP","RANKL RANK signaling",8899,71,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0437203813152182,158,24,3,0.125,0.0189873417721519,"WP:WP437","WP","EGF EGFR signaling",8899,430,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0437203813152182,52,24,2,0.0833333333333333,0.0384615384615385,"WP:WP5569","WP","Uterine natural killer cells and progesterone estrogen and chorionic gonadotropin",8899,926,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0457071215323709,313,24,4,0.166666666666667,0.012779552715655,"WP:WP2882","WP","Nuclear receptors meta pathway",8899,194,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0462240715417294,55,24,2,0.0833333333333333,0.0363636363636364,"WP:WP560","WP","TGF beta receptor signaling",8899,940,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0466611388678585,56,24,2,0.0833333333333333,0.0357142857142857,"WP:WP2374","WP","Oncostatin M signaling",8899,116,"WP:000000","CD4__T_cells_Healthy_vs_SNMG_Pre","Down"
