"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00023445404539146,91,5,3,0.6,0.032967032967033,"WP:WP2355","WP","Corticotropin releasing hormone signaling",8899,108,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00351995808237998,50,5,2,0.4,0.04,"WP:WP5373","WP","Osteoarthritic chondrocyte hypertrophy",8899,809,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0231863118126609,158,5,2,0.4,0.0126582278481013,"WP:WP437","WP","EGF EGFR signaling",8899,430,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,27,5,1,0.2,0.037037037037037,"WP:WP3613","WP","Photodynamic therapy induced unfolded protein response",8899,243,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,58,5,1,0.2,0.0172413793103448,"WP:WP3527","WP","Pre implantation embryo",8899,228,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,45,5,1,0.2,0.0222222222222222,"WP:WP2873","WP","Aryl hydrocarbon receptor pathway",8899,184,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,430,5,2,0.4,0.00465116279069767,"WP:WP3888","WP","VEGFA VEGFR2 signaling",8899,297,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,38,5,1,0.2,0.0263157894736842,"WP:WP170","WP","Nuclear receptors",8899,44,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,30,5,1,0.2,0.0333333333333333,"WP:WP2855","WP","Dopaminergic neurogenesis",8899,176,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,53,5,1,0.2,0.0188679245283019,"WP:WP2864","WP","Apoptosis related network due to altered Notch3 in ovarian cancer",8899,180,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,56,5,1,0.2,0.0178571428571429,"WP:WP2374","WP","Oncostatin M signaling",8899,116,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,58,5,1,0.2,0.0172413793103448,"WP:WP2849","WP","Hematopoietic stem cell differentiation",8899,173,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,60,5,1,0.2,0.0166666666666667,"WP:WP5352","WP","10q11 21q11 23 copy number variation syndrome",8899,796,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,28,5,1,0.2,0.0357142857142857,"WP:WP5036","WP","Angiotensin II receptor type 1 pathway",8899,622,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,20,5,1,0.2,0.05,"WP:WP516","WP","Exercise and hypertrophy in skeletal muscle",8899,695,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,46,5,1,0.2,0.0217391304347826,"WP:WP4861","WP","Endoplasmic reticulum stress response in coronavirus infection",8899,562,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0450089626728046,23,5,1,0.2,0.0434782608695652,"WP:WP4925","WP","Unfolded protein response",8899,591,"WP:000000","CD4__T_cells_SNMG_Pre_vs_SNMG_Post","Up"
