"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000979119796593648,5,59,3,0.0508474576271186,0.6,"WP:WP3596","WP","miR 517 relationship with ARCN1 and USP1",8899,238,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00391011893777991,130,59,7,0.11864406779661,0.0538461538461538,"WP:WP236","WP","Adipogenesis",8899,110,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0198048061123378,88,59,5,0.0847457627118644,0.0568181818181818,"WP:WP5098","WP","T cell activation SARS CoV 2",8899,654,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0198048061123378,253,59,8,0.135593220338983,0.0316205533596838,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0198048061123378,313,59,9,0.152542372881356,0.0287539936102236,"WP:WP2882","WP","Nuclear receptors meta pathway",8899,194,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0233156491886419,23,59,3,0.0508474576271186,0.130434782608696,"WP:WP3612","WP","Photodynamic therapy induced NFE2L2 NRF2 survival signaling",8899,242,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0233156491886419,98,59,5,0.0847457627118644,0.0510204081632653,"WP:WP5475","WP","Hallmark of cancer sustaining proliferative signaling",8899,861,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0252675824435611,58,59,4,0.0677966101694915,0.0689655172413793,"WP:WP3527","WP","Pre implantation embryo",8899,228,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0272208247316139,61,59,4,0.0677966101694915,0.0655737704918033,"WP:WP5072","WP","Modulators of TCR signaling and T cell activation",8899,639,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389767513539061,33,59,3,0.0508474576271186,0.0909090909090909,"WP:WP4496","WP","Signal transduction through IL1R",8899,449,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389767513539061,33,59,3,0.0508474576271186,0.0909090909090909,"WP:WP3893","WP","Development and heterogeneity of the ILC family",8899,301,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389767513539061,74,59,4,0.0677966101694915,0.0540540540540541,"WP:WP2037","WP","Prolactin signaling",8899,78,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0389767513539061,69,59,4,0.0677966101694915,0.0579710144927536,"WP:WP5130","WP","Th17 cell differentiation pathway",8899,677,"WP:000000","Dendritic_cells_Healthy_vs_SNMG_Pre","Down"
