"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.0117418873568687,37,12,2,0.166666666666667,0.0540540540540541,"WP:WP4558","WP","Interferon mediated signaling",8899,476,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,23,12,2,0.166666666666667,0.0869565217391304,"WP:WP4197","WP","Interferon signaling in tuberculosis",8899,371,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,29,12,2,0.166666666666667,0.0689655172413793,"WP:WP4494","WP","Selective expression of chemokine receptors during T cell polarization",8899,447,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,140,12,3,0.25,0.0214285714285714,"WP:WP5083","WP","Neuroinflammation and glutamatergic signaling",8899,643,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,254,12,4,0.333333333333333,0.015748031496063,"WP:WP5473","WP","Cytokine cytokine receptor interaction",8899,859,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,37,12,2,0.166666666666667,0.0540540540540541,"WP:WP619","WP","Type II interferon signaling",8899,956,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0117418873568687,34,12,2,0.166666666666667,0.0588235294117647,"WP:WP5358","WP","JAK STAT signaling in the regulation of beta cells",8899,800,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0332859456298843,74,12,2,0.166666666666667,0.027027027027027,"WP:WP4341","WP","Non genomic actions of 1 25 dihydroxyvitamin D3",8899,426,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0332859456298843,75,12,2,0.166666666666667,0.0266666666666667,"WP:WP24","WP","Peptide GPCRs",8899,118,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0332859456298843,75,12,2,0.166666666666667,0.0266666666666667,"WP:WP4538","WP","Regulatory circuits of STAT3 signaling",8899,467,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0422565685476282,89,12,2,0.166666666666667,0.0224719101123595,"WP:WP673","WP","ErbB signaling",8899,959,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0471540765998346,6,12,1,0.0833333333333333,0.166666666666667,"WP:WP5303","WP","Lacto series sphingolipid metabolism",8899,772,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0471540765998346,6,12,1,0.0833333333333333,0.166666666666667,"WP:WP2805","WP","exRNA mechanism of action and biogenesis",8899,160,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0491830015996725,113,12,2,0.166666666666667,0.0176991150442478,"WP:WP2263","WP","Androgen receptor network in prostate cancer",8899,93,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0491830015996725,112,12,2,0.166666666666667,0.0178571428571429,"WP:WP5561","WP","Integrative Analysis of Treg Glial Interactions ",8899,918,"WP:000000","Monocytes_SNMG_Pre_vs_SNMG_Post","Down"
