"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.00122967617993643,74,31,5,0.161290322580645,0.0675675675675676,"WP:WP2037","WP","Prolactin signaling",8899,78,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00132061361142489,13,31,3,0.0967741935483871,0.230769230769231,"WP:WP4919","WP","Neuroinflammation",8899,586,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00143400373399807,16,31,3,0.0967741935483871,0.1875,"WP:WP2435","WP","Quercetin and Nf kB AP 1 induced apoptosis",8899,122,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00143400373399807,52,31,4,0.129032258064516,0.0769230769230769,"WP:WP5569","WP","Uterine natural killer cells and progesterone estrogen and chorionic gonadotropin",8899,926,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00143400373399807,50,31,4,0.129032258064516,0.08,"WP:WP395","WP","IL4 signaling",8899,324,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00266227660564235,23,31,3,0.0967741935483871,0.130434782608696,"WP:WP4925","WP","Unfolded protein response",8899,591,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00456697580056186,145,31,5,0.161290322580645,0.0344827586206897,"WP:WP1449","WP","Regulation of toll like receptor signaling",8899,21,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00600791276039074,33,31,3,0.0967741935483871,0.0909090909090909,"WP:WP4880","WP","Host pathogen interaction of human coronaviruses interferon induction",8899,574,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00643853364788083,91,31,4,0.129032258064516,0.043956043956044,"WP:WP2355","WP","Corticotropin releasing hormone signaling",8899,108,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00643853364788083,90,31,4,0.129032258064516,0.0444444444444444,"WP:WP1772","WP","Apoptosis modulation and signaling",8899,47,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00690463443691024,95,31,4,0.129032258064516,0.0421052631578947,"WP:WP75","WP","Toll like receptor signaling",8899,982,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.00713422321445197,40,31,3,0.0967741935483871,0.075,"WP:WP2526","WP","PDGF pathway",8899,137,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0095292733860438,108,31,4,0.129032258064516,0.037037037037037,"WP:WP5353","WP","Macrophage stimulating protein MSP signaling",8899,797,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0103674776103353,50,31,3,0.0967741935483871,0.06,"WP:WP2018","WP","RANKL RANK signaling",8899,71,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0103674776103353,50,31,3,0.0967741935483871,0.06,"WP:WP5373","WP","Osteoarthritic chondrocyte hypertrophy",8899,809,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0103674776103353,48,31,3,0.0967741935483871,0.0625,"WP:WP286","WP","IL3 signaling",8899,179,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0134878071932333,58,31,3,0.0967741935483871,0.0517241379310345,"WP:WP3527","WP","Pre implantation embryo",8899,228,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0134878071932333,58,31,3,0.0967741935483871,0.0517241379310345,"WP:WP2849","WP","Hematopoietic stem cell differentiation",8899,173,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0134878071932333,130,31,4,0.129032258064516,0.0307692307692308,"WP:WP236","WP","Adipogenesis",8899,110,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0147224240392467,136,31,4,0.129032258064516,0.0294117647058824,"WP:WP4630","WP","Measles virus infection",8899,493,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0148172825509972,62,31,3,0.0967741935483871,0.0483870967741935,"WP:WP3863","WP","T cell antigen receptor TCR pathway during Staphylococcus aureus infection",8899,285,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0153495103555259,16,31,2,0.0645161290322581,0.125,"WP:WP4928","WP","MAPK pathway in congenital thyroid cancer",8899,593,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0155766115437445,505,31,7,0.225806451612903,0.0138613861386139,"WP:WP5434","WP","Cancer pathways",8899,842,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0159118757583511,17,31,2,0.0645161290322581,0.117647058823529,"WP:WP3935","WP","Leptin insulin signaling overlap",8899,315,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0163087928691579,253,31,5,0.161290322580645,0.0197628458498024,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0163087928691579,69,31,3,0.0967741935483871,0.0434782608695652,"WP:WP5130","WP","Th17 cell differentiation pathway",8899,677,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.017381557333419,73,31,3,0.0967741935483871,0.0410958904109589,"WP:WP4216","WP","Chromosomal and microsatellite instability in colorectal cancer ",8899,377,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.017381557333419,74,31,3,0.0967741935483871,0.0405405405405405,"WP:WP5218","WP","Extrafollicular and follicular B cell activation by SARS CoV 2",8899,730,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.017381557333419,75,31,3,0.0967741935483871,0.04,"WP:WP69","WP","T cell receptor signaling",8899,962,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.017381557333419,160,31,4,0.129032258064516,0.025,"WP:WP481","WP","Insulin signaling",8899,547,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.017381557333419,19,31,2,0.0645161290322581,0.105263157894737,"WP:WP2879","WP","Farnesoid X receptor pathway",8899,190,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0194438930465045,22,31,2,0.0645161290322581,0.0909090909090909,"WP:WP4482","WP","Vitamin D in inflammatory diseases",8899,443,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0194438930465045,22,31,2,0.0645161290322581,0.0909090909090909,"WP:WP3599","WP","Transcription factor regulation in adipogenesis",8899,239,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
"query_1",TRUE,0.0200353299360942,23,31,2,0.0645161290322581,0.0869565217391304,"WP:WP712","WP","Estrogen signaling",8899,976,"WP:000000","NK_cells_Healthy_vs_SNMG_Pre","Down"
