"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000421091927342927,23,3,2,0.666666666666667,0.0869565217391304,"WP:WP4197","WP","Interferon signaling in tuberculosis",8899,371,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,29,3,1,0.333333333333333,0.0344827586206897,"WP:WP4494","WP","Selective expression of chemokine receptors during T cell polarization",8899,447,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,37,3,1,0.333333333333333,0.027027027027027,"WP:WP4558","WP","Interferon mediated signaling",8899,476,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,44,3,1,0.333333333333333,0.0227272727272727,"WP:WP4577","WP","Neurodegeneration with brain iron accumulation NBIA subtypes pathway",8899,484,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,37,3,1,0.333333333333333,0.027027027027027,"WP:WP619","WP","Type II interferon signaling",8899,956,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,36,3,1,0.333333333333333,0.0277777777777778,"WP:WP4877","WP","Host pathogen interaction of human coronaviruses MAPK signaling",8899,572,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,30,3,1,0.333333333333333,0.0333333333333333,"WP:WP4923","WP","Autophagy",8899,590,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,34,3,1,0.333333333333333,0.0294117647058824,"WP:WP5358","WP","JAK STAT signaling in the regulation of beta cells",8899,800,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,43,3,1,0.333333333333333,0.0232558139534884,"WP:WP5198","WP","Inflammatory bowel disease signaling",8899,720,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0324754283347505,33,3,1,0.333333333333333,0.0303030303030303,"WP:WP4950","WP","16p11 2 distal deletion syndrome",8899,603,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367752634110309,74,3,1,0.333333333333333,0.0135135135135135,"WP:WP4341","WP","Non genomic actions of 1 25 dihydroxyvitamin D3",8899,426,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367752634110309,75,3,1,0.333333333333333,0.0133333333333333,"WP:WP4538","WP","Regulatory circuits of STAT3 signaling",8899,467,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367752634110309,69,3,1,0.333333333333333,0.0144927536231884,"WP:WP5130","WP","Th17 cell differentiation pathway",8899,677,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367752634110309,66,3,1,0.333333333333333,0.0151515151515152,"WP:WP5039","WP","SARS CoV 2 innate immunity evasion and cell specific immune response",8899,625,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
"query_1",TRUE,0.0367752634110309,74,3,1,0.333333333333333,0.0135135135135135,"WP:WP5218","WP","Extrafollicular and follicular B cell activation by SARS CoV 2",8899,730,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Down"
