"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,2.65008689534183e-07,91,13,6,0.461538461538462,0.0659340659340659,"WP:WP2355","WP","Corticotropin releasing hormone signaling",8899,108,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,4.79514387047743e-07,50,13,5,0.384615384615385,0.1,"WP:WP5373","WP","Osteoarthritic chondrocyte hypertrophy",8899,809,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,3.89141939136794e-05,13,13,3,0.230769230769231,0.230769230769231,"WP:WP4919","WP","Neuroinflammation",8899,586,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,4.07348280189511e-05,56,13,4,0.307692307692308,0.0714285714285714,"WP:WP2374","WP","Oncostatin M signaling",8899,116,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,4.56017999043086e-05,16,13,3,0.230769230769231,0.1875,"WP:WP2435","WP","Quercetin and Nf kB AP 1 induced apoptosis",8899,122,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000183773399920411,90,13,4,0.307692307692308,0.0444444444444444,"WP:WP1772","WP","Apoptosis modulation and signaling",8899,47,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000312830327409394,33,13,3,0.230769230769231,0.0909090909090909,"WP:WP4880","WP","Host pathogen interaction of human coronaviruses interferon induction",8899,574,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000357306340177569,36,13,3,0.230769230769231,0.0833333333333333,"WP:WP4877","WP","Host pathogen interaction of human coronaviruses MAPK signaling",8899,572,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000438005997290074,40,13,3,0.230769230769231,0.075,"WP:WP2526","WP","PDGF pathway",8899,137,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000563785822755733,45,13,3,0.230769230769231,0.0666666666666667,"WP:WP2873","WP","Aryl hydrocarbon receptor pathway",8899,184,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000596499805659583,50,13,3,0.230769230769231,0.06,"WP:WP3611","WP","Photodynamic therapy induced AP 1 survival signaling",8899,241,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000596499805659583,48,13,3,0.230769230769231,0.0625,"WP:WP286","WP","IL3 signaling",8899,179,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000596499805659583,50,13,3,0.230769230769231,0.06,"WP:WP2018","WP","RANKL RANK signaling",8899,71,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000728785510081916,158,13,4,0.307692307692308,0.0253164556962025,"WP:WP437","WP","EGF EGFR signaling",8899,430,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.000987471629723148,62,13,3,0.230769230769231,0.0483870967741935,"WP:WP3863","WP","T cell antigen receptor TCR pathway during Staphylococcus aureus infection",8899,285,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00127493074052602,69,13,3,0.230769230769231,0.0434782608695652,"WP:WP5130","WP","Th17 cell differentiation pathway",8899,677,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00137668079943387,74,13,3,0.230769230769231,0.0405405405405405,"WP:WP2037","WP","Prolactin signaling",8899,78,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00137668079943387,73,13,3,0.230769230769231,0.0410958904109589,"WP:WP4216","WP","Chromosomal and microsatellite instability in colorectal cancer ",8899,377,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00137668079943387,75,13,3,0.230769230769231,0.04,"WP:WP69","WP","T cell receptor signaling",8899,962,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00182797165065989,87,13,3,0.230769230769231,0.0344827586206897,"WP:WP254","WP","Apoptosis",8899,140,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00182797165065989,16,13,2,0.153846153846154,0.125,"WP:WP4928","WP","MAPK pathway in congenital thyroid cancer",8899,593,"WP:000000","NK_cells_SNMG_Pre_vs_SNMG_Post","Up"
