"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,0.000149413893650454,37,24,4,0.166666666666667,0.108108108108108,"WP:WP619","WP","Type II interferon signaling",8899,956,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.000811723694905922,74,24,4,0.166666666666667,0.0540540540540541,"WP:WP4341","WP","Non genomic actions of 1 25 dihydroxyvitamin D3",8899,426,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.000811723694905922,23,24,3,0.125,0.130434782608696,"WP:WP4197","WP","Interferon signaling in tuberculosis",8899,371,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00105235733839392,31,24,3,0.125,0.0967741935483871,"WP:WP4868","WP","Type I interferon induction and signaling during SARS CoV 2 infection",8899,565,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00105235733839392,33,24,3,0.125,0.0909090909090909,"WP:WP4880","WP","Host pathogen interaction of human coronaviruses interferon induction",8899,574,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00410549173970738,253,24,5,0.208333333333333,0.0197628458498024,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00410549173970738,136,24,4,0.166666666666667,0.0294117647058824,"WP:WP4630","WP","Measles virus infection",8899,493,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.00854859393820039,19,24,2,0.0833333333333333,0.105263157894737,"WP:WP2879","WP","Farnesoid X receptor pathway",8899,190,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0111688132621934,23,24,2,0.0833333333333333,0.0869565217391304,"WP:WP5181","WP","Roles of ceramides in development of insulin resistance",8899,707,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
"query_1",TRUE,0.0483796644467515,51,24,2,0.0833333333333333,0.0392156862745098,"WP:WP3286","WP","Copper homeostasis",8899,211,"WP:000000","Neutrophils_Healthy_vs_AChR_MG","Up"
