"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,4.7885376530231e-06,37,25,5,0.2,0.135135135135135,"WP:WP619","WP","Type II interferon signaling",8899,956,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,2.11050779339401e-05,23,25,4,0.16,0.173913043478261,"WP:WP4197","WP","Interferon signaling in tuberculosis",8899,371,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.19006651509604e-05,136,25,6,0.24,0.0441176470588235,"WP:WP4630","WP","Measles virus infection",8899,493,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.19006651509604e-05,74,25,5,0.2,0.0675675675675676,"WP:WP4341","WP","Non genomic actions of 1 25 dihydroxyvitamin D3",8899,426,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.19006651509604e-05,33,25,4,0.16,0.121212121212121,"WP:WP4880","WP","Host pathogen interaction of human coronaviruses interferon induction",8899,574,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,3.19006651509604e-05,31,25,4,0.16,0.129032258064516,"WP:WP4868","WP","Type I interferon induction and signaling during SARS CoV 2 infection",8899,565,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,6.24359276108376e-05,253,25,7,0.28,0.0276679841897233,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00861164870661887,14,25,2,0.08,0.142857142857143,"WP:WP5528","WP","JAK STAT signaling and ARTD family members",8899,898,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.00903873213789734,66,25,3,0.12,0.0454545454545455,"WP:WP5039","WP","SARS CoV 2 innate immunity evasion and cell specific immune response",8899,625,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0241018137524153,26,25,2,0.08,0.0769230769230769,"WP:WP5145","WP","COVID 19 structural coverage map",8899,684,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0249615349605796,29,25,2,0.08,0.0689655172413793,"WP:WP3972","WP","PDGFR beta pathway",8899,333,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0249615349605796,28,25,2,0.08,0.0714285714285714,"WP:WP5527","WP","NF kB signaling and ARTD family members",8899,897,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
"query_1",TRUE,0.0272051142603622,110,25,3,0.12,0.0272727272727273,"WP:WP4874","WP","CAMKK2 pathway",8899,569,"WP:000000","Neutrophils_Healthy_vs_SNMG_Pre","Up"
