"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","Comparison","Direction"
"query_1",TRUE,3.8533659337814e-05,115,6,4,0.666666666666667,0.0347826086956522,"WP:WP2431","WP","Spinal cord injury",8899,121,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00224104661303719,16,6,2,0.333333333333333,0.125,"WP:WP2435","WP","Quercetin and Nf kB AP 1 induced apoptosis",8899,122,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00467803578361666,33,6,2,0.333333333333333,0.0606060606060606,"WP:WP408","WP","Oxidative stress response",8899,348,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00467803578361666,36,6,2,0.333333333333333,0.0555555555555556,"WP:WP4877","WP","Host pathogen interaction of human coronaviruses MAPK signaling",8899,572,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00467803578361666,35,6,2,0.333333333333333,0.0571428571428571,"WP:WP313","WP","Hepatocyte growth factor receptor signaling",8899,207,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00503222989593139,50,6,2,0.333333333333333,0.04,"WP:WP5373","WP","Osteoarthritic chondrocyte hypertrophy",8899,809,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00503222989593139,253,6,3,0.5,0.0118577075098814,"WP:WP5115","WP","Network map of SARS CoV 2 signaling",8899,667,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00503222989593139,50,6,2,0.333333333333333,0.04,"WP:WP3611","WP","Photodynamic therapy induced AP 1 survival signaling",8899,241,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00503222989593139,49,6,2,0.333333333333333,0.0408163265306122,"WP:WP5477","WP","Molecular pathway for oxidative stress",8899,862,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00568335305655043,56,6,2,0.333333333333333,0.0357142857142857,"WP:WP2374","WP","Oncostatin M signaling",8899,116,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.00877196642772491,73,6,2,0.333333333333333,0.0273972602739726,"WP:WP4216","WP","Chromosomal and microsatellite instability in colorectal cancer ",8899,377,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0102662029193194,2,6,1,0.166666666666667,0.5,"WP:WP5513","WP","NSAIDs mechanism of action",8899,887,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0102662029193194,2,6,1,0.166666666666667,0.5,"WP:WP5154","WP","Docosahexaenoic acid oxylipin metabolism",8899,691,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0106816426783049,91,6,2,0.333333333333333,0.021978021978022,"WP:WP2355","WP","Corticotropin releasing hormone signaling",8899,108,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0155727704173357,114,6,2,0.333333333333333,0.0175438596491228,"WP:WP4659","WP","Gastrin signaling",8899,499,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0166732069823538,4,6,1,0.166666666666667,0.25,"WP:WP5155","WP","Arachidonic acid AA ARA oxylipin metabolism",8899,692,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0235254209492131,6,6,1,0.166666666666667,0.166666666666667,"WP:WP4586","WP","Metabolism of alpha linolenic acid",8899,489,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0315469888142548,183,6,2,0.333333333333333,0.0109289617486339,"WP:WP2877","WP","Vitamin D receptor pathway",8899,188,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0315469888142548,9,6,1,0.166666666666667,0.111111111111111,"WP:WP5444","WP","Acetaminophen in analgesia and antipyresis",8899,848,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.033290244791287,10,6,1,0.166666666666667,0.1,"WP:WP4707","WP","Aspirin and miRNAs",8899,511,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0360340479195408,13,6,1,0.166666666666667,0.0769230769230769,"WP:WP3930","WP","EDA signaling in hair follicle development",8899,310,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
"query_1",TRUE,0.0360340479195408,13,6,1,0.166666666666667,0.0769230769230769,"WP:WP5324","WP","Octadecanoid formation from linoleic acid",8899,783,"WP:000000","Neutrophils_SNMG_Pre_vs_SNMG_Post","Up"
