"Cell_Type","Tables","Total_Enriched_Terms","Mean_Precision"
"Dendritic_cells_Down_GO_BP",3,867,0.178666666666667
"Monocytes_Up_GO_BP",2,673,0.191
"NK_cells_Down_GO_BP",3,631,0.211
"Neutrophils_Up_GO_BP",3,628,0.251333333333333
"Neutrophils_Down_GO_BP",2,541,0.2185
"Monocytes_Down_GO_BP",3,428,0.279333333333333
"CD4__T_cells_Down_GO_BP",3,387,0.196
"B_cells_Down_GO_BP",2,337,0.2785
"T_cells_Up_GO_BP",2,322,0.245
"NK_cells_Up_GO_BP",2,296,0.28
"Dendritic_cells_Up_GO_BP",2,270,0.289
"B_cells_Up_GO_BP",3,259,0.285
"Basophils_Up_GO_BP",2,227,0.269
"T_cells_Down_GO_BP",3,183,0.281666666666667
"CD8__T_cells_Up_GO_BP",1,146,0.236
"CD4__T_cells_Down_Reactome",3,110,0.270666666666667
"CD4__T_cells_Up_GO_BP",2,110,0.4685
"Monocytes_Down_GO_MF",3,104,0.182666666666667
"B_cells_Down_Reactome",2,101,0.1335
"Monocytes_Up_GO_MF",2,88,0.2065
"CD8__T_cells_Down_GO_BP",2,85,0.225
"NK_cells_Down_GO_MF",3,83,0.156333333333333
"NK_cells_Down_WikiPathways",3,82,0.194
"NK_cells_Up_Reactome",2,82,0.2755
"Dendritic_cells_Down_GO_MF",3,81,0.122666666666667
"NK_cells_Up_WikiPathways",2,81,0.2175
"B_cells_Down_GO_CC",2,76,0.1955
"Basophils_Up_Reactome",2,71,0.388
"Neutrophils_Up_WikiPathways",3,60,0.177333333333333
"CD4__T_cells_Down_GO_MF",3,59,0.128
"Monocytes_Up_GO_CC",2,58,0.21
"Monocytes_Down_Reactome",3,53,0.226
"NK_cells_Up_KEGG",2,53,0.3115
"Neutrophils_Up_Reactome",3,52,0.266
"CD4__T_cells_Down_WikiPathways",2,49,0.2205
"NK_cells_Down_Reactome",3,47,0.240333333333333
"CD4__T_cells_Up_GO_MF",2,44,0.327
"Dendritic_cells_Up_Reactome",2,41,0.2865
"B_cells_Up_GO_MF",2,37,0.174
"Monocytes_Up_Reactome",1,36,0.144
"NK_cells_Down_KEGG",2,34,0.1765
"NK_cells_Up_GO_MF",2,32,0.2425
"Dendritic_cells_Up_GO_MF",1,31,0.315
"B_cells_Up_KEGG",2,27,0.37
"Neutrophils_Up_KEGG",3,27,0.352333333333333
"B_cells_Up_Reactome",2,25,0.2425
"Basophils_Up_WikiPathways",2,25,0.2125
"Basophils_Down_Reactome",1,23,0.283
"Basophils_Up_GO_MF",1,23,0.315
"CD8__T_cells_Down_GO_MF",2,23,0.0895
"T_cells_Down_GO_MF",2,23,0.1415
"Neutrophils_Down_GO_CC",1,22,0.223
"CD4__T_cells_Up_WikiPathways",2,21,0.3015
"Monocytes_Down_WikiPathways",3,21,0.245
"NK_cells_Up_GO_CC",2,20,0.352
"Dendritic_cells_Down_GO_CC",3,19,0.546333333333333
"CD4__T_cells_Up_Reactome",2,16,0.35
"CD4__T_cells_Up_GO_CC",2,15,0.2945
"Dendritic_cells_Up_WikiPathways",2,15,0.2445
"Monocytes_Down_KEGG",2,15,0.604
"NK_cells_Down_GO_CC",2,15,0.1255
"CD4__T_cells_Down_KEGG",1,14,0.183
"Dendritic_cells_Down_WikiPathways",1,13,0.081
"CD8__T_cells_Up_GO_CC",1,12,0.208
"Monocytes_Up_KEGG",1,12,0.154
"B_cells_Down_GO_MF",2,11,0.1565
"Dendritic_cells_Up_GO_CC",2,11,0.289
"Basophils_Down_WikiPathways",1,10,0.25
"B_cells_Up_GO_CC",2,9,0.206
"CD8__T_cells_Up_WikiPathways",1,8,0.325
"Dendritic_cells_Up_KEGG",1,8,0.409
"Monocytes_Up_WikiPathways",1,8,0.119
"Neutrophils_Down_WikiPathways",2,8,0.1465
"T_cells_Down_GO_CC",2,8,0.612
"Basophils_Down_GO_MF",1,7,0.167
"Monocytes_Down_GO_CC",2,7,0.28
"Neutrophils_Down_GO_MF",1,7,0.229
"Neutrophils_Up_GO_MF",2,7,0.0925
"Basophils_Up_KEGG",1,6,0.528
"CD4__T_cells_Down_GO_CC",2,6,0.0755
"CD4__T_cells_Up_KEGG",2,6,0.4165
"Neutrophils_Up_GO_CC",3,6,0.566666666666667
"CD8__T_cells_Down_WikiPathways",2,5,0.188
"CD8__T_cells_Up_KEGG",1,5,0.333
"B_cells_Up_WikiPathways",2,4,0.3335
"T_cells_Up_KEGG",1,4,0.271
"T_cells_Up_Reactome",1,4,0.182
"T_cells_Up_WikiPathways",2,4,0.205
"Basophils_Down_GO_CC",1,3,0.389
"CD8__T_cells_Down_GO_CC",1,3,0.05
"Dendritic_cells_Down_Reactome",1,3,0.232
"B_cells_Down_KEGG",1,2,0.123
"B_cells_Down_WikiPathways",2,2,0.1015
"Basophils_Down_KEGG",1,1,0.667
"Dendritic_cells_Down_KEGG",1,1,0.115
