"Cell_Type","Comparison","Upregulated","Downregulated","Total_DEGs","Mean_Log2FC","Median_Log2FC","Volcano_Score"
"B_cells","Healthy_vs_AChR_MG",357,1351,1708,0.433,0.385,739.88
"B_cells","Healthy_vs_SNMG_Pre",940,906,1846,0.492,0.408,907.87
"B_cells","SNMG_Pre_vs_SNMG_Post",635,851,1486,0.424,0.358,630.46
"Basophils","Healthy_vs_AChR_MG",548,820,1368,0.497,0.433,679.36
"Basophils","Healthy_vs_SNMG_Pre",608,704,1312,0.533,0.442,699.52
"Basophils","SNMG_Pre_vs_SNMG_Post",619,562,1181,0.484,0.414,571.29
"CD4__T_cells","Healthy_vs_AChR_MG",221,1302,1523,0.428,0.375,652.45
"CD4__T_cells","Healthy_vs_SNMG_Pre",602,598,1200,0.439,0.361,526.62
"CD4__T_cells","SNMG_Pre_vs_SNMG_Post",411,672,1083,0.396,0.344,428.56
"CD8__T_cells","Healthy_vs_AChR_MG",377,822,1199,0.407,0.364,488.51
"CD8__T_cells","Healthy_vs_SNMG_Pre",878,360,1238,0.409,0.366,506.59
"CD8__T_cells","SNMG_Pre_vs_SNMG_Post",355,1076,1431,0.422,0.378,603.21
"Dendritic_cells","Healthy_vs_AChR_MG",452,1491,1943,0.397,0.353,770.63
"Dendritic_cells","Healthy_vs_SNMG_Pre",955,1158,2113,0.458,0.372,968.07
"Dendritic_cells","SNMG_Pre_vs_SNMG_Post",631,1278,1909,0.418,0.357,797.33
"Monocytes","Healthy_vs_AChR_MG",832,1138,1970,0.432,0.379,851.66
"Monocytes","Healthy_vs_SNMG_Pre",1535,1233,2768,0.52,0.426,1439.71
"Monocytes","SNMG_Pre_vs_SNMG_Post",773,1120,1893,0.433,0.377,820.31
"Neutrophils","Healthy_vs_AChR_MG",527,575,1102,0.527,0.456,580.72
"Neutrophils","Healthy_vs_SNMG_Pre",514,668,1182,0.625,0.47,738.9
"Neutrophils","SNMG_Pre_vs_SNMG_Post",551,534,1085,0.545,0.45,590.92
"NK_cells","Healthy_vs_AChR_MG",436,1307,1743,0.427,0.38,743.84
"NK_cells","Healthy_vs_SNMG_Pre",809,668,1477,0.447,0.363,660.78
"NK_cells","SNMG_Pre_vs_SNMG_Post",429,689,1118,0.415,0.35,464.5
"Progenitors","Healthy_vs_AChR_MG",3106,2450,5556,0.673,0.549,3739.79
"Progenitors","Healthy_vs_SNMG_Pre",3403,2013,5416,0.671,0.553,3635.58
"Progenitors","SNMG_Pre_vs_SNMG_Post",2209,1976,4185,0.544,0.456,2278.05
"T_cells","Healthy_vs_AChR_MG",538,1044,1582,0.426,0.375,674.4
"T_cells","Healthy_vs_SNMG_Pre",1149,435,1584,0.429,0.371,680.16
"T_cells","SNMG_Pre_vs_SNMG_Post",458,896,1354,0.412,0.368,558.1
