"Cell_Type","Comparison","Direction","Database","Enriched_Terms","Top_Term","Lowest_P","Largest_Intersection","Mean_Precision","Max_Precision","Mean_Recall","Max_Recall"
"B_cells_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",2,"immune system process",0.000530197467898984,19,0.427,0.463,0.007,0.008
"B_cells_Up_GO_BP","Healthy_vs_AChR_MG","Up","GO_BP",51,"positive regulation of leukocyte activation",0.0163698400716081,7,0.301,0.875,0.043,0.333
"B_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",335,"immune system process",4.28404053729924e-06,78,0.13,0.848,0.105,1
"B_cells_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",134,"humoral immune response",2.6061211445845e-05,21,0.158,0.84,0.094,1
"B_cells_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",74,"response to amphetamine",0.0133413595258209,6,0.396,1,0.08,0.5
"Basophils_Up_GO_BP","Healthy_vs_AChR_MG","Up","GO_BP",119,"cell surface receptor protein tyrosine kinase signaling pathway",0.0160398016134978,3,0.276,0.6,0.066,1
"Basophils_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",108,"response to virus",6.06954776250327e-06,10,0.262,1,0.058,0.5
"CD4__T_cells_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",1,"response to protozoan",0.00241703581240862,3,0.15,0.15,0.1,0.1
"CD4__T_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",328,"response to ketone",3.70057126479057e-06,26,0.171,0.929,0.1,1
"CD4__T_cells_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",8,"regulation of apoptotic signaling pathway",0.0417897932507564,8,0.486,0.889,0.013,0.03
"CD4__T_cells_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",58,"chemokine (C-C motif) ligand 21 signaling pathway",0.0258066555553609,2,0.267,0.5,0.119,1
"CD4__T_cells_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",102,"positive regulation of biosynthetic process",0.00274007729967275,5,0.451,1,0.046,1
"CD8__T_cells_Up_GO_BP","Healthy_vs_AChR_MG","Up","GO_BP",146,"nucleotide-binding oligomerization domain containing 1 signaling pathway",0.0010324907271772,4,0.236,0.667,0.107,1
"CD8__T_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",2,"reactive oxygen species metabolic process",0.0383361058283784,3,0.312,0.375,0.026,0.038
"CD8__T_cells_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",83,"response to molecule of bacterial origin",0.0233434573213802,19,0.138,0.95,0.355,1
"Dendritic_cells_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",179,"negative regulation of myeloid leukocyte mediated immunity",0.000992349392569041,27,0.137,0.818,0.189,1
"Dendritic_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",544,"response to stimulus",9.04380538771543e-10,67,0.127,0.931,0.099,1
"Dendritic_cells_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",92,"response to virus",9.79554078901037e-11,14,0.238,0.824,0.093,1
"Dendritic_cells_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",144,"myeloid cell differentiation",0.01394003803422,5,0.272,0.833,0.065,1
"Dendritic_cells_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",178,"regulation of macromolecule biosynthetic process",0.000277303313842047,13,0.34,1,0.096,1
"Monocytes_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",52,"negative regulation of dendritic cell differentiation",0.000177170311702017,4,0.423,1,0.051,0.333
"Monocytes_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",266,"response to lipid",4.19905320363927e-06,44,0.177,0.846,0.084,1
"Monocytes_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",493,"response to virus",3.83814527617048e-08,45,0.113,0.833,0.113,1
"Monocytes_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",110,"microglial cell activation",0.00388713241917392,19,0.238,0.905,0.109,1
"Monocytes_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",180,"regulation of multicellular organismal development",0.000173486108160597,16,0.269,1,0.087,1
"Neutrophils_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",324,"positive regulation of fibroblast growth factor production",0.00150131030242774,9,0.242,0.818,0.077,1
"Neutrophils_Up_GO_BP","Healthy_vs_AChR_MG","Up","GO_BP",176,"response to virus",1.32686857799632e-16,26,0.243,1,0.094,1
"Neutrophils_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",235,"defense response to virus",2.11819112805583e-31,33,0.207,0.971,0.12,1
"Neutrophils_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",217,"leukocyte activation",3.08075797934154e-07,40,0.195,0.851,0.097,1
"Neutrophils_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",217,"cellular response to phorbol 13-acetate 12-myristate",0.00150301222485122,8,0.304,1,0.061,1
"NK_cells_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",215,"cell activation",0.000202265550817842,18,0.161,0.857,0.108,1
"NK_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",379,"immune system process",8.45896918813494e-06,33,0.175,0.892,0.072,1
"NK_cells_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",48,"negative regulation of viral genome replication",0.000361058393800145,5,0.297,0.625,0.046,0.2
"NK_cells_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",37,"defense response",0.0170701094743869,5,0.297,1,0.079,1
"NK_cells_Up_GO_BP","SNMG_Pre_vs_SNMG_Post","Up","GO_BP",248,"positive regulation of transcription by RNA polymerase II",2.39275260448798e-06,15,0.263,0.938,0.05,1
"T_cells_Down_GO_BP","Healthy_vs_AChR_MG","Down","GO_BP",103,"positive regulation of defense response to virus by host",0.0255209078615874,11,0.224,0.917,0.097,1
"T_cells_Up_GO_BP","Healthy_vs_AChR_MG","Up","GO_BP",266,"regulation of tumor necrosis factor superfamily cytokine production",0.00131078919633364,16,0.215,0.941,0.088,1
"T_cells_Down_GO_BP","Healthy_vs_SNMG_Pre","Down","GO_BP",64,"response to biotic stimulus",0.00948706147578273,13,0.246,0.929,0.082,1
"T_cells_Up_GO_BP","Healthy_vs_SNMG_Pre","Up","GO_BP",56,"regulation of gene expression",0.0273556768135911,18,0.275,0.75,0.143,1
"T_cells_Down_GO_BP","SNMG_Pre_vs_SNMG_Post","Down","GO_BP",16,"cytokine production",0.0119481697700905,12,0.375,0.667,0.133,1
"B_cells_Down_GO_CC","Healthy_vs_AChR_MG","Down","GO_CC",35,"cytoplasm",0.00309773125942892,39,0.211,0.886,0.098,1
"B_cells_Down_GO_CC","Healthy_vs_SNMG_Pre","Down","GO_CC",41,"immunoglobulin complex, circulating",2.62172304080363e-05,73,0.18,0.745,0.158,1
"B_cells_Up_GO_CC","Healthy_vs_SNMG_Pre","Up","GO_CC",8,"external side of plasma membrane",6.01476308056508e-05,12,0.245,0.444,0.047,0.176
"B_cells_Up_GO_CC","SNMG_Pre_vs_SNMG_Post","Up","GO_CC",1,"PCNA-p21 complex",0.0384519907395442,1,0.167,0.167,0.5,0.5
"Basophils_Down_GO_CC","SNMG_Pre_vs_SNMG_Post","Down","GO_CC",3,"transport vesicle",0.00860428623754963,3,0.389,0.5,0.008,0.009
"CD4__T_cells_Down_GO_CC","Healthy_vs_AChR_MG","Down","GO_CC",5,"spermatoproteasome complex",0.00168346607017865,2,0.08,0.08,0.189,0.4
"CD4__T_cells_Down_GO_CC","Healthy_vs_SNMG_Pre","Down","GO_CC",1,"transcription factor AP-1 complex",0.00373116563873688,2,0.071,0.071,0.333,0.333
