"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"RPS26",0.0000000000000000000000000000000000000000000000934745506931428,1.50816695706054,0.87,0.782,0.00000000000000000000000000000000000000000342126202991972,"B cells","Healthy_vs_AChR_MG","Upregulated"
"CD83",0.000000000000000000000000000152173996016762,0.979742384406787,0.665,0.445,0.00000000000000000000000556972042820951,"B cells","Healthy_vs_AChR_MG","Upregulated"
"JUND",0.00000000000000000000000000937758642634427,0.533134843188312,0.979,0.968,0.000000000000000000000343229040790627,"B cells","Healthy_vs_AChR_MG","Upregulated"
"CD79B",0.0000000000000000000000025397114852118,-0.554887970706911,0.784,0.919,0.0000000000000000000929559800702371,"B cells","Healthy_vs_AChR_MG","Downregulated"
"ACTR3",0.00000000000000000754195339001448,-0.647436578287047,0.446,0.631,0.00000000000027604303602792,"B cells","Healthy_vs_AChR_MG","Downregulated"
"ARL6IP5",0.0000000000000000104942541779669,-0.647432706729917,0.478,0.655,0.000000000000384100197167767,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PSMB9",0.0000000000000026940891585274,-0.6142478648804,0.487,0.663,0.0000000000986063572912615,"B cells","Healthy_vs_AChR_MG","Downregulated"
"KIAA0040",0.0000000000000430021681043636,-0.950482146464414,0.273,0.437,0.00000000157392235478781,"B cells","Healthy_vs_AChR_MG","Downregulated"
"RAC2",0.0000000000000558159419154078,-0.541733487243951,0.553,0.714,0.00000000204291929004584,"B cells","Healthy_vs_AChR_MG","Downregulated"
"GRASP",0.000000000000169623037321035,1.67027316742188,0.184,0.071,0.0000000062083727889872,"B cells","Healthy_vs_AChR_MG","Upregulated"
"AL139020.1",0.000000000000204546454945905,-1.94066508694848,0.053,0.162,0.00000000748660479747507,"B cells","Healthy_vs_AChR_MG","Downregulated"
"MTRNR2L1",0.000000000000789162783622892,-0.984607083646768,0.136,0.28,0.0000000288841470433815,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PELI1",0.00000000000109617303782087,1.02885103203535,0.367,0.224,0.0000000401210293572816,"B cells","Healthy_vs_AChR_MG","Upregulated"
"TRAF3IP3",0.0000000000026628963016362,-0.66121214113853,0.368,0.517,0.0000000974646675361864,"B cells","Healthy_vs_AChR_MG","Downregulated"
"AHSA1",0.00000000000799077411049925,-1.15822566183536,0.114,0.238,0.000000292470323218383,"B cells","Healthy_vs_AChR_MG","Downregulated"
"RNASE6",0.00000000000880944168483845,-1.0582201396968,0.164,0.3,0.000000322434375106772,"B cells","Healthy_vs_AChR_MG","Downregulated"
"STX7",0.0000000000129841201471027,-0.512155092475916,0.506,0.665,0.000000475231781504108,"B cells","Healthy_vs_AChR_MG","Downregulated"
"C1orf162",0.0000000000287161670485738,-0.835920802196215,0.232,0.381,0.00000105104043014485,"B cells","Healthy_vs_AChR_MG","Downregulated"
"LSM10",0.0000000000420479790833821,-0.67194668668803,0.31,0.458,0.00000153899808243087,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CNTNAP2",0.000000000158827284479918,-1.16604266471612,0.115,0.229,0.00000581323743924948,"B cells","Healthy_vs_AChR_MG","Downregulated"
"HSPA8",0.000000000578848100178377,-0.648057022008791,0.355,0.498,0.0000211864193146288,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PRDX1",0.000000000853494852429443,-0.631611788242707,0.29,0.422,0.00003123876509377,"B cells","Healthy_vs_AChR_MG","Downregulated"
"ARHGAP24",0.00000000123440716471406,0.939633194307666,0.307,0.189,0.0000451805366356993,"B cells","Healthy_vs_AChR_MG","Upregulated"
"GAPT",0.0000000016543484482555,-0.642650625301499,0.271,0.41,0.0000605508075545997,"B cells","Healthy_vs_AChR_MG","Downregulated"
"HNRNPF",0.00000000167150458748966,-0.626719751229605,0.316,0.447,0.0000611787394067089,"B cells","Healthy_vs_AChR_MG","Downregulated"
"SPIB",0.00000000193405777334878,-0.607919910482961,0.29,0.427,0.0000707884485623387,"B cells","Healthy_vs_AChR_MG","Downregulated"
"NASP",0.00000000195856523412515,-0.664923795386473,0.255,0.392,0.0000716854461342147,"B cells","Healthy_vs_AChR_MG","Downregulated"
"DYNLL1",0.00000000251511052778236,-0.801108234741044,0.236,0.361,0.0000920555604273621,"B cells","Healthy_vs_AChR_MG","Downregulated"
"LYSMD2",0.00000000310113595958944,-0.775310307035328,0.145,0.261,0.000113504677256933,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PLEKHF2",0.00000000330395403872861,-0.533579421346458,0.363,0.501,0.000120928021771506,"B cells","Healthy_vs_AChR_MG","Downregulated"
"SNX9",0.00000000579685055356879,1.03809270909189,0.277,0.167,0.000212170527111171,"B cells","Healthy_vs_AChR_MG","Upregulated"
"LAT2",0.00000000595867732533181,-0.61308774153367,0.204,0.33,0.000218093548784469,"B cells","Healthy_vs_AChR_MG","Downregulated"
"S1PR4",0.00000000741404816831095,-0.825313321382163,0.214,0.33,0.000271361577008349,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PLEKHO1",0.00000000810397973299543,-0.509481121030572,0.333,0.464,0.000296613762207366,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PSMB10",0.00000000861852058181113,-0.596037312024635,0.341,0.469,0.000315446471814869,"B cells","Healthy_vs_AChR_MG","Downregulated"
"GLRX",0.000000012740567182259,-1.03340530285004,0.119,0.219,0.000466317499437861,"B cells","Healthy_vs_AChR_MG","Downregulated"
"PPP4C",0.0000000177576158247134,-0.746934881317251,0.193,0.307,0.000649946496800336,"B cells","Healthy_vs_AChR_MG","Downregulated"
"APOBEC3G",0.0000000471307581223224,-0.742502683672029,0.171,0.28,0.00172503287803512,"B cells","Healthy_vs_AChR_MG","Downregulated"
"APBB1IP",0.0000000489240690159646,-0.680540801885448,0.263,0.379,0.00179066985005332,"B cells","Healthy_vs_AChR_MG","Downregulated"
"RSBN1L",0.00000009094234349783,-0.543465170602416,0.244,0.364,0.00332858071436408,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CSK",0.000000106723574297764,-0.500286523685174,0.324,0.446,0.00390618954287245,"B cells","Healthy_vs_AChR_MG","Downregulated"
"LMAN2",0.000000135218167722383,-0.73726899551964,0.187,0.293,0.00494912015680694,"B cells","Healthy_vs_AChR_MG","Downregulated"
"SSNA1",0.000000143471658581359,-0.62300435628762,0.229,0.34,0.00525120617573631,"B cells","Healthy_vs_AChR_MG","Downregulated"
"FCRLA",0.000000170511127360725,-0.560718384837563,0.274,0.383,0.00624087777252988,"B cells","Healthy_vs_AChR_MG","Downregulated"
"NCOR1",0.000000182587802506595,-0.543822644982354,0.277,0.393,0.00668289615954388,"B cells","Healthy_vs_AChR_MG","Downregulated"
"IFI30",0.000000229732244290521,-0.978441800172383,0.145,0.238,0.00840842987327736,"B cells","Healthy_vs_AChR_MG","Downregulated"
"BACH1",0.000000230565374366187,0.814671070448622,0.319,0.218,0.00843892326717681,"B cells","Healthy_vs_AChR_MG","Upregulated"
"CCDC32",0.000000241143563692815,-0.5766897115945,0.266,0.38,0.00882609557472074,"B cells","Healthy_vs_AChR_MG","Downregulated"
"IRF2",0.000000241612474779583,-0.507598003189809,0.319,0.436,0.0088432581894075,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CAPG",0.000000285864175003266,-0.691268862200186,0.169,0.271,0.0104629146692945,"B cells","Healthy_vs_AChR_MG","Downregulated"
"METTL7A",0.000000291884956136458,-0.621793064601322,0.178,0.287,0.0106832812795505,"B cells","Healthy_vs_AChR_MG","Downregulated"
"EPSTI1",0.000000521282970382837,-0.741572679380166,0.178,0.275,0.0190794779989822,"B cells","Healthy_vs_AChR_MG","Downregulated"
"CDK2AP2",0.00000053005749719997,-0.745710300837829,0.116,0.204,0.0194006344550161,"B cells","Healthy_vs_AChR_MG","Downregulated"
"ARHGAP45",0.000000860964576096586,-0.54628700205792,0.197,0.299,0.0315121644497112,"B cells","Healthy_vs_AChR_MG","Downregulated"
"SNX17",0.000000985113625410917,-0.5194612841368,0.163,0.264,0.036056143803665,"B cells","Healthy_vs_AChR_MG","Downregulated"
"NFKBID",0.000000994381023688781,0.593112324877033,0.351,0.248,0.0363953398480331,"B cells","Healthy_vs_AChR_MG","Upregulated"
"SAMD9",0.00000102435812768586,-0.647491869828772,0.211,0.313,0.0374925318314303,"B cells","Healthy_vs_AChR_MG","Downregulated"
"DDX58",0.00000128629735909952,-1.04545232939185,0.048,0.112,0.0470797696404017,"B cells","Healthy_vs_AChR_MG","Downregulated"
"COA3",0.00000132070263555942,-0.909070698552197,0.088,0.164,0.0483390371641103,"B cells","Healthy_vs_AChR_MG","Downregulated"
"HLA-DRB1",0.0000000000000000000000000000000000000000000003865718161086,0.686481911902112,0.99,0.982,0.0000000000000000000000000000000000000000141489150413909,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FOSB",0.00000000000000000000000000000000000000000105188857680581,-6.14574021499246,0.011,0.238,0.0000000000000000000000000000000000000385001737996695,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"FKBP5",0.000000000000000000000000000000000313791059641061,-2.39096349792167,0.073,0.324,0.0000000000000000000000000000114850665739225,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGHA1",0.000000000000000000000000000911499370465221,-1.8763929540388,0.127,0.377,0.0000000000000000000000333617884583976,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGHD",0.00000000000000000000000000617210088324091,0.851123549982168,0.784,0.556,0.000000000000000000000225905064427501,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TXNIP",0.000000000000000000000000663684073255694,-0.606789843021581,0.984,0.994,0.0000000000000000000242915007652317,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"LINC01781",0.00000000000000000000000526096573865699,-1.55710816080103,0.166,0.399,0.000000000000000000192556607000585,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"DDIT4",0.00000000000000000000000636238822248849,-1.69391317800434,0.116,0.337,0.000000000000000000232869771331301,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.0000000000000000000000159769916872258,-4.47520893024785,0.012,0.15,0.000000000000000000584773872744152,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZFP36L2",0.0000000000000000000000186165538090015,-0.750641765087163,0.739,0.905,0.000000000000000000681384485963264,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"HSPA8",0.00000000000000000000379160828125318,-0.96344254399865,0.355,0.604,0.000000000000000138776654702148,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"WEE1",0.00000000000000000000488946145353514,-2.21432622540732,0.059,0.229,0.00000000000000017895917866084,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"BCL7A",0.0000000000000000000307688391520765,1.38877763510747,0.473,0.267,0.00000000000000112617028180515,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"HLA-DQB1",0.0000000000000000000474535469747691,0.531999107522971,0.957,0.929,0.00000000000000173684727282352,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"ZBTB16",0.0000000000000000000702393517703402,-1.81477148732627,0.082,0.259,0.00000000000000257083051414622,"B cells","Healthy_vs_SNMG_Pre","Downregulated"
"CD83",0.000000000000000000206627973241468,0.765283257401112,0.665,0.44,0.00000000000000756279044861098,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TCL1A",0.00000000000000000184666118937357,0.650574352130681,0.664,0.382,0.0000000000000675896461922619,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
