"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"RPS26",0.0000000000000000000000000000000000000000000000934745506931428,1.50816695706054,0.87,0.782,0.00000000000000000000000000000000000000000342126202991972,"B cells","Healthy_vs_AChR_MG","Upregulated"
"CD83",0.000000000000000000000000000152173996016762,0.979742384406787,0.665,0.445,0.00000000000000000000000556972042820951,"B cells","Healthy_vs_AChR_MG","Upregulated"
"JUND",0.00000000000000000000000000937758642634427,0.533134843188312,0.979,0.968,0.000000000000000000000343229040790627,"B cells","Healthy_vs_AChR_MG","Upregulated"
"GRASP",0.000000000000169623037321035,1.67027316742188,0.184,0.071,0.0000000062083727889872,"B cells","Healthy_vs_AChR_MG","Upregulated"
"PELI1",0.00000000000109617303782087,1.02885103203535,0.367,0.224,0.0000000401210293572816,"B cells","Healthy_vs_AChR_MG","Upregulated"
"ARHGAP24",0.00000000123440716471406,0.939633194307666,0.307,0.189,0.0000451805366356993,"B cells","Healthy_vs_AChR_MG","Upregulated"
"SNX9",0.00000000579685055356879,1.03809270909189,0.277,0.167,0.000212170527111171,"B cells","Healthy_vs_AChR_MG","Upregulated"
"BACH1",0.000000230565374366187,0.814671070448622,0.319,0.218,0.00843892326717681,"B cells","Healthy_vs_AChR_MG","Upregulated"
"NFKBID",0.000000994381023688781,0.593112324877033,0.351,0.248,0.0363953398480331,"B cells","Healthy_vs_AChR_MG","Upregulated"
"HLA-DRB1",0.0000000000000000000000000000000000000000000003865718161086,0.686481911902112,0.99,0.982,0.0000000000000000000000000000000000000000141489150413909,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"IGHD",0.00000000000000000000000000617210088324091,0.851123549982168,0.784,0.556,0.000000000000000000000225905064427501,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"BCL7A",0.0000000000000000000307688391520765,1.38877763510747,0.473,0.267,0.00000000000000112617028180515,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"HLA-DQB1",0.0000000000000000000474535469747691,0.531999107522971,0.957,0.929,0.00000000000000173684727282352,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"CD83",0.000000000000000000206627973241468,0.765283257401112,0.665,0.44,0.00000000000000756279044861098,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TCL1A",0.00000000000000000184666118937357,0.650574352130681,0.664,0.382,0.0000000000000675896461922619,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"MEF2C",0.00000000000000413327218300845,0.577723809358074,0.848,0.789,0.000000000151281895170292,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FOXP1",0.00000000000000781033474866488,0.587405781275423,0.842,0.784,0.000000000285866062135883,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"SELL",0.0000000000000468290125493319,0.738749164658275,0.654,0.536,0.0000000017139886883181,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"HLA-DMA",0.0000000000000936962737361394,0.571774164425128,0.841,0.76,0.00000000342937731501644,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"SMDT1",0.00000000000153984758950632,0.575504464506269,0.732,0.633,0.0000000563599616235208,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"AFF3",0.00000000000605490211842888,0.5664599339393,0.722,0.62,0.000000221615472436615,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"CLEC2D",0.0000000000197912018766964,0.769376327246259,0.541,0.396,0.000000724377779888965,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"APLP2",0.000000000028240611880182,0.905744867956753,0.433,0.287,0.00000103363463542654,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"IGHG1",0.0000000000419556676482709,1.67276897686824,0.108,0.245,0.00000153561939159436,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"PLPP5",0.0000000000733077041698527,0.711084918225332,0.564,0.417,0.00000268313528032078,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FAM111B",0.000000000227894954405051,2.10871225304987,0.174,0.066,0.00000834118322617928,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"RPS26",0.00000000033127878917324,0.634902776953409,0.87,0.873,0.0000121251349625298,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"LINC00926",0.000000000359752845031115,0.551397707093167,0.771,0.728,0.0000131673138809839,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TAGAP",0.000000000990421268147972,0.783904337919745,0.567,0.465,0.0000362504088354839,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TSTD1",0.0000000011598840020035,0.680233615300479,0.616,0.527,0.00004245291435733,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"TMEM123",0.00000000336171690455653,0.635779663489382,0.598,0.501,0.000123042200423674,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"H1FX",0.00000000769087715138051,0.760876027653454,0.48,0.346,0.000281493794617678,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FCER2",0.0000000251978367675516,0.676146775288374,0.503,0.383,0.000922266023529155,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"PPBP",0.000000182281986424017,0.892987204324342,0.333,0.224,0.00667170298510545,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44L",0.000000240368371501386,1.85326678451468,0.114,0.039,0.00879772276532222,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"PF4",0.000000433676217434939,1.03218873151983,0.236,0.135,0.0158729832343362,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FCRL3",0.000000455433238640532,1.1250549581927,0.229,0.129,0.0166693119674821,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"PLCG2",0.00000101100222687227,0.530546620903132,0.635,0.593,0.0370036925057518,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"BACH2",0.00000107418533378019,0.793867961598144,0.371,0.266,0.0393162574016887,"B cells","Healthy_vs_SNMG_Pre","Upregulated"
"FOSB",0.000000000000195722174222829,2.63129884289454,0.238,0.092,0.00000000716362729872976,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"AC020916.1",0.00000000000088375039939166,3.34485548723231,0.15,0.034,0.0000000323461483681341,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A2",0.000000000694181235846599,2.38963974139439,0.219,0.099,0.0000254077274132214,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CDKN1A",0.00000000113651113770739,2.36207196763858,0.147,0.045,0.0000415974441512283,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"CSRNP1",0.0000000102403968667822,1.90723819017898,0.167,0.065,0.000374808765721094,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"MYADM",0.0000000653469288929232,1.87379267304987,0.19,0.089,0.00239176294440988,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"PPP1R15A",0.000000306914367321453,1.56735659274932,0.393,0.295,0.0112333727583325,"B cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"AREG",0.000000000000000935630749244568,1.82312528661267,0.471,0.229,0.0000000000342450210531004,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"IRS2",0.0000000000223545376369278,1.36191870375631,0.441,0.24,0.000000818198432049196,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"TXNIP",0.000000000161626792616654,0.745706629635325,0.826,0.677,0.00000591570223656214,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"ACOX1",0.00000000281563225728215,0.867577690299847,0.507,0.316,0.000103054956248784,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"IFI44L",0.000000135392041466043,2.33584038838961,0.137,0.037,0.00495548410969865,"Basophils","Healthy_vs_AChR_MG","Upregulated"
"HBB",0.000000000000000573129155345946,1.50680246433454,0.475,0.714,0.000000000020977100214817,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"XAF1",0.0000000000000633503811415005,1.92691970810749,0.309,0.097,0.00000000231868730016006,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"MX2",0.000000000000436497595208538,3.50183583150194,0.186,0.028,0.0000000159762484822277,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44L",0.00000000000727920126190347,5.43593936105032,0.137,0.01,0.000000266426045386929,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"IFI44",0.00000000213670514864519,4.03041392890101,0.113,0.01,0.0000782055451455627,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"RSAD2",0.00000000566115540827671,3.65688223880171,0.103,0.008,0.000207203949098336,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"EIF2AK2",0.0000000191085141736434,1.3200525429352,0.275,0.115,0.000699390727269521,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"MX1",0.0000000853777525872044,4.03748127939794,0.137,0.033,0.00312491112244427,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"FOSL2",0.00000059634492000349,0.840895213398147,0.397,0.24,0.0218268204170477,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"HSH2D",0.00000134197278313737,0.739852976435544,0.441,0.279,0.0491175458356109,"Basophils","Healthy_vs_SNMG_Pre","Upregulated"
"RPS26",0.000000000000000000000000000000000000000000000000000000000000000000000000000000467661849994453,1.97688728354169,0.942,0.904,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,"CD4 T cells","Healthy_vs_AChR_MG","Upregulated"
"RPS26",0.000000000000000000000000000000000018947027822503,0.999501534824998,0.942,0.893,0.000000000000000000000000000000693480165331432,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"LTB",0.0000000000000000000000150914875994387,0.529335481317588,0.989,0.958,0.000000000000000000552363537627056,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"PPBP",0.00000000000931625116703467,0.660981103105552,0.346,0.19,0.000000340984108964636,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"NRGN",0.00000000379168745303218,1.30357903080196,0.198,0.09,0.000138779552468431,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"IFITM1",0.0000000484738756818071,0.615835988269576,0.482,0.35,0.00177419232382982,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"GNG11",0.000000252634993646048,2.16146338383598,0.145,0.065,0.00924669340243902,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"GP1BB",0.000000330780421766082,0.888009422287664,0.156,0.072,0.0121068942170604,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"PF4",0.000000596229140325985,1.04970325214485,0.222,0.128,0.0218225827650714,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"CDKN2D",0.000000797497312738454,0.608686584559677,0.416,0.287,0.0291891991435402,"CD4 T cells","Healthy_vs_SNMG_Pre","Upregulated"
"JUND",0.00000000000382573536494547,0.970679731966784,0.846,0.8,0.000000140025740092369,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"PPP1R15A",0.00000000130141733870595,2.04338579097536,0.197,0.095,0.0000476331760139764,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"NR4A2",0.000000506228491794032,1.91789865389088,0.14,0.064,0.0185284690281534,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
"FOSB",0.000000683861758530989,1.48121726023054,0.167,0.084,0.0250300242239927,"CD4 T cells","SNMG_Pre_vs_SNMG_Post","Upregulated"
