"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"RPS26",8,2,1.15121263543726,1.21430680281263,1.15121263543726,1.97688728354169,0.000000000000000000000000000000000000000000000000000000000000000000000000017116891371647,0.000000000000000000000000000000693480165331432,"Highly recurrent (5+)"
"CD83",1,2,0.872512820903949,0.872512820903949,0.872512820903949,0.979742384406787,0.00000000000000000000000556972042820951,0.00000000000000378139522709035,"Cell-type-specific"
"JUND",5,3,0.741827321812001,0.620579894542697,0.741827321812001,1.05477384203963,0.000000000000000000000343229040790627,0.00000000120865644045113,"Highly recurrent (5+)"
"CD79B",1,1,-0.554887970706911,-0.554887970706911,0.554887970706911,0.554887970706911,0.0000000000000000000929559800702371,0.0000000000000000000929559800702371,"Cell-type-specific"
"ACTR3",1,1,-0.647436578287047,-0.647436578287047,0.647436578287047,0.647436578287047,0.00000000000027604303602792,0.00000000000027604303602792,"Cell-type-specific"
"ARL6IP5",1,1,-0.647432706729917,-0.647432706729917,0.647432706729917,0.647432706729917,0.000000000000384100197167767,0.000000000000384100197167767,"Cell-type-specific"
"PSMB9",2,1,-0.567025585097112,-0.567025585097112,0.567025585097112,0.6142478648804,0.0000000000986063572912615,0.0000176977301823605,"Shared across 2 cell types"
"KIAA0040",1,1,-0.950482146464414,-0.950482146464414,0.950482146464414,0.950482146464414,0.00000000157392235478781,0.00000000157392235478781,"Cell-type-specific"
"RAC2",1,1,-0.541733487243951,-0.541733487243951,0.541733487243951,0.541733487243951,0.00000000204291929004584,0.00000000204291929004584,"Cell-type-specific"
"GRASP",1,1,1.67027316742188,1.67027316742188,1.67027316742188,1.67027316742188,0.0000000062083727889872,0.0000000062083727889872,"Cell-type-specific"
"AL139020.1",1,1,-1.94066508694848,-1.94066508694848,1.94066508694848,1.94066508694848,0.00000000748660479747507,0.00000000748660479747507,"Cell-type-specific"
"MTRNR2L1",7,3,-1.37176346748005,-1.29279605522223,1.37176346748005,2.462117920412,0.00000000000730467449215235,0.0000458299405591312,"Highly recurrent (5+)"
"PELI1",3,2,0.311242773760668,0.731574033865742,0.86237393684006,1.02885103203535,0.0000000401210293572816,0.0000781389020105768,"Moderately recurrent (3-4)"
"TRAF3IP3",3,1,-0.581886858988427,-0.55274941031878,0.581886858988427,0.66121214113853,0.0000000974646675361864,0.000239209165829296,"Moderately recurrent (3-4)"
"AHSA1",1,1,-1.15822566183536,-1.15822566183536,1.15822566183536,1.15822566183536,0.000000292470323218383,0.000000292470323218383,"Cell-type-specific"
"RNASE6",1,2,-1.03045395104759,-1.03045395104759,1.03045395104759,1.0582201396968,0.000000322434375106772,0.000000545913290807965,"Cell-type-specific"
"STX7",1,1,-0.512155092475916,-0.512155092475916,0.512155092475916,0.512155092475916,0.000000475231781504108,0.000000475231781504108,"Cell-type-specific"
"C1orf162",3,2,-0.767624337688545,-0.807969995197593,0.767624337688545,0.869646068458216,0.00000105104043014485,0.00000146163691186745,"Moderately recurrent (3-4)"
"LSM10",1,1,-0.67194668668803,-0.67194668668803,0.67194668668803,0.67194668668803,0.00000153899808243087,0.00000153899808243087,"Cell-type-specific"
"CNTNAP2",1,1,-1.16604266471612,-1.16604266471612,1.16604266471612,1.16604266471612,0.00000581323743924948,0.00000581323743924948,"Cell-type-specific"
"HSPA8",1,2,-0.805749783003721,-0.805749783003721,0.805749783003721,0.96344254399865,0.000000000000000138776654702148,0.0000105932096573838,"Cell-type-specific"
"PRDX1",1,1,-0.631611788242707,-0.631611788242707,0.631611788242707,0.631611788242707,0.00003123876509377,0.00003123876509377,"Cell-type-specific"
"ARHGAP24",1,1,0.939633194307666,0.939633194307666,0.939633194307666,0.939633194307666,0.0000451805366356993,0.0000451805366356993,"Cell-type-specific"
"GAPT",1,1,-0.642650625301499,-0.642650625301499,0.642650625301499,0.642650625301499,0.0000605508075545997,0.0000605508075545997,"Cell-type-specific"
"HNRNPF",1,1,-0.626719751229605,-0.626719751229605,0.626719751229605,0.626719751229605,0.0000611787394067089,0.0000611787394067089,"Cell-type-specific"
"SPIB",1,1,-0.607919910482961,-0.607919910482961,0.607919910482961,0.607919910482961,0.0000707884485623387,0.0000707884485623387,"Cell-type-specific"
"NASP",2,1,-0.616694444230991,-0.616694444230991,0.616694444230991,0.664923795386473,0.0000716854461342147,0.0235218785397224,"Shared across 2 cell types"
"DYNLL1",4,1,-0.679664602732597,-0.662394195497963,0.679664602732597,0.891986295100542,0.000000000000000186448041782673,0.0000460278035626647,"Moderately recurrent (3-4)"
"LYSMD2",1,1,-0.775310307035328,-0.775310307035328,0.775310307035328,0.775310307035328,0.000113504677256933,0.000113504677256933,"Cell-type-specific"
"PLEKHF2",1,1,-0.533579421346458,-0.533579421346458,0.533579421346458,0.533579421346458,0.000120928021771506,0.000120928021771506,"Cell-type-specific"
"SNX9",1,1,1.03809270909189,1.03809270909189,1.03809270909189,1.03809270909189,0.000212170527111171,0.000212170527111171,"Cell-type-specific"
"LAT2",1,1,-0.61308774153367,-0.61308774153367,0.61308774153367,0.61308774153367,0.000218093548784469,0.000218093548784469,"Cell-type-specific"
"S1PR4",1,1,-0.825313321382163,-0.825313321382163,0.825313321382163,0.825313321382163,0.000271361577008349,0.000271361577008349,"Cell-type-specific"
"PLEKHO1",2,2,0.171874482988165,0.171874482988165,0.681355604018737,0.853230087006903,0.00000980360625121988,0.000153208684229293,"Shared across 2 cell types"
"PSMB10",1,1,-0.596037312024635,-0.596037312024635,0.596037312024635,0.596037312024635,0.000315446471814869,0.000315446471814869,"Cell-type-specific"
"GLRX",1,2,-0.920883667172548,-0.920883667172548,0.920883667172548,1.03340530285004,0.000466317499437861,0.0112410741640996,"Cell-type-specific"
"PPP4C",2,2,-0.642615493247702,-0.639883313643857,0.642615493247702,0.746934881317251,0.000649946496800336,0.0183664421420296,"Shared across 2 cell types"
"APOBEC3G",2,2,-0.627675621762484,-0.593577661039664,0.627675621762484,0.742502683672029,0.000158229153869509,0.00172503287803512,"Shared across 2 cell types"
"APBB1IP",1,1,-0.680540801885448,-0.680540801885448,0.680540801885448,0.680540801885448,0.00179066985005332,0.00179066985005332,"Cell-type-specific"
"RSBN1L",1,1,-0.543465170602416,-0.543465170602416,0.543465170602416,0.543465170602416,0.00332858071436408,0.00332858071436408,"Cell-type-specific"
"CSK",1,1,-0.500286523685174,-0.500286523685174,0.500286523685174,0.500286523685174,0.00390618954287245,0.00390618954287245,"Cell-type-specific"
"LMAN2",1,1,-0.73726899551964,-0.73726899551964,0.73726899551964,0.73726899551964,0.00494912015680694,0.00494912015680694,"Cell-type-specific"
"SSNA1",1,1,-0.62300435628762,-0.62300435628762,0.62300435628762,0.62300435628762,0.00525120617573631,0.00525120617573631,"Cell-type-specific"
"FCRLA",1,1,-0.560718384837563,-0.560718384837563,0.560718384837563,0.560718384837563,0.00624087777252988,0.00624087777252988,"Cell-type-specific"
"NCOR1",1,1,-0.543822644982354,-0.543822644982354,0.543822644982354,0.543822644982354,0.00668289615954388,0.00668289615954388,"Cell-type-specific"
"IFI30",1,1,-0.978441800172383,-0.978441800172383,0.978441800172383,0.978441800172383,0.00840842987327736,0.00840842987327736,"Cell-type-specific"
"BACH1",1,1,0.814671070448622,0.814671070448622,0.814671070448622,0.814671070448622,0.00843892326717681,0.00843892326717681,"Cell-type-specific"
"CCDC32",1,1,-0.5766897115945,-0.5766897115945,0.5766897115945,0.5766897115945,0.00882609557472074,0.00882609557472074,"Cell-type-specific"
"IRF2",1,1,-0.507598003189809,-0.507598003189809,0.507598003189809,0.507598003189809,0.0088432581894075,0.0088432581894075,"Cell-type-specific"
"CAPG",1,1,-0.691268862200186,-0.691268862200186,0.691268862200186,0.691268862200186,0.0104629146692945,0.0104629146692945,"Cell-type-specific"
"METTL7A",1,1,-0.621793064601322,-0.621793064601322,0.621793064601322,0.621793064601322,0.0106832812795505,0.0106832812795505,"Cell-type-specific"
"EPSTI1",4,2,0.877546073447819,1.23711457431297,1.63234527307877,3.38413865363917,0.00000000210010493950864,0.0000000849278697842976,"Moderately recurrent (3-4)"
"CDK2AP2",2,1,-0.914316739466559,-0.914316739466559,0.914316739466559,1.08292317809529,0.0000662095849466607,0.00973342201998138,"Shared across 2 cell types"
"ARHGAP45",1,1,-0.54628700205792,-0.54628700205792,0.54628700205792,0.54628700205792,0.0315121644497112,0.0315121644497112,"Cell-type-specific"
"SNX17",1,1,-0.5194612841368,-0.5194612841368,0.5194612841368,0.5194612841368,0.036056143803665,0.036056143803665,"Cell-type-specific"
"NFKBID",1,1,0.593112324877033,0.593112324877033,0.593112324877033,0.593112324877033,0.0363953398480331,0.0363953398480331,"Cell-type-specific"
"SAMD9",2,2,0.584896865996084,0.584896865996084,1.23238873582486,1.81728560182094,0.0000268360837958564,0.0187596839576131,"Shared across 2 cell types"
"DDX58",1,1,-1.04545232939185,-1.04545232939185,1.04545232939185,1.04545232939185,0.0470797696404017,0.0470797696404017,"Cell-type-specific"
"COA3",1,1,-0.909070698552197,-0.909070698552197,0.909070698552197,0.909070698552197,0.0483390371641103,0.0483390371641103,"Cell-type-specific"
"HLA-DRB1",1,1,0.686481911902112,0.686481911902112,0.686481911902112,0.686481911902112,0.0000000000000000000000000000000000000000141489150413909,0.0000000000000000000000000000000000000000141489150413909,"Cell-type-specific"
"FOSB",5,2,-1.58482070723661,-2.6440911502486,3.29475526734159,6.14574021499246,0.0000000000000000000000000000000000000385001737996695,0.00000436887984313423,"Highly recurrent (5+)"
"FKBP5",9,3,-1.06888538208317,-1.14727170564424,1.41180761020086,2.57260902236547,0.00000000000000000000000000000000000000000000000000000000634309470103281,0.000000000000000347159633244036,"Highly recurrent (5+)"
"IGHA1",2,1,-3.62867091014934,-3.62867091014934,3.62867091014934,5.38094886625987,0.0000000000000000000000333617884583976,0.00000253644770853868,"Shared across 2 cell types"
"IGHD",1,1,0.851123549982168,0.851123549982168,0.851123549982168,0.851123549982168,0.000000000000000000000225905064427501,0.000000000000000000000225905064427501,"Cell-type-specific"
"TXNIP",7,2,-0.292448914571805,-0.573926435168723,0.675052264597908,0.929230491475598,0.00000000000000000000000000000000000000000000000000000000235144044391956,0.0000000000000000000242915007652317,"Highly recurrent (5+)"
"LINC01781",1,1,-1.55710816080103,-1.55710816080103,1.55710816080103,1.55710816080103,0.000000000000000000192556607000585,0.000000000000000000192556607000585,"Cell-type-specific"
"DDIT4",6,1,-1.06598241651624,-0.949308083141021,1.06598241651624,1.69391317800434,0.000000000000000000232869771331301,0.00000000169611082572868,"Highly recurrent (5+)"
"AC020916.1",3,2,-0.752750360657232,-2.37238855794672,3.28096158319139,4.47520893024785,0.000000000000000000584773872744152,0.000000000024433958197615,"Moderately recurrent (3-4)"
"ZFP36L2",5,3,-0.526926055617611,-0.754274800364457,0.841697170810245,0.954749327009958,0.000000000000000000000000000000122634559006896,0.0000000000000000459250036980917,"Highly recurrent (5+)"
"WEE1",1,1,-2.21432622540732,-2.21432622540732,2.21432622540732,2.21432622540732,0.00000000000000017895917866084,0.00000000000000017895917866084,"Cell-type-specific"
"BCL7A",1,1,1.38877763510747,1.38877763510747,1.38877763510747,1.38877763510747,0.00000000000000112617028180515,0.00000000000000112617028180515,"Cell-type-specific"
"HLA-DQB1",1,1,0.531999107522971,0.531999107522971,0.531999107522971,0.531999107522971,0.00000000000000173684727282352,0.00000000000000173684727282352,"Cell-type-specific"
