"CellType","Total_DEGs","Upregulated","Downregulated","Unique_Genes","Mean_Log2FC","Median_Log2FC","Mean_Adjusted_P"
"Progenitors",15157,8718,6439,8047,0.111296067234765,0.308906371390863,0.999726674047271
"Monocytes",6631,3140,3491,4273,-0.0117791050683053,-0.260448096123383,0.95826419336164
"Dendritic cells",5965,2038,3927,4112,-0.133723684211632,-0.294619501937849,0.933578660232155
"B cells",5040,1932,3108,3428,-0.1115476839869,-0.291308868590946,0.921949205233234
"T cells",4520,2145,2375,2944,-0.0250254796588454,-0.257910041569097,0.942958078316803
"NK cells",4338,1674,2664,3028,-0.11011037078932,-0.287151389084019,0.955570373711761
"CD8 T cells",3868,1610,2258,2611,-0.0778617317030118,-0.278813268756975,0.962326011252267
"Basophils",3861,1775,2086,2308,-0.0360429282817981,-0.271545394363391,0.990403864482114
"CD4 T cells",3806,1234,2572,2653,-0.159907057782762,-0.300665648717793,0.955945396771849
"Neutrophils",3369,1592,1777,1934,-0.000806723762287959,-0.26875516575387,0.942831482311417
