"Gene","B cells","Basophils","CD4 T cells","CD8 T cells","Dendritic cells","Monocytes","Neutrophils","NK cells","Progenitors","T cells"
"RPS26",1,0,1,1,1,1,0,1,1,1
"CD83",1,0,0,0,0,0,0,0,0,0
"JUND",1,0,1,0,1,0,0,1,0,1
"CD79B",1,0,0,0,0,0,0,0,0,0
"ACTR3",1,0,0,0,0,0,0,0,0,0
"ARL6IP5",1,0,0,0,0,0,0,0,0,0
"PSMB9",1,0,1,0,0,0,0,0,0,0
"KIAA0040",1,0,0,0,0,0,0,0,0,0
"RAC2",1,0,0,0,0,0,0,0,0,0
"GRASP",1,0,0,0,0,0,0,0,0,0
"AL139020.1",1,0,0,0,0,0,0,0,0,0
"MTRNR2L1",1,0,1,1,0,1,1,1,0,1
"PELI1",1,0,0,0,0,1,1,0,0,0
"TRAF3IP3",1,0,0,0,0,0,0,1,0,1
"AHSA1",1,0,0,0,0,0,0,0,0,0
"RNASE6",1,0,0,0,0,0,0,0,0,0
"STX7",1,0,0,0,0,0,0,0,0,0
"C1orf162",1,0,0,1,0,1,0,0,0,0
"LSM10",1,0,0,0,0,0,0,0,0,0
"CNTNAP2",1,0,0,0,0,0,0,0,0,0
"HSPA8",1,0,0,0,0,0,0,0,0,0
"PRDX1",1,0,0,0,0,0,0,0,0,0
"ARHGAP24",1,0,0,0,0,0,0,0,0,0
"GAPT",1,0,0,0,0,0,0,0,0,0
"HNRNPF",1,0,0,0,0,0,0,0,0,0
"SPIB",1,0,0,0,0,0,0,0,0,0
"NASP",1,0,0,1,0,0,0,0,0,0
"DYNLL1",1,0,0,0,1,0,0,1,0,1
"LYSMD2",1,0,0,0,0,0,0,0,0,0
"PLEKHF2",1,0,0,0,0,0,0,0,0,0
"SNX9",1,0,0,0,0,0,0,0,0,0
"LAT2",1,0,0,0,0,0,0,0,0,0
"S1PR4",1,0,0,0,0,0,0,0,0,0
"PLEKHO1",1,0,0,0,0,1,0,0,0,0
"PSMB10",1,0,0,0,0,0,0,0,0,0
"GLRX",1,0,0,0,0,0,0,0,0,0
"PPP4C",1,0,0,0,0,0,0,1,0,0
"APOBEC3G",1,0,0,0,0,0,0,0,0,1
"APBB1IP",1,0,0,0,0,0,0,0,0,0
"RSBN1L",1,0,0,0,0,0,0,0,0,0
"CSK",1,0,0,0,0,0,0,0,0,0
"LMAN2",1,0,0,0,0,0,0,0,0,0
"SSNA1",1,0,0,0,0,0,0,0,0,0
"FCRLA",1,0,0,0,0,0,0,0,0,0
"NCOR1",1,0,0,0,0,0,0,0,0,0
"IFI30",1,0,0,0,0,0,0,0,0,0
"BACH1",1,0,0,0,0,0,0,0,0,0
"CCDC32",1,0,0,0,0,0,0,0,0,0
"IRF2",1,0,0,0,0,0,0,0,0,0
"CAPG",1,0,0,0,0,0,0,0,0,0
"METTL7A",1,0,0,0,0,0,0,0,0,0
"EPSTI1",1,0,1,0,0,1,1,0,0,0
"CDK2AP2",1,0,1,0,0,0,0,0,0,0
"ARHGAP45",1,0,0,0,0,0,0,0,0,0
"SNX17",1,0,0,0,0,0,0,0,0,0
"NFKBID",1,0,0,0,0,0,0,0,0,0
"SAMD9",1,0,0,0,0,0,1,0,0,0
"DDX58",1,0,0,0,0,0,0,0,0,0
"COA3",1,0,0,0,0,0,0,0,0,0
"HLA-DRB1",1,0,0,0,0,0,0,0,0,0
"FOSB",1,0,1,0,1,1,0,1,0,0
"FKBP5",1,1,1,1,1,1,1,1,0,1
"IGHA1",1,0,0,0,1,0,0,0,0,0
"IGHD",1,0,0,0,0,0,0,0,0,0
"TXNIP",1,1,1,0,1,0,1,1,0,1
"LINC01781",1,0,0,0,0,0,0,0,0,0
"DDIT4",1,0,1,1,1,1,0,0,0,1
"AC020916.1",1,0,0,0,1,0,0,1,0,0
"ZFP36L2",1,0,0,0,1,1,1,1,0,0
"WEE1",1,0,0,0,0,0,0,0,0,0
"BCL7A",1,0,0,0,0,0,0,0,0,0
"HLA-DQB1",1,0,0,0,0,0,0,0,0,0
"ZBTB16",1,1,1,1,1,1,1,0,0,0
"TCL1A",1,0,0,0,0,0,0,0,0,0
"MYADM",1,0,0,0,1,0,0,1,0,0
"LGALS1",1,0,0,0,0,0,0,0,0,1
"CRIP1",1,0,0,0,0,0,0,0,0,0
"MIDN",1,0,0,0,0,0,1,0,0,0
"AHNAK",1,0,0,0,0,0,0,0,0,0
"VIM",1,0,0,0,0,0,0,0,0,0
"DAAM1",1,0,0,0,0,0,0,0,0,0
"MEF2C",1,0,0,0,0,0,0,0,0,0
"FOXP1",1,0,0,0,0,0,0,0,0,0
"SELL",1,0,0,0,0,0,0,0,0,0
"FOS",1,0,1,0,0,0,1,1,0,0
"TNFRSF13B",1,0,0,0,0,0,0,0,0,0
"IGHA2",1,0,0,0,0,0,0,0,0,0
"SOCS1",1,0,0,0,1,0,0,1,0,1
"HLA-DMA",1,0,0,0,0,0,0,0,0,0
"IDS",1,0,0,0,0,0,0,0,0,0
"SSPN",1,0,0,0,0,0,0,0,0,0
"HIPK2",1,0,0,0,0,0,0,0,0,0
"LMNA",1,0,0,0,1,0,0,0,0,0
"BLK",1,0,0,0,0,0,0,0,0,0
"SMDT1",1,0,0,0,0,0,0,0,0,0
"COCH",1,0,0,0,0,0,0,0,0,0
"AFF3",1,0,0,0,0,0,0,0,0,0
"PRDM1",1,0,0,0,0,0,0,1,0,1
"CLEC2D",1,0,0,0,0,0,0,0,0,0
"APLP2",1,0,0,0,0,0,0,0,0,0
"CDKN1A",1,0,0,0,1,0,0,0,0,0
"CFLAR",1,0,0,0,0,0,0,0,0,0
"IGHG1",1,0,0,0,0,0,0,0,0,0
"PLPP5",1,0,0,0,0,0,0,0,0,0
"SESN1",1,0,0,1,0,0,0,0,0,0
"S100A10",1,0,0,0,0,0,0,0,0,0
"AIM2",1,0,0,0,0,0,0,0,0,0
"LIME1",1,0,0,0,0,0,0,0,0,0
"FAM111B",1,0,0,0,0,0,0,0,0,0
"ADGRE5",1,0,0,0,0,0,0,0,0,0
"IGHG2",1,0,0,0,0,0,0,0,0,0
"PPP1R15A",1,0,1,0,1,0,0,1,0,0
"LINC00926",1,0,0,0,0,0,0,0,0,0
"DUSP2",1,0,0,0,0,0,0,0,0,0
"CLECL1",1,0,0,0,1,0,0,0,0,0
"RGS1",1,0,0,0,1,0,0,0,0,0
"GAPDH",1,0,0,0,0,0,0,0,0,0
"TAGAP",1,0,1,0,0,1,0,0,0,1
"TSTD1",1,0,0,0,0,0,0,0,0,0
"C16orf54",1,0,0,0,0,0,0,0,0,0
"ELL2",1,0,0,0,1,0,0,0,0,0
"KLF10",1,0,0,0,1,1,0,0,0,0
"VOPP1",1,0,0,0,0,0,0,0,0,0
"TUBB6",1,0,0,0,1,0,0,0,0,0
"PTPN18",1,0,0,0,0,0,0,0,0,0
"TOR3A",1,0,0,0,0,0,0,0,0,0
"TMEM123",1,0,0,0,0,0,1,0,0,0
"ANXA2",1,0,0,0,0,0,0,0,0,0
"VASP",1,0,0,0,0,0,0,0,0,0
"TMEM238",1,0,0,0,0,0,0,0,0,0
"H1FX",1,0,0,0,0,0,0,0,0,0
"RILPL2",1,0,0,0,0,0,0,0,0,0
"CRIP2",1,0,0,0,0,0,0,0,0,0
"SAMSN1",1,0,0,0,0,1,1,0,0,0
"SRGN",1,0,0,1,0,0,0,0,0,0
"CASP8",1,0,0,0,0,0,0,0,0,0
"MARCKS",1,0,0,0,1,1,0,0,0,0
"ARL4A",1,0,0,0,0,1,0,0,0,0
"IFT57",1,0,0,0,0,0,0,0,0,0
"FAM102A",1,0,0,0,0,0,0,0,0,0
"SNHG16",1,0,0,0,0,0,0,0,0,0
"FCER2",1,0,0,0,0,0,0,0,0,0
"RTN4",1,0,0,0,0,0,0,0,0,0
"SMARCB1",1,0,0,0,0,0,0,0,0,0
"PLP2",1,0,0,0,0,1,0,0,0,0
"GPR183",1,0,0,0,0,0,0,0,0,0
"CSGALNACT1",1,0,0,0,1,0,0,0,0,0
"CD27",1,0,0,0,0,0,0,0,0,0
"TLE3",1,0,0,0,0,1,0,0,0,0
"IGHG4",1,0,0,0,0,0,0,0,0,0
"BHLHE41",1,0,0,0,0,0,0,0,0,0
"SH3GLB2",1,0,0,0,0,0,0,0,0,0
"S100A4",1,0,0,0,0,0,0,0,0,0
"CCDC107",1,0,0,0,0,0,0,0,0,0
